capital,faixa_remuneracao_media_sm,Analfabeto,Até 5ª Incompleto,5ª Completo Fundamental,6ª a 9ª Fundamental,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,sexo,ano
aracaju___se,"09:10,01_a_15,00",0,0,3,3,9,31,400,88,1.745,F,2017
aracaju___se,"10:15,01_a_20,00",0,0,1,8,12,11,165,32,644,F,2017
aracaju___se,"11:mais_de_20,00",0,0,1,24,27,8,105,21,1.102,F,2017
salvador___ba,"00:ate_0,50",1,5,4,129,51,398,191,14,66,F,2017
salvador___ba,"01:0,51_a_1,00",25,134,192,552,865,1.622,6.055,471,606,F,2017
salvador___ba,"02:1,01_a_1,50",346,1.150,1.933,6.003,8.169,9.331,56.455,3.584,2.211,F,2017
salvador___ba,"03:1,51_a_2,00",22,478,587,1.614,1.932,1.626,24.062,2.592,3.385,F,2017
salvador___ba,"04:2,01_a_3,00",5,206,531,1.229,1.926,2.209,24.986,3.640,9.449,F,2017
salvador___ba,"05:3,01_a_4,00",1,57,101,190,435,735,14.222,2.182,9.023,F,2017
salvador___ba,"06:4,01_a_5,00",0,25,18,141,261,297,12.045,1.799,8.863,F,2017
salvador___ba,"07:5,01_a_7,00",1,25,31,177,340,641,8.783,1.351,16.602,F,2017
salvador___ba,"08:7,01_a_10,00",0,19,19,63,73,145,3.837,604,11.412,F,2017
salvador___ba,"09:10,01_a_15,00",0,8,10,35,35,55,1.575,359,7.100,F,2017
salvador___ba,"10:15,01_a_20,00",0,5,0,16,10,24,503,103,3.125,F,2017
salvador___ba,"11:mais_de_20,00",0,1,9,13,33,26,541,58,3.624,F,2017
belo_horizonte___mg,"00:ate_0,50",35,184,331,484,380,359,432,39,634,F,2017
belo_horizonte___mg,"01:0,51_a_1,00",164,734,1.873,3.328,3.370,2.401,4.961,357,1.462,F,2017
belo_horizonte___mg,"02:1,01_a_1,50",559,2.879,8.286,16.162,26.169,13.141,62.324,3.401,11.143,F,2017
belo_horizonte___mg,"03:1,51_a_2,00",79,710,1.858,3.009,6.346,3.165,26.739,2.931,19.638,F,2017
belo_horizonte___mg,"04:2,01_a_3,00",43,440,1.060,1.530,3.682,2.139,25.494,3.982,45.694,F,2017
belo_horizonte___mg,"05:3,01_a_4,00",3,70,227,375,1.356,732,11.420,2.238,29.292,F,2017
belo_horizonte___mg,"06:4,01_a_5,00",2,35,163,300,926,339,6.384,1.292,20.055,F,2017
belo_horizonte___mg,"07:5,01_a_7,00",0,23,355,185,588,290,6.469,1.362,23.752,F,2017
belo_horizonte___mg,"08:7,01_a_10,00",0,4,52,49,181,117,3.722,760,17.291,F,2017
belo_horizonte___mg,"09:10,01_a_15,00",0,3,6,7,63,38,1.960,471,12.016,F,2017
belo_horizonte___mg,"10:15,01_a_20,00",0,2,8,2,17,8,447,108,5.926,F,2017
belo_horizonte___mg,"11:mais_de_20,00",0,10,26,10,16,9,470,112,7.238,F,2017
vitoria___es,"00:ate_0,50",3,6,12,46,191,161,42,15,129,F,2017
vitoria___es,"01:0,51_a_1,00",11,61,72,421,495,543,902,238,342,F,2017
vitoria___es,"02:1,01_a_1,50",87,961,927,2.997,4.389,2.675,14.099,1.174,1.142,F,2017
vitoria___es,"03:1,51_a_2,00",43,395,646,410,933,828,6.981,971,1.353,F,2017
vitoria___es,"04:2,01_a_3,00",25,431,544,187,547,533,8.198,1.678,4.045,F,2017
vitoria___es,"05:3,01_a_4,00",0,212,50,33,115,131,2.287,628,4.928,F,2017
vitoria___es,"06:4,01_a_5,00",0,81,14,23,88,44,1.102,361,3.059,F,2017
vitoria___es,"07:5,01_a_7,00",0,143,4,23,56,36,1.184,372,5.164,F,2017
vitoria___es,"08:7,01_a_10,00",0,228,2,19,28,41,651,184,3.665,F,2017
vitoria___es,"09:10,01_a_15,00",0,63,12,10,18,16,368,131,3.172,F,2017
vitoria___es,"10:15,01_a_20,00",0,3,1,1,1,4,112,50,1.323,F,2017
vitoria___es,"11:mais_de_20,00",0,0,0,2,1,1,96,38,1.518,F,2017
rio_de_janeiro___rj,"00:ate_0,50",0,11,45,86,123,266,385,95,787,F,2017
rio_de_janeiro___rj,"01:0,51_a_1,00",22,241,590,1.305,1.998,3.472,5.410,513,2.501,F,2017
rio_de_janeiro___rj,"02:1,01_a_1,50",497,5.954,15.319,22.062,49.702,21.029,94.211,6.596,6.996,F,2017
rio_de_janeiro___rj,"03:1,51_a_2,00",1.341,6.661,6.489,12.731,16.260,11.801,58.362,7.213,9.408,F,2017
rio_de_janeiro___rj,"04:2,01_a_3,00",77,685,2.563,3.945,8.578,6.495,50.532,14.951,14.947,F,2017
rio_de_janeiro___rj,"05:3,01_a_4,00",18,193,696,1.047,4.138,5.156,26.864,12.692,17.428,F,2017
rio_de_janeiro___rj,"06:4,01_a_5,00",11,142,274,683,3.095,7.008,21.720,17.861,19.711,F,2017
rio_de_janeiro___rj,"07:5,01_a_7,00",14,100,185,444,1.381,3.929,16.727,12.478,31.013,F,2017
rio_de_janeiro___rj,"08:7,01_a_10,00",3,44,87,203,745,1.085,8.837,5.805,28.947,F,2017
rio_de_janeiro___rj,"09:10,01_a_15,00",1,35,23,57,228,492,3.823,2.176,23.580,F,2017
rio_de_janeiro___rj,"10:15,01_a_20,00",0,24,25,28,76,178,1.171,699,12.196,F,2017
rio_de_janeiro___rj,"11:mais_de_20,00",0,14,21,22,72,418,1.017,1.362,16.470,F,2017
sao_paulo___sp,"00:ate_0,50",1,26,57,83,4.668,880,2.629,550,2.921,F,2017
sao_paulo___sp,"01:0,51_a_1,00",109,587,1.234,1.998,10.852,8.449,27.471,3.203,13.920,F,2017
sao_paulo___sp,"02:1,01_a_1,50",879,6.539,10.883,18.525,31.681,18.386,94.434,8.810,15.340,F,2017
sao_paulo___sp,"03:1,51_a_2,00",822,5.332,17.781,25.162,56.887,34.582,175.676,15.363,20.095,F,2017
sao_paulo___sp,"04:2,01_a_3,00",476,3.812,12.079,15.024,51.531,21.481,160.017,23.519,44.702,F,2017
sao_paulo___sp,"05:3,01_a_4,00",78,936,3.968,3.244,13.804,7.176,72.754,16.286,60.097,F,2017
sao_paulo___sp,"06:4,01_a_5,00",19,319,944,1.304,5.681,3.220,45.707,11.755,71.926,F,2017
sao_paulo___sp,"07:5,01_a_7,00",8,232,562,1.086,3.723,2.763,44.814,12.864,112.104,F,2017
sao_paulo___sp,"08:7,01_a_10,00",4,112,199,361,1.441,1.310,30.327,8.493,75.139,F,2017
sao_paulo___sp,"09:10,01_a_15,00",0,96,61,128,389,560,15.518,4.708,55.487,F,2017
sao_paulo___sp,"10:15,01_a_20,00",0,81,27,22,112,160,5.061,1.543,25.750,F,2017
sao_paulo___sp,"11:mais_de_20,00",0,44,28,16,108,192,2.950,1.325,32.854,F,2017
curitiba___pr,"00:ate_0,50",0,28,142,89,127,57,172,21,165,F,2017
curitiba___pr,"01:0,51_a_1,00",25,221,911,1.246,1.874,1.781,2.453,176,803,F,2017
curitiba___pr,"02:1,01_a_1,50",242,1.430,3.710,7.036,17.100,10.204,38.544,1.965,4.359,F,2017
curitiba___pr,"03:1,51_a_2,00",98,1.250,2.874,4.354,8.412,4.814,25.455,2.041,11.108,F,2017
curitiba___pr,"04:2,01_a_3,00",48,436,878,1.437,3.590,2.512,28.720,3.231,22.512,F,2017
curitiba___pr,"05:3,01_a_4,00",4,96,185,282,977,744,11.763,1.913,23.237,F,2017
curitiba___pr,"06:4,01_a_5,00",3,43,69,129,476,370,6.952,1.123,14.359,F,2017
curitiba___pr,"07:5,01_a_7,00",3,33,59,142,352,252,6.405,1.240,14.328,F,2017
curitiba___pr,"08:7,01_a_10,00",1,9,22,37,144,132,2.614,721,11.489,F,2017
curitiba___pr,"09:10,01_a_15,00",0,7,7,20,62,58,956,399,7.189,F,2017
curitiba___pr,"10:15,01_a_20,00",0,0,1,2,21,10,356,118,3.543,F,2017
curitiba___pr,"11:mais_de_20,00",0,1,3,0,3,6,177,52,3.984,F,2017
florianopolis___sc,"00:ate_0,50",1,3,15,65,44,136,71,12,49,F,2017
florianopolis___sc,"01:0,51_a_1,00",12,67,143,314,597,363,1.046,146,964,F,2017
florianopolis___sc,"02:1,01_a_1,50",58,235,571,1.630,3.288,1.433,6.399,724,1.789,F,2017
