capital,faixa_remuneracao_media_sm,total_pessoas,sexo,ano
sao_paulo___sp,"04:2,01_a_3,00",416.103,F,2020
sao_paulo___sp,"05:3,01_a_4,00",236.699,F,2020
sao_paulo___sp,"06:4,01_a_5,00",146.513,F,2020
sao_paulo___sp,"07:5,01_a_7,00",172.481,F,2020
sao_paulo___sp,"08:7,01_a_10,00",126.829,F,2020
sao_paulo___sp,"09:10,01_a_15,00",79.096,F,2020
sao_paulo___sp,"10:15,01_a_20,00",30.968,F,2020
sao_paulo___sp,"11:mais_de_20,00",31.618,F,2020
curitiba___pr,"00:ate_0,50",2.455,F,2020
curitiba___pr,"01:0,51_a_1,00",30.971,F,2020
curitiba___pr,"02:1,01_a_1,50",106.176,F,2020
curitiba___pr,"03:1,51_a_2,00",59.688,F,2020
curitiba___pr,"04:2,01_a_3,00",61.874,F,2020
curitiba___pr,"05:3,01_a_4,00",46.426,F,2020
curitiba___pr,"06:4,01_a_5,00",27.815,F,2020
curitiba___pr,"07:5,01_a_7,00",34.881,F,2020
curitiba___pr,"08:7,01_a_10,00",17.601,F,2020
curitiba___pr,"09:10,01_a_15,00",9.888,F,2020
curitiba___pr,"10:15,01_a_20,00",3.915,F,2020
curitiba___pr,"11:mais_de_20,00",3.888,F,2020
florianopolis___sc,"00:ate_0,50",1.523,F,2020
florianopolis___sc,"01:0,51_a_1,00",9.957,F,2020
florianopolis___sc,"02:1,01_a_1,50",28.882,F,2020
florianopolis___sc,"03:1,51_a_2,00",22.524,F,2020
florianopolis___sc,"04:2,01_a_3,00",22.120,F,2020
florianopolis___sc,"05:3,01_a_4,00",14.154,F,2020
florianopolis___sc,"06:4,01_a_5,00",10.670,F,2020
florianopolis___sc,"07:5,01_a_7,00",15.291,F,2020
florianopolis___sc,"08:7,01_a_10,00",9.937,F,2020
florianopolis___sc,"09:10,01_a_15,00",6.327,F,2020
florianopolis___sc,"10:15,01_a_20,00",2.245,F,2020
florianopolis___sc,"11:mais_de_20,00",1.761,F,2020
porto_alegre___rs,"00:ate_0,50",2.401,F,2020
porto_alegre___rs,"01:0,51_a_1,00",21.214,F,2020
porto_alegre___rs,"02:1,01_a_1,50",70.932,F,2020
porto_alegre___rs,"03:1,51_a_2,00",56.277,F,2020
porto_alegre___rs,"04:2,01_a_3,00",55.027,F,2020
porto_alegre___rs,"05:3,01_a_4,00",30.081,F,2020
porto_alegre___rs,"06:4,01_a_5,00",18.321,F,2020
porto_alegre___rs,"07:5,01_a_7,00",20.735,F,2020
porto_alegre___rs,"08:7,01_a_10,00",16.876,F,2020
porto_alegre___rs,"09:10,01_a_15,00",13.040,F,2020
porto_alegre___rs,"10:15,01_a_20,00",4.831,F,2020
porto_alegre___rs,"11:mais_de_20,00",4.759,F,2020
campo_grande___ms,"00:ate_0,50",1.478,F,2020
campo_grande___ms,"01:0,51_a_1,00",11.149,F,2020
campo_grande___ms,"02:1,01_a_1,50",37.784,F,2020
campo_grande___ms,"03:1,51_a_2,00",18.457,F,2020
campo_grande___ms,"04:2,01_a_3,00",16.349,F,2020
campo_grande___ms,"05:3,01_a_4,00",10.163,F,2020
campo_grande___ms,"06:4,01_a_5,00",8.585,F,2020
campo_grande___ms,"07:5,01_a_7,00",8.230,F,2020
campo_grande___ms,"08:7,01_a_10,00",4.713,F,2020
campo_grande___ms,"09:10,01_a_15,00",3.587,F,2020
campo_grande___ms,"10:15,01_a_20,00",1.192,F,2020
campo_grande___ms,"11:mais_de_20,00",1.049,F,2020
cuiaba___mt,"00:ate_0,50",924,F,2020
cuiaba___mt,"01:0,51_a_1,00",7.828,F,2020
cuiaba___mt,"02:1,01_a_1,50",27.227,F,2020
cuiaba___mt,"03:1,51_a_2,00",15.040,F,2020
cuiaba___mt,"04:2,01_a_3,00",13.172,F,2020
cuiaba___mt,"05:3,01_a_4,00",9.769,F,2020
cuiaba___mt,"06:4,01_a_5,00",6.374,F,2020
cuiaba___mt,"07:5,01_a_7,00",11.820,F,2020
