capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
fortaleza___ce,"08:7,01_a_10,00",0,1,152,435,3.068,4.530,5.148,958,F,2022
fortaleza___ce,"09:10,01_a_15,00",0,0,168,365,1.853,2.635,3.224,724,F,2022
fortaleza___ce,"10:15,01_a_20,00",0,0,69,139,559,982,1.065,310,F,2022
fortaleza___ce,"11:mais_de_20,00",0,0,36,240,804,968,1.153,278,F,2022
natal___rn,"00:ate_0,50",0,116,1.265,182,250,213,177,38,F,2022
natal___rn,"01:0,51_a_1,00",1,56,2.532,1.749,2.456,1.753,1.022,66,F,2022
natal___rn,"02:1,01_a_1,50",0,16,5.886,8.141,15.656,11.754,6.908,288,F,2022
natal___rn,"03:1,51_a_2,00",0,0,883,2.045,4.675,3.646,2.380,255,F,2022
natal___rn,"04:2,01_a_3,00",0,0,339,1.673,5.622,4.333,3.137,365,F,2022
natal___rn,"05:3,01_a_4,00",0,0,109,999,5.358,4.263,2.805,273,F,2022
natal___rn,"06:4,01_a_5,00",0,0,72,353,2.281,2.172,2.488,379,F,2022
natal___rn,"07:5,01_a_7,00",0,0,50,255,1.559,1.995,2.801,373,F,2022
natal___rn,"08:7,01_a_10,00",0,0,44,128,978,1.127,1.391,224,F,2022
natal___rn,"09:10,01_a_15,00",0,0,32,95,775,1.283,1.158,207,F,2022
natal___rn,"10:15,01_a_20,00",0,0,11,30,151,420,573,103,F,2022
natal___rn,"11:mais_de_20,00",0,0,7,48,216,339,323,71,F,2022
joao_pessoa___pb,"00:ate_0,50",2,34,439,138,241,169,84,12,F,2022
joao_pessoa___pb,"01:0,51_a_1,00",1,75,3.418,2.058,3.594,2.522,1.789,159,F,2022
joao_pessoa___pb,"02:1,01_a_1,50",0,19,6.141,7.419,14.939,12.215,8.281,745,F,2022
joao_pessoa___pb,"03:1,51_a_2,00",0,1,839,2.170,5.656,4.295,3.076,399,F,2022
joao_pessoa___pb,"04:2,01_a_3,00",0,0,415,1.842,6.225,4.990,3.496,483,F,2022
joao_pessoa___pb,"05:3,01_a_4,00",0,0,110,551,2.531,2.176,2.532,641,F,2022
joao_pessoa___pb,"06:4,01_a_5,00",0,0,74,311,1.571,1.361,1.606,472,F,2022
joao_pessoa___pb,"07:5,01_a_7,00",0,0,59,230,1.489,1.653,1.883,397,F,2022
joao_pessoa___pb,"08:7,01_a_10,00",0,0,76,197,989,972,856,255,F,2022
joao_pessoa___pb,"09:10,01_a_15,00",0,0,74,141,680,940,895,258,F,2022
joao_pessoa___pb,"10:15,01_a_20,00",0,0,17,59,208,382,467,108,F,2022
joao_pessoa___pb,"11:mais_de_20,00",0,0,18,86,331,327,319,68,F,2022
recife___pe,"00:ate_0,50",3,204,2.373,250,408,304,380,123,F,2022
recife___pe,"01:0,51_a_1,00",1,96,4.131,3.250,5.290,3.912,2.563,277,F,2022
recife___pe,"02:1,01_a_1,50",0,40,12.124,15.499,28.479,22.418,13.043,765,F,2022
recife___pe,"03:1,51_a_2,00",0,0,2.318,5.442,14.041,13.071,10.270,1.134,F,2022
recife___pe,"04:2,01_a_3,00",0,0,1.261,4.987,15.817,13.552,9.662,1.452,F,2022
recife___pe,"05:3,01_a_4,00",0,0,327,1.781,7.060,7.146,5.901,936,F,2022
recife___pe,"06:4,01_a_5,00",0,0,158,885,4.499,3.793,3.131,678,F,2022
recife___pe,"07:5,01_a_7,00",0,0,159,850,5.600,6.026,5.347,928,F,2022
recife___pe,"08:7,01_a_10,00",0,0,199,690,4.708,5.183,4.269,824,F,2022
recife___pe,"09:10,01_a_15,00",0,0,170,356,2.005,3.100,2.777,558,F,2022
recife___pe,"10:15,01_a_20,00",0,0,51,165,661,1.062,1.212,258,F,2022
recife___pe,"11:mais_de_20,00",0,0,37,193,1.029,1.372,1.258,288,F,2022
maceio___al,"00:ate_0,50",6,172,775,121,196,122,78,3,F,2022
maceio___al,"01:0,51_a_1,00",3,126,4.000,2.206,2.808,1.771,883,35,F,2022
maceio___al,"02:1,01_a_1,50",0,25,6.312,7.506,13.402,10.321,5.156,252,F,2022
maceio___al,"03:1,51_a_2,00",0,2,883,1.827,4.554,3.890,2.813,332,F,2022
maceio___al,"04:2,01_a_3,00",0,1,345,1.192,4.200,5.109,4.648,637,F,2022
maceio___al,"05:3,01_a_4,00",0,0,192,897,2.811,2.686,2.414,323,F,2022
maceio___al,"06:4,01_a_5,00",0,0,111,469,1.771,1.629,1.355,277,F,2022
maceio___al,"07:5,01_a_7,00",0,0,101,245,1.372,2.037,2.168,313,F,2022
maceio___al,"08:7,01_a_10,00",0,0,87,117,612,897,947,206,F,2022
maceio___al,"09:10,01_a_15,00",0,0,64,75,415,767,811,139,F,2022
maceio___al,"10:15,01_a_20,00",0,0,6,24,137,241,279,54,F,2022
maceio___al,"11:mais_de_20,00",0,0,14,48,249,273,273,70,F,2022
aracaju___se,"00:ate_0,50",4,219,838,119,206,198,167,10,F,2022
aracaju___se,"01:0,51_a_1,00",2,79,1.719,1.165,1.830,1.193,530,33,F,2022
aracaju___se,"02:1,01_a_1,50",0,10,4.542,6.332,11.957,9.017,4.492,132,F,2022
aracaju___se,"03:1,51_a_2,00",0,0,581,1.549,5.029,4.660,2.603,127,F,2022
aracaju___se,"04:2,01_a_3,00",0,0,249,1.091,3.891,3.715,2.434,241,F,2022
aracaju___se,"05:3,01_a_4,00",0,1,60,395,1.869,1.523,1.039,138,F,2022
aracaju___se,"06:4,01_a_5,00",0,0,35,214,1.272,1.191,829,116,F,2022
aracaju___se,"07:5,01_a_7,00",0,0,27,139,2.165,3.510,2.347,165,F,2022
aracaju___se,"08:7,01_a_10,00",0,0,21,73,866,1.356,1.172,123,F,2022
aracaju___se,"09:10,01_a_15,00",0,0,35,70,412,571,537,74,F,2022
aracaju___se,"10:15,01_a_20,00",0,0,14,30,135,253,210,23,F,2022
aracaju___se,"11:mais_de_20,00",0,0,9,40,179,291,353,58,F,2022
salvador___ba,"00:ate_0,50",8,329,2.862,387,546,413,198,14,F,2022
salvador___ba,"01:0,51_a_1,00",0,179,7.743,5.246,9.073,8.040,5.829,509,F,2022
salvador___ba,"02:1,01_a_1,50",0,43,14.660,17.577,34.399,29.004,15.334,888,F,2022
salvador___ba,"03:1,51_a_2,00",0,3,2.016,4.808,12.403,12.374,7.064,539,F,2022
salvador___ba,"04:2,01_a_3,00",0,1,1.129,4.754,15.633,14.194,8.570,843,F,2022
salvador___ba,"05:3,01_a_4,00",0,1,344,1.622,6.792,7.664,6.725,800,F,2022
salvador___ba,"06:4,01_a_5,00",0,0,175,1.168,5.896,5.939,4.253,545,F,2022
salvador___ba,"07:5,01_a_7,00",0,0,228,739,5.011,8.256,6.620,897,F,2022
salvador___ba,"08:7,01_a_10,00",0,0,262,552,3.040,6.313,6.973,974,F,2022
salvador___ba,"09:10,01_a_15,00",0,0,188,446,2.120,3.660,3.633,557,F,2022
salvador___ba,"10:15,01_a_20,00",0,0,58,198,790,1.485,1.679,314,F,2022
salvador___ba,"11:mais_de_20,00",0,0,44,226,1.190,1.566,1.679,378,F,2022
belo_horizonte___mg,"00:ate_0,50",42,2.198,3.048,513,917,871,846,95,F,2022
belo_horizonte___mg,"01:0,51_a_1,00",3,1.060,11.547,5.473,8.275,7.478,6.274,520,F,2022
belo_horizonte___mg,"02:1,01_a_1,50",0,509,33.808,26.808,44.954,47.047,47.232,3.132,F,2022
