;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;09:Ignorado;Total
;{ñ class};8.748;8.192;1;16.941
431490:Porto Alegre - RS;Total;336.030;348.044;2;684.076
;00:Até 0,50;2.194;2.543;0;4.737
;01:0,51 a 1,00;10.642;16.143;0;26.785
;02:1,01 a 1,50;49.912;71.298;0;121.210
;03:1,51 a 2,00;60.066;60.002;0;120.068
;04:2,01 a 3,00;56.263;56.808;0;113.071
;05:3,01 a 4,00;28.871;36.247;0;65.118
;06:4,01 a 5,00;20.638;21.376;0;42.014
;07:5,01 a 7,00;25.752;21.288;0;47.040
;08:7,01 a 10,00;21.303;17.526;0;38.829
;09:10,01 a 15,00;18.028;13.070;0;31.098
;10:15,01 a 20,00;7.961;5.495;0;13.456
;11:Mais de 20,00;10.211;6.321;0;16.532
;{ñ class};24.189;19.927;2;44.118
500270:Campo Grande - MS;Total;156.660;150.399;0;307.059
;00:Até 0,50;1.531;1.824;0;3.355
;01:0,51 a 1,00;7.675;10.566;0;18.241
;02:1,01 a 1,50;37.319;44.946;0;82.265
;03:1,51 a 2,00;27.569;19.153;0;46.722
;04:2,01 a 3,00;25.313;19.957;0;45.270
;05:3,01 a 4,00;10.912;10.784;0;21.696
;06:4,01 a 5,00;8.046;9.980;0;18.026
;07:5,01 a 7,00;8.277;9.669;0;17.946
;08:7,01 a 10,00;6.140;5.549;0;11.689
;09:10,01 a 15,00;5.339;4.322;0;9.661
;10:15,01 a 20,00;2.265;1.646;0;3.911
;11:Mais de 20,00;3.160;1.543;0;4.703
;{ñ class};13.114;10.460;0;23.574
510340:Cuiabá - MT;Total;155.566;131.054;0;286.620
;00:Até 0,50;1.040;1.160;0;2.200
;01:0,51 a 1,00;5.396;6.528;0;11.924
;02:1,01 a 1,50;29.907;33.977;0;63.884
;03:1,51 a 2,00;26.430;17.551;0;43.981
;04:2,01 a 3,00;21.828;15.834;0;37.662
;05:3,01 a 4,00;10.587;11.353;0;21.940
;06:4,01 a 5,00;6.372;6.682;0;13.054
;07:5,01 a 7,00;12.790;12.229;0;25.019
;08:7,01 a 10,00;13.639;6.991;0;20.630
;09:10,01 a 15,00;7.709;5.100;0;12.809
;10:15,01 a 20,00;2.983;2.116;0;5.099
;11:Mais de 20,00;3.951;1.850;0;5.801
;{ñ class};12.934;9.683;0;22.617
520870:Goiânia - GO;Total;335.052;307.957;0;643.009
;00:Até 0,50;6.958;7.248;0;14.206
;01:0,51 a 1,00;16.233;18.617;0;34.850
;02:1,01 a 1,50;86.020;97.703;0;183.723
;03:1,51 a 2,00;56.162;46.104;0;102.266
;04:2,01 a 3,00;50.370;37.902;0;88.272
;05:3,01 a 4,00;22.883;22.917;0;45.800
;06:4,01 a 5,00;14.135;17.125;0;31.260
;07:5,01 a 7,00;21.835;19.272;0;41.107
;08:7,01 a 10,00;16.364;11.847;0;28.211
;09:10,01 a 15,00;8.667;6.258;0;14.925
;10:15,01 a 20,00;4.052;2.658;0;6.710
;11:Mais de 20,00;5.188;3.111;0;8.299
;{ñ class};26.185;17.195;0;43.380
530010:Brasília - DF;Total;705.137;544.915;1;1.250.053
;00:Até 0,50;6.755;6.306;0;13.061
;01:0,51 a 1,00;27.679;23.882;0;51.561
;02:1,01 a 1,50;148.488;147.636;0;296.124
;03:1,51 a 2,00;85.765;54.938;0;140.703
;04:2,01 a 3,00;82.178;52.130;0;134.308
;05:3,01 a 4,00;40.745;32.402;0;73.147
;06:4,01 a 5,00;30.392;30.821;0;61.213
;07:5,01 a 7,00;48.723;40.718;0;89.441
;08:7,01 a 10,00;59.305;47.195;0;106.500
;09:10,01 a 15,00;57.350;34.977;0;92.327
;10:15,01 a 20,00;28.654;15.823;0;44.477
;11:Mais de 20,00;32.961;17.560;0;50.521
;{ñ class};56.142;40.527;1;96.670
{ñ class};Total;18.997.320;14.376.660;37;33.374.017
;00:Até 0,50;136.042;143.862;0;279.904
;01:0,51 a 1,00;1.054.600;1.154.180;0;2.208.780
;02:1,01 a 1,50;4.892.829;5.088.589;0;9.981.418
;03:1,51 a 2,00;3.979.099;2.728.503;0;6.707.602
;04:2,01 a 3,00;3.764.971;2.092.266;0;5.857.237
;05:3,01 a 4,00;1.516.605;952.297;0;2.468.902
;06:4,01 a 5,00;723.068;514.781;0;1.237.849
;07:5,01 a 7,00;658.879;477.889;0;1.136.768
;08:7,01 a 10,00;411.556;247.677;0;659.233
;09:10,01 a 15,00;292.862;142.459;0;435.321
;10:15,01 a 20,00;129.748;58.697;0;188.445
;11:Mais de 20,00;197.057;75.921;0;272.978
;{ñ class};1.240.004;699.539;37;1.939.580
Total;Total;29.444.412;23.346.396;56;52.790.864
;00:Até 0,50;227.904;247.565;0;475.469
;01:0,51 a 1,00;1.498.933;1.694.144;0;3.193.077
;02:1,01 a 1,50;7.222.657;7.573.777;0;14.796.434
;03:1,51 a 2,00;5.673.127;3.945.564;0;9.618.691
;04:2,01 a 3,00;5.396.089;3.330.714;0;8.726.803
;05:3,01 a 4,00;2.324.012;1.684.424;0;4.008.436
;06:4,01 a 5,00;1.271.052;1.014.998;0;2.286.050
;07:5,01 a 7,00;1.353.715;1.090.239;0;2.443.954
;08:7,01 a 10,00;966.968;704.224;0;1.671.192
;09:10,01 a 15,00;741.174;447.949;0;1.189.123
;10:15,01 a 20,00;333.389;186.885;0;520.274
;11:Mais de 20,00;474.394;237.816;0;712.210
;{ñ class};1.960.998;1.188.097;56;3.149.151

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2022
Vínculo Ativo 31/12;igual a;Sim
