;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
;05:3,01 a 4,00;24.071;20.168;44.239
;06:4,01 a 5,00;27.882;12.145;40.027
;07:5,01 a 7,00;19.265;18.951;38.216
;08:7,01 a 10,00;12.345;10.483;22.828
;09:10,01 a 15,00;9.727;7.443;17.170
;10:15,01 a 20,00;4.830;3.196;8.026
;11:Mais de 20,00;6.261;3.489;9.750
;{ñ class};6.063;4.472;10.535
240810:Natal - RN;Total;165.811;126.078;291.889
;00:Até 0,50;1.107;1.397;2.504
;01:0,51 a 1,00;5.116;5.510;10.626
;02:1,01 a 1,50;62.955;55.658;118.613
;03:1,51 a 2,00;26.489;15.065;41.554
;04:2,01 a 3,00;24.133;15.464;39.597
;05:3,01 a 4,00;14.158;10.702;24.860
;06:4,01 a 5,00;7.462;5.952;13.414
;07:5,01 a 7,00;7.059;5.185;12.244
;08:7,01 a 10,00;4.891;3.559;8.450
;09:10,01 a 15,00;4.913;3.080;7.993
;10:15,01 a 20,00;2.531;1.656;4.187
;11:Mais de 20,00;2.876;1.241;4.117
;{ñ class};2.121;1.609;3.730
250750:João Pessoa - PB;Total;165.561;125.731;291.292
;00:Até 0,50;600;546;1.146
;01:0,51 a 1,00;11.799;15.081;26.880
;02:1,01 a 1,50;63.858;52.440;116.298
;03:1,51 a 2,00;27.406;15.452;42.858
;04:2,01 a 3,00;26.067;16.162;42.229
;05:3,01 a 4,00;11.009;8.024;19.033
;06:4,01 a 5,00;4.299;3.773;8.072
;07:5,01 a 7,00;6.214;4.801;11.015
;08:7,01 a 10,00;4.783;3.274;8.057
;09:10,01 a 15,00;3.775;3.032;6.807
;10:15,01 a 20,00;2.091;1.371;3.462
;11:Mais de 20,00;1.988;906;2.894
;{ñ class};1.672;869;2.541
261160:Recife - PE;Total;392.883;313.481;706.364
;00:Até 0,50;2.724;3.128;5.852
;01:0,51 a 1,00;8.658;12.278;20.936
;02:1,01 a 1,50;123.848;111.911;235.759
;03:1,51 a 2,00;76.091;53.359;129.450
;04:2,01 a 3,00;59.215;39.813;99.028
;05:3,01 a 4,00;31.272;26.386;57.658
;06:4,01 a 5,00;20.918;15.564;36.482
;07:5,01 a 7,00;23.663;18.755;42.418
;08:7,01 a 10,00;16.361;13.600;29.961
;09:10,01 a 15,00;12.191;9.171;21.362
;10:15,01 a 20,00;4.843;3.297;8.140
;11:Mais de 20,00;5.957;3.120;9.077
;{ñ class};7.142;3.099;10.241
270430:Maceió - AL;Total;156.897;108.045;264.942
;00:Até 0,50;1.131;905;2.036
;01:0,51 a 1,00;5.903;5.448;11.351
;02:1,01 a 1,50;63.999;48.710;112.709
;03:1,51 a 2,00;27.954;15.018;42.972
;04:2,01 a 3,00;19.092;11.973;31.065
;05:3,01 a 4,00;7.362;6.512;13.874
;06:4,01 a 5,00;7.054;4.160;11.214
;07:5,01 a 7,00;7.883;5.577;13.460
;08:7,01 a 10,00;5.401;3.684;9.085
;09:10,01 a 15,00;3.158;2.194;5.352
;10:15,01 a 20,00;1.587;822;2.409
;11:Mais de 20,00;1.900;827;2.727
;{ñ class};4.473;2.215;6.688
280030:Aracaju - SE;Total;124.429;94.635;219.064
;00:Até 0,50;1.184;1.166;2.350
;01:0,51 a 1,00;5.416;5.727;11.143
;02:1,01 a 1,50;44.819;39.414;84.233
;03:1,51 a 2,00;24.359;12.427;36.786
;04:2,01 a 3,00;15.712;10.231;25.943
;05:3,01 a 4,00;6.763;6.512;13.275
;06:4,01 a 5,00;4.851;5.829;10.680
;07:5,01 a 7,00;7.366;5.686;13.052
;08:7,01 a 10,00;4.461;2.808;7.269
;09:10,01 a 15,00;3.398;1.868;5.266
;10:15,01 a 20,00;1.644;784;2.428
;11:Mais de 20,00;2.308;942;3.250
;{ñ class};2.148;1.241;3.389
292740:Salvador - BA;Total;445.014;357.270;802.284
;00:Até 0,50;2.489;2.820;5.309
;01:0,51 a 1,00;13.379;16.863;30.242
;02:1,01 a 1,50;131.769;128.074;259.843
;03:1,51 a 2,00;80.328;44.073;124.401
;04:2,01 a 3,00;67.246;41.162;108.408
;05:3,01 a 4,00;32.139;26.660;58.799
;06:4,01 a 5,00;25.426;19.326;44.752
;07:5,01 a 7,00;38.568;27.242;65.810
;08:7,01 a 10,00;19.493;26.044;45.537
;09:10,01 a 15,00;13.530;12.580;26.110
;10:15,01 a 20,00;5.947;4.107;10.054
;11:Mais de 20,00;7.913;4.749;12.662
;{ñ class};6.787;3.570;10.357
310620:Belo Horizonte - MG;Total;656.686;559.825;1.216.511
;00:Até 0,50;4.576;6.115;10.691
;01:0,51 a 1,00;13.578;20.725;34.303
;02:1,01 a 1,50;135.859;190.178;326.037
;03:1,51 a 2,00;119.332;82.885;202.217
;04:2,01 a 3,00;126.482;91.520;218.002
;05:3,01 a 4,00;51.469;41.841;93.310
;06:4,01 a 5,00;26.895;26.570;53.465
;07:5,01 a 7,00;67.655;39.160;106.815
;08:7,01 a 10,00;42.380;21.451;63.831
;09:10,01 a 15,00;28.946;16.599;45.545
;10:15,01 a 20,00;12.218;7.421;19.639
;11:Mais de 20,00;16.756;9.120;25.876
;{ñ class};10.540;6.240;16.780
320530:Vitória - ES;Total;116.574;107.099;223.673
;00:Até 0,50;1.314;1.336;2.650
;01:0,51 a 1,00;1.846;3.779;5.625
;02:1,01 a 1,50;17.775;29.164;46.939
;03:1,51 a 2,00;16.441;14.949;31.390
;04:2,01 a 3,00;19.659;16.711;36.370
;05:3,01 a 4,00;14.864;12.700;27.564
;06:4,01 a 5,00;7.977;5.769;13.746
;07:5,01 a 7,00;11.743;8.802;20.545
;08:7,01 a 10,00;9.597;5.445;15.042
;09:10,01 a 15,00;6.844;4.449;11.293
;10:15,01 a 20,00;2.982;1.455;4.437
;11:Mais de 20,00;3.796;1.526;5.322
;{ñ class};1.736;1.014;2.750
330455:Rio de Janeiro - RJ;Total;1.460.413;1.060.305;2.520.718
;00:Até 0,50;3.018;2.922;5.940
;01:0,51 a 1,00;23.811;30.075;53.886
;02:1,01 a 1,50;269.191;321.696;590.887
;03:1,51 a 2,00;268.240;182.678;450.918
;04:2,01 a 3,00;304.819;152.327;457.146
;05:3,01 a 4,00;144.501;86.932;231.433
;06:4,01 a 5,00;76.167;54.324;130.491
;07:5,01 a 7,00;107.219;72.308;179.527
;08:7,01 a 10,00;90.607;58.365;148.972
;09:10,01 a 15,00;64.210;42.962;107.172
;10:15,01 a 20,00;30.675;18.657;49.332
;11:Mais de 20,00;46.676;20.454;67.130
;{ñ class};31.279;16.605;47.884
355030:São Paulo - SP;Total;2.925.986;2.482.533;5.408.519
;00:Até 0,50;4.910;6.783;11.693
;01:0,51 a 1,00;52.715;84.223;136.938
;02:1,01 a 1,50;364.286;553.602;917.888
;03:1,51 a 2,00;614.662;458.525;1.073.187
;04:2,01 a 3,00;674.380;427.378;1.101.758
;05:3,01 a 4,00;321.306;239.068;560.374
;06:4,01 a 5,00;206.555;159.767;366.322
;07:5,01 a 7,00;221.371;194.101;415.472
;08:7,01 a 10,00;155.879;145.973;301.852
;09:10,01 a 15,00;119.625;101.777;221.402
;10:15,01 a 20,00;55.819;38.393;94.212
;11:Mais de 20,00;86.134;42.040;128.174
;{ñ class};48.344;30.903;79.247
410690:Curitiba - PR;Total;468.118;445.888;914.006
;00:Até 0,50;673;820;1.493
;01:0,51 a 1,00;7.330;11.932;19.262
;02:1,01 a 1,50;54.798;92.665;147.463
;03:1,51 a 2,00;81.938;85.445;167.383
;04:2,01 a 3,00;109.362;78.148;187.510
;05:3,01 a 4,00;53.335;50.630;103.965
;06:4,01 a 5,00;36.564;34.723;71.287
;07:5,01 a 7,00;45.060;37.800;82.860
;08:7,01 a 10,00;30.194;24.371;54.565
;09:10,01 a 15,00;20.843;13.380;34.223
;10:15,01 a 20,00;8.414;4.709;13.123
;11:Mais de 20,00;11.230;4.851;16.081
;{ñ class};8.377;6.414;14.791
420540:Florianópolis - SC;Total;141.306;135.984;277.290
;00:Até 0,50;224;280;504
;01:0,51 a 1,00;2.414;4.442;6.856
;02:1,01 a 1,50;12.577;24.050;36.627
;03:1,51 a 2,00;22.796;26.015;48.811
;04:2,01 a 3,00;27.244;19.420;46.664
;05:3,01 a 4,00;12.066;10.612;22.678
;06:4,01 a 5,00;11.038;10.098;21.136
;07:5,01 a 7,00;18.907;16.278;35.185
;08:7,01 a 10,00;11.335;9.579;20.914
;09:10,01 a 15,00;8.818;6.684;15.502
;10:15,01 a 20,00;4.819;2.676;7.495
;11:Mais de 20,00;6.245;2.523;8.768
;{ñ class};2.823;3.327;6.150
431490:Porto Alegre - RS;Total;370.303;380.056;750.359
;00:Até 0,50;1.336;1.386;2.722
;01:0,51 a 1,00;8.318;14.422;22.740
;02:1,01 a 1,50;47.104;76.226;123.330
;03:1,51 a 2,00;73.796;68.458;142.254
;04:2,01 a 3,00;76.765;73.810;150.575
;05:3,01 a 4,00;39.599;40.434;80.033
;06:4,01 a 5,00;23.311;22.729;46.040
;07:5,01 a 7,00;27.445;25.992;53.437
;08:7,01 a 10,00;24.334;20.013;44.347
;09:10,01 a 15,00;19.107;15.395;34.502
;10:15,01 a 20,00;8.626;6.053;14.679
;11:Mais de 20,00;10.690;5.850;16.540
;{ñ class};9.872;9.288;19.160
500270:Campo Grande - MS;Total;148.274;126.902;275.176
;00:Até 0,50;604;802;1.406
;01:0,51 a 1,00;3.284;4.867;8.151
;02:1,01 a 1,50;35.839;44.039;79.878
;03:1,51 a 2,00;28.793;19.943;48.736
;04:2,01 a 3,00;28.205;15.867;44.072
;05:3,01 a 4,00;12.516;8.824;21.340
;06:4,01 a 5,00;8.698;8.416;17.114
;07:5,01 a 7,00;10.313;8.801;19.114
;08:7,01 a 10,00;6.923;6.107;13.030
;09:10,01 a 15,00;4.971;3.897;8.868
;10:15,01 a 20,00;2.112;1.354;3.466
;11:Mais de 20,00;3.133;1.280;4.413
;{ñ class};2.883;2.705;5.588
510340:Cuiabá - MT;Total;135.375;108.427;243.802
;00:Até 0,50;550;556;1.106
;01:0,51 a 1,00;2.531;2.837;5.368
;02:1,01 a 1,50;25.745;32.240;57.985
;03:1,51 a 2,00;25.489;16.742;42.231
;04:2,01 a 3,00;25.830;15.675;41.505
;05:3,01 a 4,00;14.217;9.342;23.559
;06:4,01 a 5,00;8.286;8.125;16.411
;07:5,01 a 7,00;11.359;8.707;20.066
;08:7,01 a 10,00;8.333;5.854;14.187
;09:10,01 a 15,00;5.671;4.006;9.677
;10:15,01 a 20,00;2.482;1.828;4.310
;11:Mais de 20,00;3.203;1.460;4.663
;{ñ class};1.679;1.055;2.734
520870:Goiânia - GO;Total;318.829;280.572;599.401
;00:Até 0,50;3.530;3.385;6.915
;01:0,51 a 1,00;9.899;11.410;21.309
;02:1,01 a 1,50;75.510;94.127;169.637
;03:1,51 a 2,00;61.615;49.065;110.680
;04:2,01 a 3,00;63.381;35.912;99.293
;05:3,01 a 4,00;25.750;18.521;44.271
;06:4,01 a 5,00;14.079;15.473;29.552
;07:5,01 a 7,00;22.610;24.731;47.341
;08:7,01 a 10,00;18.877;13.301;32.178
;09:10,01 a 15,00;10.397;7.633;18.030
;10:15,01 a 20,00;3.820;2.330;6.150
;11:Mais de 20,00;4.984;2.031;7.015
;{ñ class};4.377;2.653;7.030
530010:Brasília - DF;Total;772.578;491.294;1.263.872
;00:Até 0,50;3.004;2.501;5.505
;01:0,51 a 1,00;37.083;9.344;46.427
;02:1,01 a 1,50;128.813;139.232;268.045
;03:1,51 a 2,00;120.567;58.101;178.668
;04:2,01 a 3,00;103.608;49.621;153.229
;05:3,01 a 4,00;72.708;27.020;99.728
;06:4,01 a 5,00;31.310;25.179;56.489
;07:5,01 a 7,00;61.316;42.370;103.686
;08:7,01 a 10,00;67.666;42.075;109.741
;09:10,01 a 15,00;67.132;51.659;118.791
;10:15,01 a 20,00;29.910;16.607;46.517
;11:Mais de 20,00;40.367;21.666;62.033
;{ñ class};9.094;5.919;15.013
{ñ class};Total;17.119.744;12.518.476;29.638.220
;00:Até 0,50;63.599;72.627;136.226
;01:0,51 a 1,00;617.746;707.541;1.325.287
;02:1,01 a 1,50;4.244.849;4.872.157;9.117.006
;03:1,51 a 2,00;3.900.768;2.677.170;6.577.938
;04:2,01 a 3,00;3.896.959;1.886.716;5.783.675
;05:3,01 a 4,00;1.633.342;835.140;2.468.482
;06:4,01 a 5,00;779.535;442.514;1.222.049
;07:5,01 a 7,00;720.041;419.062;1.139.103
;08:7,01 a 10,00;424.131;220.379;644.510
;09:10,01 a 15,00;274.320;122.108;396.428
;10:15,01 a 20,00;108.120;39.051;147.171
;11:Mais de 20,00;111.481;24.888;136.369
;{ñ class};344.853;199.123;543.976
Total;Total;27.741.271;21.140.490;48.881.761
;00:Até 0,50;106.829;119.183;226.012
;01:0,51 a 1,00;887.514;1.024.623;1.912.137
;02:1,01 a 1,50;6.447.608;7.420.392;13.868.000
;03:1,51 a 2,00;5.875.313;4.064.941;9.940.254
;04:2,01 a 3,00;5.934.748;3.167.452;9.102.200
;05:3,01 a 4,00;2.621.943;1.568.301;4.190.244
;06:4,01 a 5,00;1.398.264;943.015;2.341.279
;07:5,01 a 7,00;1.511.535;1.058.115;2.569.650
;08:7,01 a 10,00;1.015.745;682.721;1.698.466
;09:10,01 a 15,00;718.534;455.851;1.174.385
;10:15,01 a 20,00;309.166;164.580;473.746
;11:Mais de 20,00;393.261;162.381;555.642
;{ñ class};520.811;308.935;829.746

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2015
Vínculo Ativo 31/12;igual a;Sim
