;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
;04:2,01 a 3,00;44.528;30.535;75.063
;05:3,01 a 4,00;17.339;16.074;33.413
;06:4,01 a 5,00;12.307;16.265;28.572
;07:5,01 a 7,00;16.989;21.133;38.122
;08:7,01 a 10,00;19.480;11.585;31.065
;09:10,01 a 15,00;10.354;6.621;16.975
;10:15,01 a 20,00;3.802;2.363;6.165
;11:Mais de 20,00;4.491;1.975;6.466
;{ñ class};14.867;8.997;23.864
530010:Brasília - DF;Total;754.336;484.072;1.238.408
;00:Até 0,50;5.056;4.616;9.672
;01:0,51 a 1,00;29.960;33.218;63.178
;02:1,01 a 1,50;164.625;115.929;280.554
;03:1,51 a 2,00;82.147;43.400;125.547
;04:2,01 a 3,00;118.376;46.997;165.373
;05:3,01 a 4,00;62.407;24.828;87.235
;06:4,01 a 5,00;29.435;29.728;59.163
;07:5,01 a 7,00;46.416;40.025;86.441
;08:7,01 a 10,00;58.712;37.978;96.690
;09:10,01 a 15,00;56.941;31.873;88.814
;10:15,01 a 20,00;27.311;13.389;40.700
;11:Mais de 20,00;32.885;15.153;48.038
;{ñ class};40.065;46.938;87.003
{ñ class};Total;17.526.277;13.119.114;30.645.391
;00:Até 0,50;123.933;134.088;258.021
;01:0,51 a 1,00;1.270.119;1.497.063;2.767.182
;02:1,01 a 1,50;4.683.506;4.668.369;9.351.875
;03:1,51 a 2,00;3.806.969;2.511.736;6.318.705
;04:2,01 a 3,00;3.503.554;1.840.965;5.344.519
;05:3,01 a 4,00;1.397.734;843.354;2.241.088
;06:4,01 a 5,00;666.035;446.015;1.112.050
;07:5,01 a 7,00;599.747;405.497;1.005.244
;08:7,01 a 10,00;355.437;201.441;556.878
;09:10,01 a 15,00;221.340;97.242;318.582
;10:15,01 a 20,00;85.525;32.409;117.934
;11:Mais de 20,00;72.637;16.801;89.438
;{ñ class};739.741;424.134;1.163.875
Total;Total;27.611.238;21.608.503;49.219.741
;00:Até 0,50;199.475;218.202;417.677
;01:0,51 a 1,00;1.887.202;2.300.292;4.187.494
;02:1,01 a 1,50;6.987.208;6.974.953;13.962.161
;03:1,51 a 2,00;5.470.870;3.719.555;9.190.425
;04:2,01 a 3,00;5.152.149;3.018.785;8.170.934
;05:3,01 a 4,00;2.225.409;1.534.175;3.759.584
;06:4,01 a 5,00;1.205.286;923.936;2.129.222
;07:5,01 a 7,00;1.259.823;960.852;2.220.675
;08:7,01 a 10,00;854.879;599.536;1.454.415
;09:10,01 a 15,00;601.858;357.154;959.012
;10:15,01 a 20,00;264.053;137.196;401.249
;11:Mais de 20,00;289.986;121.607;411.593
;{ñ class};1.213.040;742.260;1.955.300

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2020
Vínculo Ativo 31/12;igual a;Sim
