CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;08:7,01 a 10,00;0;0;8;22;29;31;47;5;0;142;0;0;9;13;57;50;27;4;0;160;0;0;17;35;86;81;74;9;0;302
;09:10,01 a 15,00;0;0;1;2;18;14;11;5;0;51;0;0;0;1;23;20;14;1;0;59;0;0;1;3;41;34;25;6;0;110
;10:15,01 a 20,00;0;0;0;2;11;13;8;3;0;37;0;0;1;0;4;10;8;0;0;23;0;0;1;2;15;23;16;3;0;60
;11:Mais de 20,00;0;0;0;1;28;45;36;6;0;116;0;0;0;0;10;15;9;1;0;35;0;0;0;1;38;60;45;7;0;151
;{ñ class};0;0;25;36;59;33;26;3;0;182;0;0;51;50;89;46;28;4;0;268;0;0;76;86;148;79;54;7;0;450
150140:Belém - PA;Total;0;0;468;1.375;3.989;3.381;2.539;340;0;12.092;0;0;439;1.367;3.601;2.962;2.214;174;0;10.757;0;0;907;2.742;7.590;6.343;4.753;514;0;22.849
;00:Até 0,50;0;0;6;0;2;0;1;0;0;9;0;0;0;0;1;1;1;0;0;3;0;0;6;0;3;1;2;0;0;12
;01:0,51 a 1,00;0;0;33;44;79;67;31;3;0;257;0;0;33;27;70;58;29;2;0;219;0;0;66;71;149;125;60;5;0;476
;02:1,01 a 1,50;0;0;71;123;211;128;74;8;0;615;0;0;53;102;202;125;72;11;0;565;0;0;124;225;413;253;146;19;0;1.180
;03:1,51 a 2,00;0;0;100;284;552;351;199;20;0;1.506;0;0;100;293;505;336;145;5;0;1.384;0;0;200;577;1.057;687;344;25;0;2.890
;04:2,01 a 3,00;0;0;89;260;635;387;245;33;0;1.649;0;0;93;256;616;361;182;19;0;1.527;0;0;182;516;1.251;748;427;52;0;3.176
;05:3,01 a 4,00;0;0;76;188;469;394;276;29;0;1.432;0;0;76;251;594;429;285;19;0;1.654;0;0;152;439;1.063;823;561;48;0;3.086
;06:4,01 a 5,00;0;0;28;123;409;345;192;22;0;1.119;0;0;23;131;353;262;161;9;0;939;0;0;51;254;762;607;353;31;0;2.058
;07:5,01 a 7,00;0;0;45;206;743;536;449;58;0;2.037;0;0;48;195;621;550;408;30;0;1.852;0;0;93;401;1.364;1.086;857;88;0;3.889
;08:7,01 a 10,00;0;0;13;77;390;458;368;68;0;1.374;0;0;5;51;296;394;346;29;0;1.121;0;0;18;128;686;852;714;97;0;2.495
;09:10,01 a 15,00;0;0;4;37;160;302;249;33;0;785;0;0;5;21;111;171;237;15;0;560;0;0;9;58;271;473;486;48;0;1.345
;10:15,01 a 20,00;0;0;3;16;102;125;124;23;0;393;0;0;0;11;70;77;109;9;0;276;0;0;3;27;172;202;233;32;0;669
;11:Mais de 20,00;0;0;0;15;232;281;315;40;0;883;0;0;2;27;153;193;229;25;0;629;0;0;2;42;385;474;544;65;0;1.512
;{ñ class};0;0;0;2;5;7;16;3;0;33;0;0;1;2;9;5;10;1;0;28;0;0;1;4;14;12;26;4;0;61
