CBO 2002 Gr Grupo = {ñ class}
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;{ñ class};0;1;15;18;42;31;21;0;0;128;0;0;13;10;25;16;5;1;0;70;0;1;28;28;67;47;26;1;0;198
140010:Boa Vista - RR;Total;3;94;2.942;2.512;4.615;3.566;1.792;188;7;15.719;0;107;2.177;1.530;3.367;3.107;1.445;106;3;11.842;3;201;5.119;4.042;7.982;6.673;3.237;294;10;27.561
;00:Até 0,50;0;4;1;0;0;0;0;0;0;5;0;3;0;1;1;1;0;0;0;6;0;7;1;1;1;1;0;0;0;11
;01:0,51 a 1,00;1;58;482;182;136;49;19;1;0;928;0;58;415;195;185;75;30;0;1;959;1;116;897;377;321;124;49;1;1;1.887
;02:1,01 a 1,50;1;25;979;482;423;157;92;15;2;2.176;0;36;857;412;527;219;47;1;1;2.100;1;61;1.836;894;950;376;139;16;3;4.276
;03:1,51 a 2,00;1;5;689;622;652;273;165;18;0;2.425;0;7;357;215;258;120;39;2;1;999;1;12;1.046;837;910;393;204;20;1;3.424
;04:2,01 a 3,00;0;2;355;489;754;339;159;15;1;2.114;0;3;268;229;294;146;53;6;0;999;0;5;623;718;1.048;485;212;21;1;3.113
;05:3,01 a 4,00;0;0;136;237;580;417;285;44;3;1.702;0;0;121;123;461;454;338;21;0;1.518;0;0;257;360;1.041;871;623;65;3;3.220
;06:4,01 a 5,00;0;0;166;146;274;170;89;14;0;859;0;0;70;108;202;120;56;8;0;564;0;0;236;254;476;290;145;22;0;1.423
;07:5,01 a 7,00;0;0;75;163;642;796;459;58;0;2.193;0;0;49;124;815;996;536;62;0;2.582;0;0;124;287;1.457;1.792;995;120;0;4.775
;08:7,01 a 10,00;0;0;40;91;293;386;164;11;1;986;0;0;23;50;371;634;213;4;0;1.295;0;0;63;141;664;1.020;377;15;1;2.281
;09:10,01 a 15,00;0;0;10;36;516;549;175;5;0;1.291;0;0;10;27;111;213;98;2;0;461;0;0;20;63;627;762;273;7;0;1.752
;10:15,01 a 20,00;0;0;3;26;148;203;57;1;0;438;0;0;4;26;84;64;11;0;0;189;0;0;7;52;232;267;68;1;0;627
