,faixa_remuneracao_media_sm,sexo_cod,total_pessoas,Adm Técnica Profissional,Transporte e Comunicações,Aloj Comunic,Médicos Odontológicos Vet,Ensino,Administração Pública,Agricultura,Atividades de exploração de jogos de azar e apostas,Atividades esportivas,Atividades de recreação e lazer,"Atividades de organizações associativas patronais, empresariais e profissionais",Atividades de organizações sindicais,Atividades de associações de defesa de direitos sociais,Atividades de organizações associativas não especificadas anteriormente,Reparação e manutenção de equipamentos de informática e comunicação,Reparação e manutenção de objetos e equipamentos pessoais e domésticos,Outras atividades de serviços pessoais,Serviços domésticos,Organismos internacionais e outras instituições extraterritoriais,Fabricação de veículos militares de combate,Sedes de empresas e unidades administrativas locais,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,CLT U/ PJ Determinado,CLT U/ PF Determinado,CLT R/ PJ Determinado,CLT R/ PF Determinado,Diretor,Contrat Prazo Determinado,Contrat TMP Determinado,Contrat Lei Estadual,Contrat Lei Municipal,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,Mestrado,Doutorado
313,0,1,1016.0,49.0,41.0,245.0,24.0,139.0,23.0,1.0,0.0,7.0,1.0,0.0,36.0,42.0,35.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,70.0,128.0,76.0,67.0,9.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,70.0,286.0,313.0,30.0,95.0,2.0,1.0
314,0,0,5448.0,526.0,92.0,1359.0,218.0,812.0,557.0,10.0,0.0,59.0,9.0,4.0,17.0,268.0,74.0,9.0,10.0,251.0,3.0,0.0,0.0,0.0,844.0,1522.0,973.0,450.0,27.0,48.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,547.0,626.0,2867.0,219.0,613.0,29.0,2.0
315,0,1,6071.0,670.0,169.0,1267.0,91.0,629.0,291.0,74.0,0.0,91.0,10.0,10.0,71.0,281.0,150.0,10.0,26.0,55.0,1.0,0.0,0.0,0.0,1036.0,1579.0,987.0,533.0,43.0,103.0,1.0,0.0,1.0,6.0,25.0,0.0,0.0,0.0,758.0,722.0,2627.0,154.0,456.0,29.0,3.0
316,0,0,42344.0,4807.0,744.0,8200.0,4539.0,2599.0,5688.0,35.0,0.0,155.0,55.0,52.0,89.0,875.0,313.0,49.0,70.0,923.0,1.0,0.0,0.0,0.0,7601.0,13402.0,8653.0,4135.0,213.0,338.0,2.0,0.0,0.0,5.0,51.0,0.0,0.0,0.0,4421.0,3411.0,27411.0,1813.0,2640.0,40.0,11.0
317,0,1,58625.0,9155.0,2546.0,8000.0,1359.0,1436.0,3732.0,446.0,1.0,244.0,45.0,81.0,84.0,580.0,407.0,109.0,179.0,363.0,2.0,0.0,0.0,0.0,11092.0,17908.0,11887.0,5846.0,281.0,1328.0,6.0,2.0,5.0,5.0,353.0,1.0,0.0,0.0,7695.0,5573.0,31456.0,1214.0,1215.0,42.0,8.0
318,0,0,14131.0,860.0,256.0,1261.0,1995.0,736.0,5053.0,7.0,0.0,17.0,7.0,33.0,40.0,227.0,97.0,10.0,9.0,86.0,0.0,0.0,0.0,0.0,1858.0,4321.0,3356.0,2274.0,124.0,67.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,792.0,1324.0,6035.0,1060.0,2560.0,38.0,8.0
319,0,1,24300.0,4698.0,1574.0,1955.0,855.0,637.0,3419.0,58.0,0.0,54.0,11.0,23.0,61.0,230.0,187.0,21.0,44.0,89.0,1.0,0.0,0.0,0.0,3473.0,8160.0,6524.0,3572.0,184.0,496.0,1.0,0.0,0.0,5.0,192.0,0.0,0.0,0.0,2877.0,2001.0,12095.0,940.0,1639.0,38.0,4.0
328,1,0,3325.0,40.0,42.0,84.0,45.0,562.0,2098.0,1.0,0.0,0.0,0.0,6.0,1.0,11.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,141.0,774.0,1059.0,1261.0,109.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,58.0,80.0,436.0,282.0,1957.0,158.0,27.0
329,1,1,5017.0,92.0,152.0,103.0,35.0,546.0,2943.0,3.0,0.0,1.0,0.0,6.0,3.0,8.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,255.0,942.0,1619.0,1830.0,180.0,19.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,335.0,448.0,1255.0,411.0,1833.0,140.0,26.0
330,1,0,1867.0,22.0,19.0,152.0,16.0,400.0,1077.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,415.0,580.0,782.0,65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,193.0,118.0,1396.0,59.0,71.0
