,faixa_remuneracao_media_sm,sexo_cod,total_pessoas,Adm Técnica Profissional,Transporte e Comunicações,Aloj Comunic,Médicos Odontológicos Vet,Ensino,Administração Pública,Agricultura,Atividades de exploração de jogos de azar e apostas,Atividades esportivas,Atividades de recreação e lazer,"Atividades de organizações associativas patronais, empresariais e profissionais",Atividades de organizações sindicais,Atividades de associações de defesa de direitos sociais,Atividades de organizações associativas não especificadas anteriormente,Reparação e manutenção de equipamentos de informática e comunicação,Reparação e manutenção de objetos e equipamentos pessoais e domésticos,Outras atividades de serviços pessoais,Serviços domésticos,Organismos internacionais e outras instituições extraterritoriais,Fabricação de veículos militares de combate,Sedes de empresas e unidades administrativas locais,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,CLT U/ PJ Determinado,CLT U/ PF Determinado,CLT R/ PJ Determinado,CLT R/ PF Determinado,Diretor,Contrat Prazo Determinado,Contrat TMP Determinado,Contrat Lei Estadual,Contrat Lei Municipal,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,Mestrado,Doutorado
463,0,1,70076.0,21688.0,2839.0,4337.0,2870.0,1666.0,8212.0,244.0,2.0,285.0,40.0,83.0,211.0,346.0,440.0,207.0,177.0,122.0,4.0,2.0,0.0,0.0,9705.0,23285.0,18244.0,12017.0,784.0,413.0,0.0,2.0,0.0,7.0,167.0,7.0,214.0,0.0,8976.0,4040.0,39005.0,2252.0,6472.0,133.0,28.0
472,1,0,12503.0,684.0,210.0,273.0,665.0,1415.0,7038.0,49.0,0.0,3.0,2.0,20.0,18.0,67.0,25.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,782.0,4028.0,3344.0,3868.0,325.0,34.0,0.0,0.0,0.0,2.0,3.0,7.0,9.0,0.0,68.0,34.0,1198.0,464.0,10358.0,470.0,110.0
473,1,1,15384.0,1307.0,769.0,320.0,340.0,1349.0,8099.0,77.0,0.0,20.0,2.0,23.0,22.0,43.0,22.0,16.0,2.0,0.0,0.0,3.0,0.0,0.0,1131.0,4418.0,4337.0,4911.0,605.0,58.0,0.0,0.0,0.0,8.0,4.0,4.0,13.0,0.0,438.0,242.0,3678.0,999.0,9532.0,454.0,112.0
474,1,0,8078.0,389.0,143.0,494.0,519.0,1295.0,3459.0,15.0,0.0,2.0,1.0,10.0,7.0,26.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,356.0,2171.0,2237.0,2777.0,320.0,26.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,39.0,28.0,577.0,206.0,6491.0,296.0,205.0
475,1,1,11075.0,911.0,641.0,500.0,359.0,1316.0,4660.0,51.0,0.0,18.0,0.0,22.0,10.0,23.0,15.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,561.0,3196.0,3101.0,3611.0,643.0,50.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,156.0,94.0,1883.0,545.0,8021.0,340.0,234.0
476,1,0,2868.0,133.0,41.0,99.0,128.0,480.0,1458.0,2.0,0.0,0.0,1.0,4.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,646.0,868.0,1131.0,113.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,109.0,47.0,2483.0,78.0,72.0
477,1,1,4620.0,336.0,211.0,111.0,109.0,556.0,2103.0,19.0,0.0,6.0,0.0,13.0,2.0,10.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,107.0,1094.0,1570.0,1761.0,200.0,26.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,24.0,22.0,580.0,203.0,3543.0,136.0,96.0
478,3,0,3052.0,85.0,26.0,39.0,79.0,218.0,2212.0,3.0,0.0,0.0,0.0,14.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,545.0,1088.0,1258.0,163.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,39.0,59.0,2764.0,91.0,34.0
479,3,1,6210.0,276.0,152.0,111.0,62.0,328.0,3531.0,13.0,0.0,15.0,0.0,34.0,2.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,74.0,924.0,2083.0,2662.0,411.0,31.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,19.0,11.0,267.0,185.0,5100.0,143.0,73.0
480,0,0,180.0,12.0,10.0,25.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,100.0,47.0,6.0,7.0,0.0,0.0
481,0,1,198.0,12.0,10.0,28.0,5.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,127.0,36.0,4.0,8.0,0.0,0.0
482,0,0,1303.0,83.0,26.0,283.0,98.0,101.0,42.0,40.0,0.0,7.0,1.0,2.0,8.0,14.0,25.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,237.0,376.0,202.0,63.0,3.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,111.0,141.0,672.0,35.0,73.0,2.0,0.0
483,0,1,1520.0,160.0,36.0,191.0,28.0,73.0,44.0,278.0,0.0,14.0,1.0,2.0,10.0,7.0,14.0,0.0,5.0,6.0,2.0,0.0,0.0,0.0,263.0,364.0,202.0,118.0,8.0,8.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,138.0,186.0,763.0,24.0,52.0,2.0,0.0
484,0,0,12285.0,1056.0,246.0,2454.0,942.0,413.0,1589.0,82.0,0.0,61.0,15.0,13.0,63.0,49.0,69.0,6.0,21.0,105.0,1.0,0.0,0.0,0.0,2403.0,3935.0,2186.0,945.0,64.0,156.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,93.0,1163.0,756.0,8486.0,513.0,506.0,4.0,0.0
485,0,1,15003.0,1473.0,551.0,2003.0,333.0,307.0,786.0,578.0,0.0,68.0,18.0,9.0,48.0,29.0,67.0,8.0,40.0,53.0,3.0,0.0,0.0,0.0,3109.0,4227.0,2057.0,1165.0,101.0,157.0,2.0,0.0,3.0,0.0,14.0,0.0,0.0,36.0,1380.0,1177.0,10012.0,301.0,270.0,6.0,0.0
486,0,0,5535.0,326.0,99.0,441.0,570.0,206.0,2418.0,14.0,0.0,7.0,3.0,9.0,11.0,21.0,35.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,893.0,1752.0,1152.0,972.0,107.0,28.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,49.0,602.0,192.0,3292.0,334.0,625.0,4.0,0.0
487,0,1,8567.0,1446.0,384.0,588.0,208.0,178.0,1176.0,223.0,0.0,17.0,3.0,7.0,19.0,12.0,35.0,1.0,6.0,23.0,0.0,0.0,0.0,0.0,1852.0,3139.0,1713.0,979.0,116.0,52.0,2.0,0.0,1.0,0.0,14.0,0.0,0.0,84.0,981.0,537.0,5458.0,223.0,406.0,4.0,1.0
496,1,0,1811.0,25.0,10.0,34.0,28.0,146.0,1439.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,129.0,557.0,658.0,458.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,9.0,272.0,33.0,1433.0,28.0,2.0
497,1,1,2053.0,47.0,32.0,35.0,20.0,235.0,1270.0,6.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,577.0,615.0,570.0,56.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,91.0,19.0,478.0,62.0,1266.0,27.0,5.0
498,1,0,1104.0,14.0,5.0,71.0,30.0,114.0,704.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,309.0,385.0,315.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,125.0,13.0,843.0,17.0,8.0
499,1,1,1411.0,30.0,20.0,51.0,29.0,123.0,913.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,381.0,424.0,456.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,210.0,38.0,1070.0,14.0,16.0
500,1,0,348.0,7.0,1.0,7.0,21.0,41.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,85.0,118.0,127.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,316.0,9.0,2.0
501,1,1,628.0,24.0,5.0,12.0,24.0,51.0,427.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,159.0,196.0,196.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,61.0,5.0,527.0,12.0,5.0
502,3,0,381.0,20.0,0.0,2.0,11.0,23.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,108.0,136.0,107.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,357.0,5.0,9.0
503,3,1,864.0,49.0,4.0,3.0,11.0,40.0,643.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,226.0,264.0,286.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,87.0,9.0,701.0,19.0,29.0
504,0,0,3094.0,240.0,109.0,975.0,67.0,1149.0,228.0,0.0,0.0,527.0,30.0,1.0,5.0,24.0,103.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,488.0,823.0,503.0,481.0,62.0,18.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,133.0,322.0,752.0,138.0,1585.0,13.0,3.0
505,0,1,3435.0,307.0,196.0,1262.0,28.0,732.0,199.0,1.0,0.0,861.0,30.0,2.0,8.0,41.0,25.0,2.0,2.0,34.0,0.0,0.0,0.0,0.0,551.0,984.0,472.0,386.0,48.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,197.0,402.0,722.0,121.0,1546.0,18.0,2.0
506,0,0,30560.0,6499.0,1447.0,8818.0,972.0,4378.0,1104.0,8.0,12.0,1364.0,135.0,20.0,27.0,884.0,690.0,27.0,20.0,548.0,5.0,1.0,0.0,0.0,3652.0,5462.0,3426.0,2469.0,259.0,164.0,1.0,0.0,0.0,28.0,27.0,9.0,133.0,0.0,2293.0,5328.0,13928.0,1216.0,5072.0,78.0,16.0
507,0,1,25070.0,3615.0,2044.0,6781.0,381.0,2678.0,1571.0,33.0,12.0,1989.0,103.0,53.0,38.0,586.0,497.0,28.0,54.0,163.0,2.0,1.0,0.0,0.0,2858.0,4380.0,2754.0,2192.0,296.0,148.0,0.0,0.0,0.0,41.0,28.0,7.0,95.0,0.0,2966.0,4843.0,9142.0,773.0,4251.0,86.0,16.0
508,0,0,301434.0,47102.0,7236.0,69894.0,18621.0,23795.0,15357.0,174.0,66.0,2608.0,783.0,369.0,335.0,5232.0,3137.0,382.0,564.0,12667.0,44.0,15.0,0.0,0.0,51947.0,83123.0,60298.0,44116.0,3034.0,2518.0,31.0,2.0,0.0,23.0,232.0,410.0,330.0,0.0,49702.0,25389.0,172011.0,10201.0,19537.0,245.0,58.0
509,0,1,279429.0,52434.0,17706.0,66438.0,5342.0,7211.0,10304.0,1026.0,161.0,3196.0,796.0,291.0,264.0,3433.0,2629.0,798.0,1353.0,4307.0,24.0,17.0,0.0,0.0,52243.0,70193.0,46779.0,40047.0,4264.0,2356.0,7.0,3.0,2.0,32.0,435.0,319.0,192.0,0.0,61270.0,29130.0,138736.0,6307.0,10041.0,213.0,60.0
510,0,0,155769.0,22479.0,7352.0,21401.0,21814.0,9513.0,21860.0,49.0,34.0,734.0,203.0,660.0,351.0,4367.0,1661.0,177.0,202.0,1481.0,5.0,11.0,0.0,0.0,26757.0,49893.0,34092.0,24043.0,1783.0,1060.0,9.0,1.0,0.0,17.0,111.0,458.0,310.0,0.0,13864.0,8591.0,87743.0,9002.0,25234.0,201.0,51.0
511,0,1,245924.0,68488.0,21814.0,31416.0,7617.0,4728.0,16641.0,647.0,109.0,1535.0,373.0,396.0,282.0,2722.0,1604.0,587.0,666.0,1192.0,11.0,15.0,0.0,0.0,44425.0,73800.0,51603.0,42177.0,3991.0,1631.0,8.0,2.0,0.0,28.0,233.0,283.0,161.0,0.0,52339.0,20530.0,118351.0,6773.0,14099.0,193.0,63.0
520,1,0,51636.0,5314.0,2255.0,3297.0,2493.0,5570.0,21747.0,8.0,9.0,122.0,11.0,251.0,139.0,874.0,271.0,44.0,6.0,22.0,0.0,26.0,0.0,0.0,5208.0,16553.0,15108.0,13447.0,1298.0,360.0,0.0,0.0,0.0,10.0,25.0,87.0,5.0,0.0,363.0,190.0,8151.0,2618.0,36814.0,811.0,276.0
521,1,1,71265.0,8760.0,6630.0,3885.0,1431.0,4208.0,27885.0,15.0,12.0,255.0,24.0,225.0,149.0,612.0,237.0,129.0,21.0,25.0,0.0,21.0,0.0,0.0,6807.0,20151.0,23449.0,19536.0,2205.0,472.0,0.0,0.0,0.0,25.0,34.0,92.0,5.0,0.0,5850.0,3381.0,22348.0,5741.0,33665.0,709.0,241.0
522,1,0,36905.0,3924.0,1899.0,2754.0,1655.0,4140.0,14629.0,4.0,3.0,65.0,4.0,195.0,90.0,510.0,170.0,23.0,3.0,12.0,0.0,24.0,0.0,0.0,2940.0,11584.0,11302.0,10793.0,1117.0,227.0,0.0,0.0,0.0,10.0,17.0,44.0,0.0,0.0,199.0,89.0,3919.0,1147.0,29412.0,845.0,391.0
523,1,1,52698.0,7287.0,5281.0,2967.0,992.0,3604.0,18083.0,8.0,5.0,173.0,17.0,201.0,99.0,473.0,156.0,69.0,9.0,13.0,0.0,21.0,0.0,0.0,5116.0,15465.0,16562.0,16279.0,2068.0,325.0,0.0,0.0,0.0,40.0,19.0,37.0,0.0,0.0,1389.0,1216.0,11233.0,3379.0,34834.0,811.0,443.0
524,1,0,15531.0,1874.0,750.0,939.0,571.0,1895.0,5578.0,2.0,2.0,31.0,3.0,82.0,20.0,191.0,59.0,7.0,1.0,2.0,0.0,10.0,0.0,0.0,866.0,4643.0,5069.0,5410.0,557.0,104.0,0.0,0.0,0.0,6.0,5.0,7.0,0.0,0.0,61.0,31.0,887.0,348.0,13109.0,602.0,297.0
525,1,1,27228.0,3523.0,2838.0,1225.0,363.0,1742.0,8158.0,2.0,2.0,97.0,7.0,122.0,34.0,211.0,58.0,30.0,2.0,3.0,0.0,7.0,0.0,0.0,1855.0,8015.0,8242.0,8193.0,1188.0,171.0,0.0,0.0,0.0,28.0,6.0,7.0,0.0,0.0,489.0,209.0,3573.0,1024.0,20304.0,866.0,397.0
526,3,0,19787.0,1805.0,661.0,1001.0,797.0,1189.0,7552.0,1.0,0.0,30.0,2.0,93.0,25.0,113.0,28.0,6.0,0.0,1.0,0.0,5.0,0.0,0.0,542.0,4759.0,6429.0,6551.0,777.0,162.0,0.0,0.0,0.0,26.0,4.0,2.0,0.0,0.0,42.0,38.0,665.0,282.0,16101.0,818.0,422.0
527,3,1,45502.0,5474.0,3463.0,2181.0,290.0,1698.0,12061.0,4.0,1.0,239.0,5.0,296.0,41.0,171.0,64.0,17.0,3.0,6.0,0.0,3.0,0.0,0.0,1183.0,9527.0,13992.0,17174.0,2238.0,278.0,0.0,0.0,0.0,252.0,17.0,6.0,0.0,0.0,326.0,164.0,3501.0,953.0,36574.0,2186.0,880.0
528,0,0,2558.0,153.0,178.0,290.0,130.0,279.0,148.0,0.0,0.0,39.0,1.0,3.0,10.0,17.0,42.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,81.0,182.0,131.0,148.0,10.0,36.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,63.0,805.0,1058.0,59.0,237.0,7.0,2.0
529,0,1,2489.0,256.0,228.0,368.0,66.0,211.0,125.0,1.0,0.0,80.0,0.0,2.0,30.0,19.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,88.0,174.0,143.0,173.0,23.0,40.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,96.0,899.0,808.0,42.0,218.0,6.0,1.0
530,0,0,18943.0,4502.0,770.0,3023.0,377.0,2848.0,970.0,24.0,0.0,198.0,18.0,10.0,26.0,235.0,256.0,23.0,25.0,176.0,6.0,0.0,0.0,0.0,2977.0,4577.0,2568.0,1438.0,74.0,143.0,1.0,0.0,0.0,12.0,29.0,1.0,1.0,0.0,771.0,1610.0,12868.0,597.0,1591.0,68.0,9.0
531,0,1,13911.0,2337.0,797.0,2172.0,203.0,1253.0,681.0,218.0,0.0,238.0,11.0,11.0,116.0,159.0,168.0,31.0,42.0,96.0,4.0,0.0,0.0,0.0,2426.0,3266.0,1689.0,1169.0,101.0,132.0,2.0,0.0,1.0,15.0,40.0,1.0,0.0,0.0,1416.0,1823.0,7813.0,428.0,1003.0,61.0,6.0
532,0,0,122508.0,21210.0,3043.0,22447.0,10354.0,6703.0,7725.0,99.0,6.0,530.0,129.0,122.0,174.0,976.0,1853.0,153.0,180.0,3417.0,9.0,10.0,0.0,0.0,22133.0,37560.0,23854.0,12306.0,863.0,1007.0,5.0,0.0,0.0,11.0,181.0,132.0,1.0,0.0,6160.0,6469.0,90973.0,4209.0,6981.0,114.0,23.0
533,0,1,131352.0,29526.0,8155.0,17479.0,3523.0,3355.0,4893.0,517.0,1.0,838.0,111.0,89.0,248.0,765.0,1171.0,396.0,413.0,903.0,5.0,13.0,0.0,0.0,26830.0,41137.0,25518.0,13643.0,768.0,1431.0,7.0,2.0,2.0,22.0,177.0,194.0,1.0,0.0,12560.0,12109.0,89238.0,2535.0,3217.0,101.0,15.0
534,0,0,40460.0,5293.0,1574.0,4540.0,7808.0,2646.0,8580.0,17.0,0.0,93.0,23.0,128.0,114.0,507.0,847.0,44.0,32.0,273.0,1.0,1.0,0.0,0.0,7472.0,13915.0,9418.0,5867.0,434.0,478.0,1.0,0.0,0.0,6.0,91.0,11.0,2.0,0.0,1040.0,1110.0,26863.0,2623.0,7316.0,91.0,15.0
535,0,1,75178.0,17968.0,8819.0,5707.0,3516.0,1927.0,6507.0,96.0,0.0,298.0,31.0,107.0,128.0,390.0,750.0,147.0,144.0,186.0,5.0,8.0,0.0,0.0,11742.0,26095.0,19316.0,12867.0,721.0,839.0,6.0,1.0,0.0,10.0,173.0,7.0,1.0,0.0,7507.0,5595.0,46387.0,1963.0,4185.0,79.0,18.0
544,1,0,17903.0,638.0,299.0,654.0,1438.0,1933.0,11845.0,3.0,0.0,7.0,1.0,38.0,12.0,90.0,216.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,909.0,4103.0,6347.0,6327.0,688.0,104.0,0.0,0.0,0.0,1.0,20.0,6.0,0.0,0.0,51.0,91.0,3535.0,597.0,13651.0,454.0,139.0
545,1,1,16314.0,1154.0,770.0,522.0,520.0,1324.0,8759.0,6.0,0.0,35.0,1.0,30.0,19.0,55.0,85.0,21.0,3.0,2.0,0.0,0.0,0.0,0.0,1253.0,3854.0,4976.0,5549.0,747.0,120.0,0.0,0.0,0.0,5.0,24.0,3.0,0.0,0.0,614.0,312.0,5183.0,858.0,8445.0,342.0,114.0
546,1,0,10324.0,477.0,138.0,514.0,625.0,1401.0,5545.0,3.0,0.0,3.0,0.0,17.0,6.0,38.0,104.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,405.0,2293.0,3302.0,3856.0,371.0,24.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,26.0,28.0,1463.0,280.0,7437.0,428.0,170.0
547,1,1,11710.0,849.0,455.0,437.0,325.0,1205.0,6311.0,4.0,0.0,23.0,0.0,18.0,9.0,34.0,72.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,780.0,3394.0,3473.0,3788.0,542.0,49.0,0.0,0.0,0.0,6.0,8.0,3.0,0.0,0.0,170.0,116.0,2593.0,486.0,7897.0,275.0,136.0
548,1,0,3965.0,105.0,45.0,133.0,259.0,585.0,2231.0,1.0,0.0,0.0,0.0,6.0,1.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,882.0,1315.0,1570.0,152.0,7.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,9.0,352.0,65.0,3228.0,95.0,141.0
549,1,1,5772.0,305.0,148.0,133.0,167.0,556.0,2982.0,4.0,0.0,12.0,0.0,9.0,1.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,1342.0,1879.0,2169.0,302.0,13.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,61.0,22.0,876.0,202.0,4416.0,117.0,109.0
550,3,0,4302.0,39.0,38.0,60.0,189.0,271.0,3278.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,661.0,1465.0,1906.0,269.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,8.0,188.0,44.0,3828.0,97.0,68.0
551,3,1,7281.0,222.0,162.0,139.0,154.0,341.0,4383.0,4.0,0.0,41.0,0.0,11.0,1.0,5.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,96.0,1094.0,2180.0,3535.0,582.0,17.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,29.0,24.0,525.0,150.0,5975.0,189.0,84.0
552,0,0,369.0,27.0,32.0,79.0,4.0,90.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,61.0,44.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,58.0,165.0,11.0,80.0,1.0,0.0
553,0,1,457.0,19.0,34.0,142.0,4.0,80.0,9.0,0.0,0.0,2.0,0.0,0.0,41.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,92.0,103.0,64.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,65.0,163.0,10.0,71.0,1.0,0.0
554,0,0,7211.0,1231.0,216.0,1143.0,271.0,530.0,2587.0,14.0,0.0,81.0,5.0,9.0,22.0,132.0,104.0,7.0,8.0,153.0,2.0,0.0,0.0,0.0,946.0,2002.0,1556.0,1008.0,134.0,16.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,9.0,372.0,406.0,5583.0,286.0,774.0,13.0,1.0
555,0,1,7004.0,921.0,361.0,825.0,103.0,370.0,1786.0,38.0,0.0,90.0,6.0,8.0,92.0,101.0,60.0,13.0,19.0,61.0,3.0,0.0,0.0,0.0,1199.0,1716.0,1287.0,789.0,136.0,26.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,7.0,659.0,556.0,4252.0,146.0,457.0,15.0,1.0
556,0,0,55245.0,6668.0,2026.0,9924.0,6113.0,2610.0,7535.0,80.0,0.0,116.0,44.0,59.0,119.0,2287.0,275.0,47.0,54.0,559.0,4.0,0.0,0.0,0.0,9918.0,18872.0,11430.0,6018.0,349.0,223.0,2.0,1.0,0.0,5.0,94.0,1.0,1.0,5.0,2276.0,1430.0,42697.0,1531.0,4620.0,43.0,4.0
557,0,1,58911.0,10097.0,3054.0,7142.0,1569.0,1261.0,5032.0,182.0,0.0,143.0,44.0,80.0,134.0,981.0,258.0,76.0,110.0,226.0,3.0,0.0,0.0,0.0,11651.0,18376.0,10342.0,5879.0,456.0,450.0,0.0,1.0,0.0,5.0,169.0,0.0,1.0,4.0,6709.0,3181.0,41637.0,876.0,2048.0,49.0,3.0
558,0,0,17398.0,1724.0,369.0,1789.0,1378.0,958.0,5677.0,7.0,0.0,21.0,4.0,48.0,59.0,730.0,149.0,9.0,6.0,81.0,0.0,0.0,0.0,0.0,2812.0,5362.0,3617.0,3439.0,371.0,128.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,4.0,597.0,215.0,10963.0,848.0,3213.0,53.0,2.0
559,0,1,30739.0,7487.0,2269.0,1960.0,549.0,534.0,3673.0,39.0,0.0,35.0,3.0,56.0,96.0,284.0,132.0,21.0,25.0,68.0,2.0,0.0,0.0,0.0,5154.0,10919.0,6892.0,4575.0,437.0,279.0,0.0,0.0,0.0,3.0,146.0,0.0,1.0,3.0,2940.0,1328.0,21688.0,647.0,1718.0,34.0,4.0
568,1,0,5316.0,111.0,147.0,120.0,115.0,477.0,3777.0,0.0,0.0,0.0,0.0,5.0,5.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,1124.0,1363.0,2083.0,207.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,8.0,654.0,118.0,3271.0,113.0,11.0
569,1,1,7501.0,248.0,780.0,214.0,104.0,424.0,3899.0,1.0,0.0,0.0,0.0,13.0,9.0,23.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,1952.0,1755.0,2504.0,439.0,18.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,172.0,70.0,2844.0,285.0,3261.0,85.0,15.0
570,1,0,2657.0,59.0,90.0,54.0,57.0,277.0,1572.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,689.0,728.0,945.0,145.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,348.0,69.0,1928.0,81.0,15.0
571,1,1,4650.0,134.0,539.0,112.0,47.0,281.0,2457.0,1.0,0.0,0.0,0.0,4.0,4.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,1475.0,1308.0,1360.0,208.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,87.0,35.0,1184.0,195.0,2879.0,79.0,19.0
572,1,0,1107.0,20.0,27.0,6.0,73.0,97.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,286.0,341.0,382.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,131.0,28.0,787.0,55.0,23.0
573,1,1,2214.0,45.0,155.0,33.0,26.0,122.0,1237.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,544.0,677.0,727.0,101.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,6.0,452.0,62.0,1400.0,50.0,25.0
574,3,0,1121.0,16.0,20.0,4.0,48.0,25.0,885.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,282.0,370.0,372.0,41.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,71.0,7.0,900.0,14.0,12.0
