capital,faixa_remuneracao_media_sm,total_pessoas,sexo,ano
cuiaba___mt,"01:0,51_a_1,00",7828,F,2020
cuiaba___mt,"02:1,01_a_1,50",27227,F,2020
cuiaba___mt,"03:1,51_a_2,00",15040,F,2020
cuiaba___mt,"04:2,01_a_3,00",13172,F,2020
cuiaba___mt,"05:3,01_a_4,00",9769,F,2020
cuiaba___mt,"06:4,01_a_5,00",6374,F,2020
cuiaba___mt,"07:5,01_a_7,00",11820,F,2020
cuiaba___mt,"08:7,01_a_10,00",6338,F,2020
cuiaba___mt,"09:10,01_a_15,00",3832,F,2020
cuiaba___mt,"10:15,01_a_20,00",1727,F,2020
cuiaba___mt,"11:mais_de_20,00",1309,F,2020
goiania___go,"00:ate_0,50",2908,F,2020
goiania___go,"01:0,51_a_1,00",25843,F,2020
goiania___go,"02:1,01_a_1,50",78977,F,2020
goiania___go,"03:1,51_a_2,00",41589,F,2020
goiania___go,"04:2,01_a_3,00",30535,F,2020
goiania___go,"05:3,01_a_4,00",16074,F,2020
goiania___go,"06:4,01_a_5,00",16265,F,2020
goiania___go,"07:5,01_a_7,00",21133,F,2020
goiania___go,"08:7,01_a_10,00",11585,F,2020
goiania___go,"09:10,01_a_15,00",6621,F,2020
goiania___go,"10:15,01_a_20,00",2363,F,2020
goiania___go,"11:mais_de_20,00",1975,F,2020
brasilia___df,"00:ate_0,50",4616,F,2020
brasilia___df,"01:0,51_a_1,00",33218,F,2020
brasilia___df,"02:1,01_a_1,50",115929,F,2020
brasilia___df,"03:1,51_a_2,00",43400,F,2020
brasilia___df,"04:2,01_a_3,00",46997,F,2020
brasilia___df,"05:3,01_a_4,00",24828,F,2020
brasilia___df,"06:4,01_a_5,00",29728,F,2020
brasilia___df,"07:5,01_a_7,00",40025,F,2020
brasilia___df,"08:7,01_a_10,00",37978,F,2020
brasilia___df,"09:10,01_a_15,00",31873,F,2020
brasilia___df,"10:15,01_a_20,00",13389,F,2020
brasilia___df,"11:mais_de_20,00",15153,F,2020
porto_velho___ro,"00:ate_0,50",466,M,2020
porto_velho___ro,"01:0,51_a_1,00",3341,M,2020
porto_velho___ro,"02:1,01_a_1,50",17930,M,2020
porto_velho___ro,"03:1,51_a_2,00",13966,M,2020
porto_velho___ro,"04:2,01_a_3,00",13763,M,2020
porto_velho___ro,"05:3,01_a_4,00",10076,M,2020
porto_velho___ro,"06:4,01_a_5,00",5268,M,2020
porto_velho___ro,"07:5,01_a_7,00",5768,M,2020
porto_velho___ro,"08:7,01_a_10,00",3260,M,2020
porto_velho___ro,"09:10,01_a_15,00",2679,M,2020
porto_velho___ro,"10:15,01_a_20,00",1326,M,2020
porto_velho___ro,"11:mais_de_20,00",1351,M,2020
rio_branco___ac,"00:ate_0,50",392,M,2020
rio_branco___ac,"01:0,51_a_1,00",4154,M,2020
rio_branco___ac,"02:1,01_a_1,50",13594,M,2020
