;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
;06:4,01 a 5,00;1;43;54;161;354;180;6.789;846;4.220;134;56;12.838;0;6;3;11;45;28;2.128;415;7.557;154;120;10.467;1;49;57;172;399;208;8.917;1.261;11.777;288;176;23.305
;07:5,01 a 7,00;2;36;27;274;664;180;8.493;902;5.690;203;96;16.567;0;9;3;14;64;36;2.414;439;7.993;188;155;11.315;2;45;30;288;728;216;10.907;1.341;13.683;391;251;27.882
;08:7,01 a 10,00;0;22;12;86;351;120;3.600;533;5.775;268;97;10.864;0;5;0;2;28;17;861;232;5.508;260;111;7.024;0;27;12;88;379;137;4.461;765;11.283;528;208;17.888
;09:10,01 a 15,00;0;3;11;25;167;92;1.840;291;5.025;308;211;7.973;0;0;3;3;19;12;538;96;3.433;236;198;4.538;0;3;14;28;186;104;2.378;387;8.458;544;409;12.511
;10:15,01 a 20,00;0;2;4;1;53;24;571;124;2.140;171;50;3.140;0;0;0;1;6;8;188;32;1.255;87;34;1.611;0;2;4;2;59;32;759;156;3.395;258;84;4.751
;11:Mais de 20,00;0;0;1;5;19;13;371;80;2.944;171;65;3.669;0;0;0;0;0;2;62;13;1.356;51;45;1.529;0;0;1;5;19;15;433;93;4.300;222;110;5.198
;{ñ class};16;126;89;282;499;261;2.191;76;165;30;10;3.745;13;41;23;91;152;82;1.341;68;204;15;8;2.038;29;167;112;373;651;343;3.532;144;369;45;18;5.783
140010:Boa Vista - RR;Total;128;519;584;1.225;4.262;1.687;22.642;1.019;10.764;326;114;43.270;56;203;287;740;2.973;824;19.586;1.219;17.309;284;95;43.576;184;722;871;1.965;7.235;2.511;42.228;2.238;28.073;610;209;86.846
;00:Até 0,50;0;0;0;14;14;96;59;2;17;5;1;208;1;0;0;8;17;85;54;12;15;4;0;196;1;0;0;22;31;181;113;14;32;9;1;404
;01:0,51 a 1,00;3;14;12;42;103;230;799;31;134;4;0;1.372;1;8;8;32;90;163;833;55;248;4;0;1.442;4;22;20;74;193;393;1.632;86;382;8;0;2.814
;02:1,01 a 1,50;82;176;203;343;1.845;749;9.836;283;883;8;1;14.409;46;102;220;260;1.930;437;10.208;482;1.647;11;0;15.343;128;278;423;603;3.775;1.186;20.044;765;2.530;19;1;29.752
;03:1,51 a 2,00;32;83;118;259;898;342;4.269;177;455;4;0;6.637;4;8;30;55;377;74;2.372;211;774;7;0;3.912;36;91;148;314;1.275;416;6.641;388;1.229;11;0;10.549
