sexo,extrativa_mineral,mineral_nao_metalico,metalurgica,mecanica,eletrico_comunicacao,material_transporte,madeira_mobiliario,papel,borracha_fumo_couro,quimica,textil,calcados,alimentos_bebidas,servico_utilidade_publica,construcao_civil,varejo,atacado,intituicao_financeira,adm_tec_profissional,transporte_comunicacoes,aloj_comunicacao,medico_dentista_veterinario,ensino,adm_publica,agricultura,faixa_salarial,ano
m,11.336,3.051,9.858,14.398,6.675,22.719,1.216,7.234,3.741,25.354,1.657,473,11.003,22.951,15.208,16.325,21.616,50.405,63.490,30.998,20.884,17.875,55.766,206.984,4.061,"09:10,01 a 15,00",2016
f,2.099,640,1.574,2.103,1.299,3.464,183,2.495,845,9.339,812,125,3.366,5.562,3.478,7.107,9.376,36.901,29.028,9.156,19.429,22.931,56.129,170.723,797,"09:10,01 a 15,00",2016
m,482,672,1.607,1.276,646,1.247,711,794,513,1.177,1.026,773,4.825,652,7.764,13.795,3.482,489,6.614,6.736,19.757,1.767,13.267,5.940,1.999,"00:Até 0,50",2014
f,273,407,722,605,413,538,531,570,382,804,1.855,865,3.986,633,4.281,15.810,3.238,994,10.765,6.196,22.715,4.266,16.722,12.085,2.084,"00:Até 0,50",2014
m,10.380,1.336,4.241,6.541,3.357,13.347,504,2.921,1.782,15.846,732,161,4.517,9.785,10.319,7.725,10.216,28.652,31.808,15.834,8.719,7.398,22.541,98.529,1.519,"10:15,01 a 20,00",2014
f,2.041,236,579,806,460,1.775,82,1.189,371,5.183,309,35,1.145,2.149,1.711,2.620,3.787,14.775,13.129,3.730,6.361,8.382,21.217,66.509,325,"10:15,01 a 20,00",2014
m,21.628,14.360,52.761,48.739,12.943,56.073,10.233,20.103,15.380,44.312,12.016,2.669,57.392,26.416,108.484,110.431,50.556,40.815,129.172,124.554,45.548,27.172,50.918,368.293,27.205,"06:4,01 a 5,00",2014
f,2.164,1.992,4.961,5.556,3.298,5.465,1.697,5.755,2.982,11.058,6.169,864,11.316,5.485,10.765,60.786,19.155,54.404,67.080,21.640,39.086,73.007,64.727,474.072,2.645,"06:4,01 a 5,00",2014
m,42.741,86.850,174.529,134.009,49.273,121.277,85.696,64.118,55.456,157.619,73.442,18.283,297.250,73.715,627.738,759.932,251.416,30.746,889.268,681.140,283.456,98.201,110.719,579.948,239.742,"04:2,01 a 3,00",2014
f,4.040,11.310,24.028,30.747,23.011,22.425,16.029,22.493,17.192,49.372,58.625,7.151,83.386,14.238,43.418,440.187,82.663,57.739,310.752,100.736,233.924,302.307,171.502,1.054.446,21.312,"04:2,01 a 3,00",2014
m,3.325,17.823,9.631,5.052,2.138,4.062,10.703,6.736,4.591,8.122,13.404,5.551,32.857,3.765,55.715,176.216,21.773,3.039,76.791,35.038,115.801,8.219,49.350,193.244,98.658,"01:0,51 a 1,00",2014
f,1.407,3.422,3.733,2.613,1.753,1.785,4.278,4.655,3.822,5.942,29.885,7.486,27.053,2.180,14.838,189.158,18.287,6.069,147.866,27.843,181.504,33.414,90.600,233.338,30.597,"01:0,51 a 1,00",2014
m,32.141,32.378,91.794,84.766,23.453,81.225,25.689,32.662,25.673,81.322,27.348,5.204,124.445,42.014,237.788,246.818,101.304,50.851,277.550,318.999,96.565,53.717,68.059,424.334,76.519,"05:3,01 a 4,00",2014
f,3.004,4.021,8.958,10.515,6.530,8.892,3.739,9.290,5.794,18.299,13.986,1.978,25.079,6.962,19.086,134.434,35.676,72.122,117.337,41.216,81.122,138.475,93.647,705.942,5.673,"05:3,01 a 4,00",2014
m,14.718,6.736,26.101,27.495,9.588,47.645,3.009,13.506,8.576,33.266,4.331,1.142,22.813,32.858,50.559,39.617,32.345,56.968,98.464,56.293,31.038,20.713,60.688,344.573,8.481,"08:7,01 a 10,00",2014
f,3.078,1.280,3.363,4.253,2.178,5.701,699,4.431,1.852,12.614,2.304,286,6.410,7.516,8.666,18.950,13.274,52.431,50.967,18.945,25.265,40.029,67.542,318.400,1.860,"08:7,01 a 10,00",2014
m,17.254,116.673,82.323,39.258,19.524,20.373,107.902,45.745,39.024,83.737,136.183,75.121,292.632,42.632,541.441,1.665.312,295.458,16.025,767.888,342.667,704.972,77.722,116.019,528.606,446.499,"02:1,01 a 1,50",2014
f,3.689,19.815,25.472,20.365,24.566,10.041,43.038,37.643,39.066,70.808,373.378,113.858,310.478,20.153,80.164,1.895.754,184.048,42.848,935.772,169.443,1.343.342,389.453,338.409,1.062.696,136.451,"02:1,01 a 1,50",2014
m,22.036,1.641,4.588,7.511,3.330,10.695,618,3.343,2.051,26.363,947,215,6.446,12.377,11.562,8.403,15.862,31.977,41.645,19.620,8.116,8.435,25.215,134.854,1.955,"11:Mais de 20,00",2014
f,2.388,194,445,720,380,904,63,1.094,326,5.804,258,27,1.213,1.975,1.342,2.383,4.258,11.061,13.761,3.033,3.437,7.176,16.348,79.233,243,"11:Mais de 20,00",2014
m,24.194,90.193,128.935,82.112,39.556,48.544,111.932,50.941,49.624,125.746,73.954,31.762,306.144,51.573,726.297,1.106.196,253.740,15.667,748.474,432.283,411.287,87.681,84.396,451.347,270.439,"03:1,51 a 2,00",2014
f,2.644,13.743,33.519,35.800,39.039,17.159,31.552,29.309,30.056,78.742,126.450,25.111,196.940,11.952,51.954,938.298,118.059,35.073,382.283,113.488,435.746,363.486,157.844,745.222,47.371,"03:1,51 a 2,00",2014
m,20.059,12.644,51.171,45.643,13.811,58.962,7.533,22.687,16.585,45.363,9.920,2.229,45.204,35.188,91.188,87.649,49.334,65.487,131.544,93.826,44.577,28.410,66.220,470.624,19.028,"07:5,01 a 7,00",2014
f,2.773,2.093,4.883,6.192,3.249,6.424,1.365,6.846,3.146,13.615,5.451,668,10.753,7.614,11.465,46.255,20.266,72.103,70.225,27.223,38.070,70.450,78.315,545.387,2.951,"07:5,01 a 7,00",2014
m,14.210,3.751,13.909,18.917,8.463,30.228,1.568,8.452,4.800,28.549,2.115,580,12.560,24.116,28.998,21.528,23.169,55.489,75.507,35.364,25.337,16.460,51.809,223.064,4.505,"09:10,01 a 15,00",2014
f,3.060,814,2.146,2.851,1.761,4.479,281,3.083,1.076,10.171,1.023,132,3.569,5.736,5.212,8.869,9.216,41.249,35.845,10.804,25.029,21.457,52.602,192.629,968,"09:10,01 a 15,00",2014
m,521,780,1.752,1.470,743,1.243,740,748,729,1.303,1.138,909,5.503,844,7.582,15.713,3.997,536,6.995,7.357,20.486,1.911,14.324,6.502,2.343,"00:Até 0,50",2015
f,330,442,828,690,525,435,492,547,505,920,1.745,991,4.324,789,4.104,17.225,3.653,837,11.442,6.999,22.715,4.397,18.145,13.565,2.146,"00:Até 0,50",2015
m,9.387,1.139,3.735,6.058,2.989,11.128,445,2.764,1.571,14.809,667,163,4.276,9.620,7.530,6.755,10.048,29.325,29.822,14.697,8.352,7.537,24.169,99.251,1.471,"10:15,01 a 20,00",2015
f,1.764,208,545,731,427,1.466,72,1.028,320,4.822,250,39,1.080,2.074,1.360,2.567,3.968,18.334,12.611,3.503,6.061,8.167,22.371,66.252,271,"10:15,01 a 20,00",2015
m,19.691,13.429,46.266,42.351,11.530,45.239,9.480,18.628,13.077,42.111,10.578,2.518,55.251,26.851,85.032,100.162,48.642,38.272,122.190,120.653,44.325,28.157,50.510,336.440,27.039,"06:4,01 a 5,00",2015
f,1.886,1.929,4.381,5.255,2.946,4.918,1.576,5.150,2.895,10.895,5.706,802,11.271,5.450,9.322,57.185,19.048,49.210,64.803,21.375,38.163,77.691,66.180,458.624,2.516,"06:4,01 a 5,00",2015
m,41.460,82.749,156.538,121.513,43.532,105.258,80.281,60.618,51.848,151.067,66.956,16.685,301.074,76.503,552.156,741.878,248.301,30.856,841.759,663.605,286.915,100.701,111.194,566.928,248.037,"04:2,01 a 3,00",2015
f,4.085,10.613,21.780,27.049,19.088,18.897,14.489,20.183,16.117,46.032,53.928,6.800,85.670,14.597,37.681,427.719,81.655,57.271,302.757,98.850,239.231,315.254,179.028,1.021.506,21.501,"04:2,01 a 3,00",2015
m,2.593,15.394,8.561,4.786,1.763,3.897,9.537,6.506,4.154,7.638,11.976,5.312,29.112,3.289,46.677,164.330,20.821,3.164,70.700,32.947,107.109,8.816,52.101,163.712,92.880,"01:0,51 a 1,00",2015
f,1.142,3.158,3.381,2.542,1.293,1.725,3.704,4.302,3.464,5.398,25.552,6.454,24.175,2.080,14.054,175.033,17.234,6.064,134.258,25.013,167.984,35.638,93.251,236.658,28.502,"01:0,51 a 1,00",2015
m,31.273,30.537,82.236,75.865,20.842,71.117,23.628,31.242,23.528,78.357,24.337,4.836,122.607,44.172,203.226,235.018,100.488,44.655,266.453,317.124,96.091,56.466,66.756,411.433,77.537,"05:3,01 a 4,00",2015
f,2.874,3.879,8.414,9.359,5.624,7.618,3.518,8.528,5.412,17.628,13.076,1.933,24.883,7.143,17.154,129.527,35.529,60.082,118.081,40.541,80.714,144.921,95.809,699.616,5.893,"05:3,01 a 4,00",2015
m,12.856,6.278,22.182,24.647,8.760,39.592,2.757,12.578,7.032,31.908,3.680,1.057,21.761,32.873,40.637,34.720,31.316,59.091,94.485,53.044,30.140,21.989,59.402,340.307,8.180,"08:7,01 a 10,00",2015
f,2.825,1.220,3.055,3.903,1.986,5.117,623,4.026,1.687,12.807,2.100,276,6.105,7.493,7.508,17.280,13.050,61.182,48.587,17.911,24.483,43.313,66.632,313.141,1.615,"08:7,01 a 10,00",2015
m,15.874,106.775,73.810,36.423,16.418,18.655,98.166,41.013,36.169,76.302,120.070,68.580,287.875,38.172,451.523,1.639.933,290.222,16.455,732.469,323.844,694.065,78.983,118.518,515.869,443.906,"02:1,01 a 1,50",2015
f,3.476,17.948,21.784,18.448,19.650,8.829,36.785,33.344,34.826,60.935,324.784,101.059,291.488,17.590,69.820,1.846.747,177.871,43.480,906.467,161.699,1.303.711,391.663,346.985,1.033.567,136.972,"02:1,01 a 1,50",2015
m,20.223,1.464,4.149,6.697,2.913,8.478,578,3.103,1.686,24.649,856,214,5.812,11.595,7.922,7.586,15.213,37.622,39.402,18.686,7.750,8.311,23.494,132.383,1.585,"11:Mais de 20,00",2015
f,2.227,174,420,647,330,742,61,973,292,5.711,240,23,1.131,1.889,1.039,2.400,4.379,15.461,13.358,2.920,3.366,7.328,15.444,77.107,157,"11:Mais de 20,00",2015
m,22.989,85.261,115.855,71.667,32.632,43.461,102.774,49.592,46.952,119.895,66.838,29.682,312.341,52.038,626.427,1.117.528,253.287,16.743,737.925,428.330,431.236,91.049,85.828,458.378,288.060,"03:1,51 a 2,00",2015
f,2.648,12.912,29.084,29.277,30.068,14.951,28.725,27.560,27.592,72.898,115.543,23.405,197.231,11.387,46.735,927.302,116.769,37.460,378.133,109.313,462.406,379.226,167.207,753.636,49.236,"03:1,51 a 2,00",2015
m,17.684,11.851,44.141,39.666,12.449,52.316,6.924,20.842,13.988,42.228,8.903,2.140,43.356,34.891,73.264,78.988,47.658,62.038,127.929,89.848,44.647,29.335,64.296,490.153,19.205,"07:5,01 a 7,00",2015
f,2.442,1.993,4.524,5.748,3.004,5.904,1.291,6.075,2.916,13.526,4.981,635,10.649,7.533,10.014,43.228,19.897,68.660,69.860,27.386,38.101,72.384,78.286,538.188,2.920,"07:5,01 a 7,00",2015
m,13.000,3.487,12.105,16.862,7.580,26.709,1.416,8.200,4.121,26.546,1.897,555,11.943,23.902,22.285,19.181,22.469,56.188,71.373,34.065,25.084,17.888,54.411,227.159,4.335,"09:10,01 a 15,00",2015
f,2.580,740,1.933,2.640,1.534,4.066,242,3.012,956,9.716,896,133,3.545,5.757,4.414,8.036,9.288,46.297,33.583,10.614,24.242,23.225,54.888,191.778,882,"09:10,01 a 15,00",2015
m,163,384,948,634,264,447,395,804,297,502,364,145,2.149,420,1.478,5.712,819,122,3.333,1.779,12.124,583,4.617,7.407,2.061,"00:Até 0,50",2005
f,53,97,226,111,102,96,161,457,128,155,533,92,876,240,317,5.821,877,202,5.923,898,9.267,1.887,6.758,23.879,1.737,"00:Até 0,50",2005
m,4.436,1.510,7.624,7.456,4.266,16.411,692,4.668,2.334,16.056,1.347,649,5.391,14.465,5.504,7.345,7.265,34.554,25.552,16.513,10.227,4.694,16.084,87.755,1.823,"10:15,01 a 20,00",2005
f,626,258,811,944,770,1.764,90,1.515,491,4.389,330,47,1.177,2.656,761,2.325,2.532,20.387,10.875,5.364,6.202,5.677,15.285,59.921,270,"10:15,01 a 20,00",2005
m,10.632,13.633,49.240,35.138,12.492,46.390,11.158,21.363,11.833,32.993,17.407,3.181,52.333,20.414,57.981,98.894,35.472,25.062,112.223,136.104,47.281,21.370,29.738,355.321,23.605,"06:4,01 a 5,00",2005
f,886,1.421,4.050,3.985,3.562,4.511,1.346,5.655,2.873,8.435,5.965,1.024,8.876,3.497,4.238,44.655,11.161,29.573,37.528,14.899,39.116,51.768,41.388,381.192,2.059,"06:4,01 a 5,00",2005
m,24.629,60.589,132.150,68.663,40.118,55.271,84.875,55.644,51.206,104.732,69.462,25.990,252.643,38.276,335.769,652.404,167.706,14.660,573.124,389.350,261.659,64.194,60.451,502.895,195.818,"04:2,01 a 3,00",2005
f,1.680,8.047,17.814,15.624,26.988,11.388,13.294,22.885,17.940,47.647,80.457,14.050,76.814,6.642,17.016,358.062,53.002,24.489,182.684,65.151,196.987,189.079,98.324,755.174,14.706,"04:2,01 a 3,00",2005
m,2.556,15.308,5.614,1.600,1.044,2.033,11.563,5.145,3.360,5.863,8.256,2.352,38.548,3.256,23.755,128.574,14.808,1.360,47.921,19.778,90.051,4.257,22.080,131.823,127.357,"01:0,51 a 1,00",2005
f,575,2.096,1.628,640,574,498,3.093,2.936,3.119,3.221,19.004,3.023,17.399,1.173,4.186,116.342,8.802,2.173,55.862,8.639,114.832,21.672,44.899,270.474,30.293,"01:0,51 a 1,00",2005
m,15.251,26.046,75.771,48.760,21.462,53.799,27.444,33.182,22.142,53.900,34.392,7.452,102.958,26.258,122.000,210.755,68.565,24.303,247.534,274.168,93.157,33.774,41.299,344.859,60.713,"05:3,01 a 4,00",2005
f,1.098,2.609,7.573,7.829,7.767,6.990,3.169,10.113,6.317,15.456,16.416,2.547,18.201,4.360,7.728,94.404,20.880,30.706,68.645,27.202,70.888,86.917,61.279,489.249,3.999,"05:3,01 a 4,00",2005
m,9.513,7.220,43.725,27.959,10.586,48.708,4.272,19.167,12.647,31.273,7.591,2.230,25.220,33.322,30.755,45.373,23.469,47.924,68.756,48.583,35.417,24.578,34.226,263.211,8.678,"08:7,01 a 10,00",2005
f,1.057,1.006,3.088,3.178,2.267,3.882,647,4.892,1.941,8.307,2.849,517,5.567,7.066,3.948,19.204,8.289,48.750,30.584,15.380,29.025,36.853,40.869,268.441,1.499,"08:7,01 a 10,00",2005
m,15.314,73.942,42.254,13.962,8.513,9.092,95.593,28.842,28.341,50.099,93.823,65.933,219.657,29.277,244.483,921.409,150.424,7.689,408.845,131.781,453.866,40.343,52.818,419.077,440.732,"02:1,01 a 1,50",2005
f,2.158,9.660,8.786,5.869,8.814,1.959,25.173,17.170,22.970,35.176,233.792,83.968,135.269,9.591,22.939,839.343,73.145,13.638,313.296,48.297,651.498,191.557,131.353,841.999,90.081,"02:1,01 a 1,50",2005
m,10.627,2.300,8.475,10.354,6.493,19.971,931,6.220,3.681,30.110,1.849,528,8.652,18.832,7.444,10.352,14.441,51.746,44.301,25.903,13.619,5.889,21.594,152.110,2.380,"11:Mais de 20,00",2005
f,657,220,674,863,731,1.516,79,1.835,566,5.486,314,44,1.302,2.835,687,2.647,3.611,18.341,13.263,4.917,5.679,4.556,15.201,90.181,209,"11:Mais de 20,00",2005
m,15.746,53.994,83.758,33.506,21.650,19.434,105.124,30.597,36.508,58.734,69.603,34.619,224.835,32.289,249.226,761.375,149.614,8.477,432.294,200.959,289.313,44.533,45.386,306.400,236.758,"03:1,51 a 2,00",2005
f,1.380,6.945,15.286,10.791,17.943,4.600,24.186,15.918,21.219,33.943,138.178,42.765,120.579,6.771,16.044,556.947,64.195,15.615,235.160,53.181,299.308,172.089,85.549,543.708,30.727,"03:1,51 a 2,00",2005
m,16.574,12.167,59.096,40.611,14.159,52.874,8.737,25.125,14.098,39.587,14.159,3.493,46.895,31.338,50.499,84.243,34.235,46.545,98.184,99.826,48.361,34.371,39.878,422.040,16.435,"07:5,01 a 7,00",2005
f,1.283,1.354,4.171,4.397,3.196,4.608,1.193,6.175,2.794,9.927,4.755,962,8.879,6.407,5.076,36.102,11.242,51.213,39.821,18.472,42.824,57.134,51.843,467.604,2.163,"07:5,01 a 7,00",2005
m,8.242,4.106,24.352,18.525,8.247,38.498,2.040,12.030,7.188,27.365,3.788,1.293,14.107,33.844,15.740,20.446,16.120,54.331,48.803,33.955,24.385,11.764,30.402,182.984,5.282,"09:10,01 a 15,00",2005
f,1.271,655,2.134,2.398,1.582,3.218,367,3.409,1.418,7.768,1.229,215,3.305,6.463,2.197,7.341,5.723,44.431,23.170,11.789,16.804,18.461,32.545,157.839,879,"09:10,01 a 15,00",2005
m,339,570,1.524,1.041,534,768,536,639,439,1.115,805,476,3.082,598,6.843,8.905,1.955,314,5.594,6.183,16.043,1.125,10.900,13.286,2.201,"00:Até 0,50",2011
f,226,269,583,443,288,232,334,413,278,556,1.283,434,2.643,407,2.658,11.373,1.708,558,9.563,4.358,18.201,3.034,14.042,31.715,2.061,"00:Até 0,50",2011
m,8.664,1.265,5.636,7.985,3.807,16.679,537,3.508,1.862,17.170,934,214,4.612,10.319,11.576,7.773,10.007,28.875,29.960,15.149,11.326,6.564,21.491,89.958,1.464,"10:15,01 a 20,00",2011
f,1.620,244,758,1.026,574,2.038,93,1.337,421,5.658,310,35,1.157,2.256,2.007,2.440,3.631,15.098,12.398,3.890,7.385,7.442,21.287,61.717,278,"10:15,01 a 20,00",2011
m,18.923,13.457,57.907,49.385,13.877,57.721,9.300,20.797,14.545,42.886,12.599,2.528,52.484,24.763,96.655,103.691,44.188,40.182,114.441,116.411,42.341,24.084,41.530,338.006,23.410,"06:4,01 a 5,00",2011
f,1.765,1.724,4.811,5.427,3.371,5.243,1.429,5.895,2.772,9.617,5.789,874,10.337,4.905,9.223,50.097,16.240,52.104,55.963,20.269,37.662,60.220,52.121,427.853,2.195,"06:4,01 a 5,00",2011
m,37.120,79.733,183.564,125.331,50.673,119.199,80.422,64.049,53.429,152.751,74.606,19.120,288.567,56.611,609.576,693.484,213.119,29.855,735.177,600.346,248.716,82.978,88.007,610.228,221.099,"04:2,01 a 3,00",2011
f,2.851,9.230,24.574,27.185,25.360,21.970,12.930,23.769,16.158,45.078,58.693,7.477,74.430,9.165,36.417,365.579,67.872,50.509,244.921,89.941,197.575,237.309,134.689,1.015.371,17.521,"04:2,01 a 3,00",2011
m,3.038,20.223,9.490,4.080,1.779,3.660,11.727,6.871,4.401,8.685,13.646,6.459,35.228,5.134,62.613,177.048,20.682,2.764,74.016,34.360,116.557,7.100,42.716,155.514,118.661,"01:0,51 a 1,00",2011
f,1.048,3.118,3.262,1.896,1.127,1.164,4.185,4.632,3.466,5.337,31.083,9.324,26.949,2.080,11.383,183.337,15.913,5.398,134.964,22.397,181.245,29.608,78.247,264.006,34.162,"01:0,51 a 1,00",2011
m,25.940,29.473,99.973,82.545,24.999,83.211,24.932,34.188,24.024,75.984,29.175,5.312,115.186,34.620,225.238,233.385,87.338,47.762,241.672,290.165,88.165,43.875,56.464,440.401,69.441,"05:3,01 a 4,00",2011
f,2.251,3.232,9.191,10.186,7.272,8.964,3.459,10.013,5.607,16.510,13.703,1.857,21.973,5.888,16.577,115.113,29.834,62.608,101.039,38.556,72.371,106.760,77.143,646.106,4.857,"05:3,01 a 4,00",2011
m,13.944,6.675,34.012,30.639,10.553,50.312,3.167,15.225,9.177,33.074,5.169,1.215,22.801,34.096,49.978,40.787,29.643,55.553,88.215,55.357,33.357,18.453,54.761,296.962,8.036,"08:7,01 a 10,00",2011
f,2.741,1.162,3.686,4.428,2.442,5.399,672,4.925,1.916,11.033,2.472,306,6.002,7.404,8.299,17.509,11.537,53.213,45.429,19.082,26.331,34.671,59.986,272.872,1.500,"08:7,01 a 10,00",2011
m,19.561,116.755,83.058,35.869,19.189,20.696,120.050,43.328,39.958,88.650,139.515,89.706,296.165,36.969,582.863,1.592.391,273.943,15.023,763.410,317.407,674.957,69.044,100.480,566.690,477.959,"02:1,01 a 1,50",2011
f,3.675,18.590,22.921,17.281,23.704,10.484,41.467,34.468,37.554,69.368,382.220,130.096,281.256,15.325,68.085,1.713.090,161.422,38.792,805.027,134.919,1.183.845,344.720,272.254,1.122.855,137.521,"02:1,01 a 1,50",2011
m,18.051,1.806,6.329,9.439,4.262,15.142,672,4.082,2.595,28.018,1.238,227,6.820,13.639,16.601,8.977,16.707,32.664,40.054,20.107,11.966,7.861,25.173,153.492,1.882,"11:Mais de 20,00",2011
f,1.918,223,530,894,447,1.190,68,1.355,433,6.111,296,26,1.168,2.141,1.710,2.228,4.272,11.201,12.694,3.157,4.906,6.752,16.189,90.204,200,"11:Mais de 20,00",2011
m,23.682,88.569,138.752,76.819,40.280,47.872,114.662,49.212,48.221,120.355,77.042,31.662,297.847,54.796,705.362,1.024.836,230.273,13.329,738.934,387.376,367.593,75.457,70.536,424.238,267.487,"03:1,51 a 2,00",2011
f,2.123,13.129,32.917,30.119,37.018,15.773,28.786,28.696,28.307,69.517,134.291,25.677,168.124,10.752,43.639,801.537,104.722,29.611,327.409,101.290,357.380,286.769,127.939,718.196,41.834,"03:1,51 a 2,00",2011
m,19.732,12.077,60.765,49.193,14.463,59.957,7.022,23.796,16.062,44.925,10.610,2.383,42.541,35.067,84.555,86.489,43.894,58.840,120.588,89.007,43.087,25.198,60.176,445.312,16.759,"07:5,01 a 7,00",2011
f,2.671,1.814,4.954,6.003,3.290,5.659,1.213,7.191,3.040,12.757,5.167,642,10.030,7.349,10.666,41.038,17.647,66.207,61.596,25.309,37.862,59.027,69.646,503.335,2.418,"07:5,01 a 7,00",2011
m,13.566,3.635,18.003,20.179,8.962,37.999,1.625,9.561,4.906,30.150,2.622,597,12.520,25.936,29.114,20.692,21.363,53.801,67.785,35.902,29.598,13.666,44.556,200.433,4.339,"09:10,01 a 15,00",2011
f,2.807,775,2.439,3.047,1.749,4.594,318,3.402,1.214,10.139,1.469,125,3.288,5.861,5.733,7.902,8.393,40.349,32.452,11.658,27.370,18.802,45.063,170.912,876,"09:10,01 a 15,00",2011
m,252,562,1.240,1.084,431,899,529,630,410,1.072,699,396,3.068,542,5.118,9.431,1.925,256,5.475,3.545,16.334,986,10.741,12.695,1.827,"00:Até 0,50",2010
f,105,224,499,374,282,303,309,403,270,486,1.194,501,2.314,304,1.884,12.013,1.837,516,10.258,2.494,18.478,2.879,13.763,31.548,1.727,"00:Até 0,50",2010
m,8.017,1.199,5.374,6.808,3.364,15.445,477,3.499,1.786,16.678,819,219,4.346,9.832,9.845,7.004,9.262,28.716,26.888,13.898,8.597,5.750,21.425,84.331,1.248,"10:15,01 a 20,00",2010
f,1.326,213,658,803,499,1.826,67,1.360,398,5.215,247,28,1.007,2.141,1.629,2.337,3.198,14.387,10.776,3.440,5.972,5.992,19.980,56.760,173,"10:15,01 a 20,00",2010
m,16.216,12.202,52.641,44.003,12.052,52.441,8.372,20.427,13.697,39.791,12.132,2.583,46.168,24.600,82.064,90.925,40.313,37.593,100.418,99.479,40.172,22.318,39.222,333.659,19.840,"06:4,01 a 5,00",2010
f,1.516,1.505,4.395,4.800,2.962,4.788,1.223,5.622,2.544,9.194,4.890,860,9.043,4.788,7.477,43.213,14.585,47.137,48.028,18.125,36.951,54.378,48.413,408.005,1.888,"06:4,01 a 5,00",2010
m,35.110,70.553,174.814,115.932,46.158,115.727,73.350,62.523,51.318,146.804,73.299,17.529,258.475,53.174,504.701,607.877,191.474,29.845,641.385,549.473,225.179,75.690,81.803,601.116,196.847,"04:2,01 a 3,00",2010
f,2.538,7.774,20.861,24.068,22.465,19.874,10.964,22.026,14.721,41.831,53.296,7.011,58.318,8.855,30.069,308.652,59.391,49.506,206.433,76.735,173.747,208.140,121.385,972.105,13.168,"04:2,01 a 3,00",2010
m,2.918,21.598,10.034,4.055,1.369,3.549,12.798,7.240,4.727,9.348,16.345,6.749,40.918,5.501,68.997,184.717,21.298,2.525,84.173,34.387,125.488,6.644,41.525,161.070,123.396,"01:0,51 a 1,00",2010
f,837,3.045,3.249,1.811,942,1.023,4.433,4.833,3.577,5.103,34.808,10.017,28.871,1.871,10.983,188.287,15.882,4.944,145.220,17.873,198.107,30.496,77.525,287.934,31.679,"01:0,51 a 1,00",2010
m,23.770,26.123,92.609,75.525,22.215,81.027,22.082,33.186,22.601,71.768,28.203,5.166,99.619,32.933,184.276,205.729,80.075,46.492,215.094,257.865,81.033,39.168,51.643,432.113,61.075,"05:3,01 a 4,00",2010
f,1.917,2.857,8.067,9.013,6.101,8.767,2.956,9.399,5.196,15.821,12.194,1.771,18.903,5.474,13.464,101.159,26.729,59.585,86.032,34.290,68.451,93.707,71.659,628.336,4.013,"05:3,01 a 4,00",2010
m,12.249,6.183,32.124,28.267,9.929,46.975,2.775,15.388,9.117,32.262,4.830,1.210,20.764,32.302,43.021,36.570,27.367,53.415,77.674,50.032,32.186,17.253,49.340,281.148,7.268,"08:7,01 a 10,00",2010
f,2.189,1.074,3.379,3.875,2.205,4.862,602,4.654,1.821,10.468,2.141,290,5.393,6.892,7.166,15.277,10.692,50.142,39.302,16.798,25.613,31.117,52.763,253.099,1.245,"08:7,01 a 10,00",2010
m,20.737,118.131,92.773,39.146,21.747,25.073,133.186,47.274,45.516,97.570,151.503,98.012,328.444,44.962,616.020,1.649.272,288.976,15.988,787.659,326.435,686.130,71.396,98.339,577.610,488.866,"02:1,01 a 1,50",2010
f,3.290,18.271,24.151,16.966,24.904,10.677,43.998,35.472,39.843,71.127,398.554,135.884,293.258,15.472,62.630,1.691.850,163.361,40.467,750.545,121.281,1.100.810,347.729,256.840,1.174.594,126.041,"02:1,01 a 1,50",2010
m,16.114,1.638,5.888,8.065,3.995,14.141,663,4.113,2.422,24.685,1.115,212,6.468,12.770,12.808,8.429,14.404,31.517,36.705,17.721,10.307,5.624,22.549,152.257,1.504,"11:Mais de 20,00",2010
f,1.319,172,481,756,428,1.029,75,1.330,401,5.295,209,24,1.087,1.878,1.488,2.071,3.674,10.351,10.831,2.783,4.024,4.060,13.620,90.453,130,"11:Mais de 20,00",2010
m,21.875,81.955,139.350,75.913,38.291,49.790,107.763,49.793,50.222,122.600,78.341,30.692,286.974,52.037,650.029,947.823,215.611,13.647,691.383,368.353,336.078,69.738,67.163,410.604,251.898,"03:1,51 a 2,00",2010
f,1.848,11.075,29.097,27.545,32.197,14.551,23.760,27.149,26.687,66.992,125.650,21.138,137.204,8.910,37.150,681.411,90.495,29.379,286.708,88.220,304.103,252.439,118.648,722.077,31.467,"03:1,51 a 2,00",2010
m,16.961,10.950,57.511,43.793,12.963,55.439,6.306,23.566,15.428,43.224,10.334,2.321,38.466,34.039,72.897,75.889,40.577,56.534,105.316,80.347,41.708,24.266,54.659,416.873,13.730,"07:5,01 a 7,00",2010
f,2.082,1.560,4.568,5.218,2.939,5.312,1.122,7.039,2.689,11.759,4.502,623,9.170,7.057,8.937,36.270,15.897,62.648,53.052,22.723,37.523,55.362,64.007,452.609,1.842,"07:5,01 a 7,00",2010
m,12.846,3.149,17.017,17.930,7.851,36.596,1.464,9.451,4.691,29.341,2.365,618,11.627,24.304,25.343,19.084,19.602,53.060,59.233,32.061,26.716,12.071,40.204,186.267,3.651,"09:10,01 a 15,00",2010
f,2.285,631,2.237,2.676,1.557,4.095,271,3.140,1.089,9.994,905,126,3.066,5.372,5.028,7.184,7.315,38.373,27.687,10.477,25.037,16.306,40.994,153.465,601,"09:10,01 a 15,00",2010
