sexo,extrativa_mineral,mineral_nao_metalico,metalurgica,mecanica,eletrico_comunicacao,material_transporte,madeira_mobiliario,papel,borracha_fumo_couro,quimica,textil,calcados,alimentos_bebidas,servico_utilidade_publica,construcao_civil,varejo,atacado,intituicao_financeira,adm_tec_profissional,transporte_comunicacoes,aloj_comunicacao,medico_dentista_veterinario,ensino,adm_publica,agricultura,faixa_salarial,ano
f,1.766,6.834,20.537,21.861,25.276,16.260,10.248,22.362,15.676,39.401,57.276,7.733,63.152,7.735,22.779,296.006,53.961,44.520,182.366,66.212,163.471,192.278,111.974,893.792,13.429,"04:2,01 a 3,00",2008
m,2.542,18.798,8.199,3.063,1.319,2.876,12.274,6.495,3.663,5.781,12.934,4.304,45.915,5.966,44.241,153.070,18.085,2.104,55.654,26.615,111.372,5.442,34.574,151.695,126.295,"01:0,51 a 1,00",2008
f,665,2.426,2.450,1.328,885,812,4.002,4.268,2.870,3.776,27.837,6.137,24.784,1.420,6.452,150.466,12.300,3.579,81.333,13.982,160.907,26.321,64.678,293.675,33.414,"01:0,51 a 1,00",2008
m,20.782,24.739,89.045,69.782,23.190,74.876,22.992,33.684,22.423,55.424,30.470,5.275,111.087,29.928,160.783,198.860,76.418,41.574,216.486,265.002,79.676,35.247,49.239,388.981,62.864,"05:3,01 a 4,00",2008
f,1.476,2.593,7.935,8.385,7.058,8.379,2.802,9.749,5.517,14.822,12.850,1.773,18.914,4.990,10.331,92.663,23.382,52.164,76.072,31.421,66.461,84.547,69.677,578.156,4.129,"05:3,01 a 4,00",2008
m,11.714,6.198,38.868,31.289,10.801,48.930,3.306,16.949,11.119,29.466,5.825,1.498,24.906,34.969,38.449,38.854,24.862,51.853,72.074,51.163,34.746,17.010,44.957,274.209,7.766,"08:7,01 a 10,00",2008
f,1.921,982,3.518,3.746,2.377,4.692,609,4.899,1.833,9.236,2.309,340,5.683,7.681,6.222,15.680,9.410,50.460,36.420,16.585,31.829,31.652,48.261,260.490,1.401,"08:7,01 a 10,00",2008
m,17.856,99.098,70.573,28.368,15.375,18.552,120.215,40.694,37.200,70.719,131.812,82.234,328.036,39.406,425.321,1.368.250,238.389,13.036,646.579,241.575,602.699,59.330,85.746,506.962,488.905,"02:1,01 a 1,50",2008
f,3.001,14.929,16.330,11.826,16.433,6.666,37.971,28.106,31.406,54.901,339.994,111.518,261.076,11.025,44.486,1.328.472,124.413,29.520,596.941,84.392,916.606,279.024,206.810,1.050.305,121.976,"02:1,01 a 1,50",2008
m,23.614,1.643,7.364,9.022,5.075,17.759,696,4.917,2.966,22.047,1.322,320,8.309,14.522,10.682,9.219,14.384,36.380,35.739,20.056,9.986,4.553,19.692,150.425,1.939,"11:Mais de 20,00",2008
f,2.817,178,607,795,578,1.310,79,1.523,484,4.273,265,29,1.331,2.207,1.039,2.308,3.877,11.792,11.115,3.460,3.658,3.337,11.787,92.322,215,"11:Mais de 20,00",2008
m,19.219,70.539,125.906,61.549,34.681,35.681,101.322,44.416,46.023,87.240,75.194,29.330,288.047,41.535,450.515,889.012,200.505,12.185,555.870,303.341,318.832,60.687,59.235,351.279,253.200,"03:1,51 a 2,00",2008
f,1.583,9.046,25.139,19.567,28.290,9.575,21.926,24.283,25.910,53.513,129.016,25.384,142.705,6.970,26.494,637.233,85.485,25.788,251.690,71.254,295.600,216.556,110.307,631.323,33.069,"03:1,51 a 2,00",2008
m,17.067,10.875,62.606,47.650,13.769,54.625,6.701,24.388,15.778,37.947,11.415,2.446,46.169,34.238,61.952,74.387,36.054,52.851,93.751,81.738,42.206,25.376,52.483,431.652,14.509,"07:5,01 a 7,00",2008
f,2.006,1.439,4.458,4.807,3.021,5.106,1.082,6.798,2.649,10.536,4.334,660,9.167,6.852,7.069,35.031,13.367,59.812,46.281,21.146,38.920,50.398,60.693,454.660,1.860,"07:5,01 a 7,00",2008
m,12.648,3.333,19.773,19.612,8.153,37.706,1.535,10.448,5.441,25.989,2.735,786,13.868,27.761,21.667,18.666,17.279,52.735,51.489,33.042,20.218,11.193,35.297,167.721,4.077,"09:10,01 a 15,00",2008
