capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
fortaleza___ce,"02:1,01_a_1,50",0,34,20786,24927,43327,32635,20347,1347,F,2022
fortaleza___ce,"03:1,51_a_2,00",0,2,3184,6151,12621,8844,5659,1025,F,2022
fortaleza___ce,"04:2,01_a_3,00",0,3,1772,5507,12083,10134,9919,1973,F,2022
fortaleza___ce,"05:3,01_a_4,00",0,0,596,2748,7364,4589,3847,1750,F,2022
fortaleza___ce,"06:4,01_a_5,00",0,0,288,1560,5485,3914,3689,1015,F,2022
fortaleza___ce,"07:5,01_a_7,00",0,3,186,717,4932,4462,4280,1825,F,2022
fortaleza___ce,"08:7,01_a_10,00",0,1,152,435,3068,4530,5148,958,F,2022
fortaleza___ce,"09:10,01_a_15,00",0,0,168,365,1853,2635,3224,724,F,2022
fortaleza___ce,"10:15,01_a_20,00",0,0,69,139,559,982,1065,310,F,2022
fortaleza___ce,"11:mais_de_20,00",0,0,36,240,804,968,1153,278,F,2022
natal___rn,"00:ate_0,50",0,116,1265,182,250,213,177,38,F,2022
natal___rn,"01:0,51_a_1,00",1,56,2532,1749,2456,1753,1022,66,F,2022
natal___rn,"02:1,01_a_1,50",0,16,5886,8141,15656,11754,6908,288,F,2022
natal___rn,"03:1,51_a_2,00",0,0,883,2045,4675,3646,2380,255,F,2022
natal___rn,"04:2,01_a_3,00",0,0,339,1673,5622,4333,3137,365,F,2022
natal___rn,"05:3,01_a_4,00",0,0,109,999,5358,4263,2805,273,F,2022
natal___rn,"06:4,01_a_5,00",0,0,72,353,2281,2172,2488,379,F,2022
natal___rn,"07:5,01_a_7,00",0,0,50,255,1559,1995,2801,373,F,2022
natal___rn,"08:7,01_a_10,00",0,0,44,128,978,1127,1391,224,F,2022
natal___rn,"09:10,01_a_15,00",0,0,32,95,775,1283,1158,207,F,2022
natal___rn,"10:15,01_a_20,00",0,0,11,30,151,420,573,103,F,2022
natal___rn,"11:mais_de_20,00",0,0,7,48,216,339,323,71,F,2022
joao_pessoa___pb,"00:ate_0,50",2,34,439,138,241,169,84,12,F,2022
joao_pessoa___pb,"01:0,51_a_1,00",1,75,3418,2058,3594,2522,1789,159,F,2022
joao_pessoa___pb,"02:1,01_a_1,50",0,19,6141,7419,14939,12215,8281,745,F,2022
joao_pessoa___pb,"03:1,51_a_2,00",0,1,839,2170,5656,4295,3076,399,F,2022
joao_pessoa___pb,"04:2,01_a_3,00",0,0,415,1842,6225,4990,3496,483,F,2022
joao_pessoa___pb,"05:3,01_a_4,00",0,0,110,551,2531,2176,2532,641,F,2022
joao_pessoa___pb,"06:4,01_a_5,00",0,0,74,311,1571,1361,1606,472,F,2022
joao_pessoa___pb,"07:5,01_a_7,00",0,0,59,230,1489,1653,1883,397,F,2022
joao_pessoa___pb,"08:7,01_a_10,00",0,0,76,197,989,972,856,255,F,2022
joao_pessoa___pb,"09:10,01_a_15,00",0,0,74,141,680,940,895,258,F,2022
joao_pessoa___pb,"10:15,01_a_20,00",0,0,17,59,208,382,467,108,F,2022
joao_pessoa___pb,"11:mais_de_20,00",0,0,18,86,331,327,319,68,F,2022
recife___pe,"00:ate_0,50",3,204,2373,250,408,304,380,123,F,2022
recife___pe,"01:0,51_a_1,00",1,96,4131,3250,5290,3912,2563,277,F,2022
recife___pe,"02:1,01_a_1,50",0,40,12124,15499,28479,22418,13043,765,F,2022
recife___pe,"03:1,51_a_2,00",0,0,2318,5442,14041,13071,10270,1134,F,2022
recife___pe,"04:2,01_a_3,00",0,0,1261,4987,15817,13552,9662,1452,F,2022
recife___pe,"05:3,01_a_4,00",0,0,327,1781,7060,7146,5901,936,F,2022
recife___pe,"06:4,01_a_5,00",0,0,158,885,4499,3793,3131,678,F,2022
recife___pe,"07:5,01_a_7,00",0,0,159,850,5600,6026,5347,928,F,2022
recife___pe,"08:7,01_a_10,00",0,0,199,690,4708,5183,4269,824,F,2022
recife___pe,"09:10,01_a_15,00",0,0,170,356,2005,3100,2777,558,F,2022
recife___pe,"10:15,01_a_20,00",0,0,51,165,661,1062,1212,258,F,2022
recife___pe,"11:mais_de_20,00",0,0,37,193,1029,1372,1258,288,F,2022
maceio___al,"00:ate_0,50",6,172,775,121,196,122,78,3,F,2022
maceio___al,"01:0,51_a_1,00",3,126,4000,2206,2808,1771,883,35,F,2022
maceio___al,"02:1,01_a_1,50",0,25,6312,7506,13402,10321,5156,252,F,2022
