;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;05:3,01 a 4,00;0;5;775;2.707;7.092;6.062;4.164;530;0;21.335;0;11;419;1.835;5.321;4.900;3.518;496;0;16.500;0;0;0;0;0;0;0;0;0;16;1.194;4.542;12.413;10.962;7.682;1.026;0;37.835
;06:4,01 a 5,00;0;2;352;1.281;4.410;4.218;3.055;437;0;13.755;0;2;255;1.054;3.842;4.059;2.943;361;0;12.516;0;0;0;0;0;0;0;0;0;4;607;2.335;8.252;8.277;5.998;798;0;26.271
;07:5,01 a 7,00;0;5;364;1.296;6.000;4.530;2.820;380;0;15.395;0;0;277;864;3.770;4.017;3.167;396;0;12.491;0;0;0;0;0;0;0;0;0;5;641;2.160;9.770;8.547;5.987;776;0;27.886
;08:7,01 a 10,00;0;0;224;748;4.226;5.087;2.703;442;0;13.430;0;0;190;443;2.296;2.842;2.117;309;0;8.197;0;0;0;0;0;0;0;0;0;0;414;1.191;6.522;7.929;4.820;751;0;21.627
;09:10,01 a 15,00;0;0;198;515;2.085;2.785;2.203;331;0;8.117;0;0;160;309;1.257;1.452;1.282;200;0;4.660;0;0;0;0;0;0;0;0;0;0;358;824;3.342;4.237;3.485;531;0;12.777
;10:15,01 a 20,00;0;0;79;139;949;1.389;1.295;170;0;4.021;0;0;60;113;505;770;635;100;0;2.183;0;0;0;0;0;0;0;0;0;0;139;252;1.454;2.159;1.930;270;0;6.204
;11:Mais de 20,00;0;0;69;237;965;1.432;1.524;258;0;4.485;0;0;59;192;608;650;656;145;0;2.310;0;0;0;0;0;0;0;0;0;0;128;429;1.573;2.082;2.180;403;0;6.795
;{ñ class};1;34;1.946;2.856;5.729;5.455;4.619;969;0;21.609;3;18;1.243;1.881;3.609;3.430;2.441;211;0;12.836;0;0;1;0;0;0;0;1;4;52;3.189;4.737;9.339;8.885;7.060;1.180;0;34.446
140010:Boa Vista - RR;Total;22;406;7.937;7.644;13.821;9.345;6.334;900;0;46.409;16;268;6.648;6.713;12.133;9.088;5.885;649;0;41.400;0;0;0;0;0;0;0;0;38;674;14.585;14.357;25.954;18.433;12.219;1.549;0;87.809
;00:Até 0,50;6;148;179;54;68;35;9;1;0;500;11;121;184;48;75;24;5;1;0;469;0;0;0;0;0;0;0;0;17;269;363;102;143;59;14;2;0;969
;01:0,51 a 1,00;16;222;1.269;706;965;485;233;27;0;3.923;5;126;1.196;714;1.026;601;255;12;0;3.935;0;0;0;0;0;0;0;0;21;348;2.465;1.420;1.991;1.086;488;39;0;7.858
;02:1,01 a 1,50;0;20;4.346;3.605;4.994;2.749;1.314;87;0;17.115;0;15;3.913;3.310;4.603;2.998;1.284;58;0;16.181;0;0;0;0;0;0;0;0;0;35;8.259;6.915;9.597;5.747;2.598;145;0;33.296
