;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;08:7,01 a 10,00;0;0;40;137;957;1.657;1.852;252;0;4.895;0;0;21;73;866;1.356;1.172;123;0;3.611;0;0;0;0;0;0;0;0;0;0;61;210;1.823;3.013;3.024;375;0;8.506
;09:10,01 a 15,00;0;0;50;100;650;940;962;149;0;2.851;0;0;35;70;412;571;537;74;0;1.699;0;0;0;0;0;0;0;0;0;0;85;170;1.062;1.511;1.499;223;0;4.550
;10:15,01 a 20,00;0;0;16;40;213;483;445;78;0;1.275;0;0;14;30;135;253;210;23;0;665;0;0;0;0;0;0;0;0;0;0;30;70;348;736;655;101;0;1.940
;11:Mais de 20,00;0;0;12;50;301;512;755;175;0;1.805;0;0;9;40;179;291;353;58;0;930;0;0;0;0;0;0;0;0;0;0;21;90;480;803;1.108;233;0;2.735
;{ñ class};0;12;624;1.075;2.499;2.399;2.542;525;0;9.676;0;16;389;755;1.746;1.531;1.296;156;0;5.889;0;0;0;0;0;0;0;0;0;28;1.013;1.830;4.245;3.930;3.838;681;0;15.565
292740:Salvador - BA;Total;19;669;38.534;48.211;117.354;121.830;93.675;10.734;1;431.027;8;589;31.015;39.782;101.794;103.493;72.400;8.083;0;357.164;0;0;0;2;2;0;0;4;27;1.258;69.549;87.993;219.148;225.325;166.077;18.817;1;788.195
;00:Até 0,50;15;390;2.345;333;458;349;212;15;0;4.117;8;329;2.862;387;546;413;198;14;0;4.757;0;0;0;0;0;0;0;0;23;719;5.207;720;1.004;762;410;29;0;8.874
;01:0,51 a 1,00;2;179;7.293;4.162;6.129;4.718;2.994;218;0;25.695;0;179;7.743;5.246;9.073;8.040;5.829;509;0;36.619;0;0;0;0;0;0;0;0;2;358;15.036;9.408;15.202;12.758;8.823;727;0;62.314
;02:1,01 a 1,50;1;60;19.887;21.837;35.673;31.002;20.951;1.041;0;130.452;0;43;14.660;17.577;34.399;29.004;15.334;888;0;111.905;0;0;0;0;0;0;0;0;1;103;34.547;39.414;70.072;60.006;36.285;1.929;0;242.357
;03:1,51 a 2,00;0;2;3.683;6.795;18.533;20.408;15.710;990;0;66.121;0;3;2.016;4.808;12.403;12.374;7.064;539;0;39.207;0;0;0;0;0;0;0;0;0;5;5.699;11.603;30.936;32.782;22.774;1.529;0;105.328
;04:2,01 a 3,00;0;4;1.777;5.332;16.489;17.217;12.691;1.230;0;54.740;0;1;1.129;4.754;15.633;14.194;8.570;843;0;45.124;0;0;0;0;0;0;0;0;0;5;2.906;10.086;32.122;31.411;21.261;2.073;0;99.864
;05:3,01 a 4,00;0;1;518;1.866;6.689;7.507;6.183;796;0;23.560;0;1;344;1.622;6.792;7.664;6.725;800;0;23.948;0;0;0;0;0;0;0;0;0;2;862;3.488;13.481;15.171;12.908;1.596;0;47.508
;06:4,01 a 5,00;0;0;396;2.165;10.710;8.913;4.316;589;0;27.089;0;0;175;1.168;5.896;5.939;4.253;545;0;17.976;0;0;0;0;0;0;0;0;0;0;571;3.333;16.606;14.852;8.569;1.134;0;45.065
;07:5,01 a 7,00;0;1;267;1.022;6.748;10.115;7.237;853;0;26.243;0;0;228;739;5.011;8.256;6.620;897;0;21.751;0;0;0;0;0;0;0;0;0;1;495;1.761;11.759;18.371;13.857;1.750;0;47.994
;08:7,01 a 10,00;0;0;239;705;3.432;5.122;5.517;897;0;15.912;0;0;262;552;3.040;6.313;6.973;974;0;18.114;0;0;0;0;0;0;0;0;0;0;501;1.257;6.472;11.435;12.490;1.871;0;34.026
;09:10,01 a 15,00;0;0;237;493;3.093;4.565;4.294;654;0;13.336;0;0;188;446;2.120;3.660;3.633;557;0;10.604;0;0;0;0;0;0;0;0;0;0;425;939;5.213;8.225;7.927;1.211;0;23.940
;10:15,01 a 20,00;0;0;89;209;961;1.825;2.129;452;0;5.665;0;0;58;198;790;1.485;1.679;314;0;4.524;0;0;0;0;0;0;0;0;0;0;147;407;1.751;3.310;3.808;766;0;10.189
;11:Mais de 20,00;0;0;59;288;1.273;1.993;2.999;669;0;7.281;0;0;44;226;1.190;1.566;1.679;378;0;5.083;0;0;0;0;0;0;0;0;0;0;103;514;2.463;3.559;4.678;1.047;0;12.364
;{ñ class};1;32;1.744;3.004;7.166;8.096;8.442;2.330;1;30.816;0;33;1.306;2.059;4.901;4.585;3.843;825;0;17.552;0;0;0;2;2;0;0;4;1;65;3.050;5.063;12.067;12.683;12.287;3.155;1;48.372
310620:Belo Horizonte - MG;Total;59;4.173;69.808;79.806;187.009;169.950;129.704;17.359;9;657.877;46;3.902;67.010;73.199;167.564;170.059;135.728;11.896;3;629.407;0;0;2;1;1;0;0;4;105;8.075;136.818;153.005;354.575;340.010;265.433;29.255;12;1.287.288
;00:Até 0,50;48;2.169;2.238;609;963;737;488;77;0;7.329;42;2.198;3.048;513;917;871;846;95;0;8.530;0;0;0;0;0;0;0;0;90;4.367;5.286;1.122;1.880;1.608;1.334;172;0;15.859
;01:0,51 a 1,00;5;1.122;8.787;4.307;5.945;4.236;3.168;377;0;27.947;3;1.060;11.547;5.473;8.275;7.478;6.274;520;0;40.630;0;0;0;0;0;0;0;0;8;2.182;20.334;9.780;14.220;11.714;9.442;897;0;68.577
;02:1,01 a 1,50;1;713;33.892;23.236;31.917;25.122;23.315;2.412;0;140.608;0;509;33.808;26.808;44.954;47.047;47.232;3.132;0;203.490;0;0;0;0;0;0;0;0;1;1.222;67.700;50.044;76.871;72.169;70.547;5.544;0;344.098
;03:1,51 a 2,00;1;19;10.574;14.547;28.055;24.707;20.479;1.864;0;100.246;0;16;7.919;11.599;22.568;19.854;12.820;782;0;75.558;0;0;0;0;0;0;0;0;1;35;18.493;26.146;50.623;44.561;33.299;2.646;0;175.804
;04:2,01 a 3,00;0;18;5.922;13.124;34.113;32.135;22.569;1.897;0;109.778;0;6;4.310;11.051;30.563;30.489;19.880;1.364;0;97.663;0;0;0;0;0;0;0;0;0;24;10.232;24.175;64.676;62.624;42.449;3.261;0;207.441
;05:3,01 a 4,00;0;15;2.210;6.434;15.347;13.567;9.456;832;0;47.861;0;2;1.266;5.367;15.723;15.821;11.160;782;0;50.121;0;0;0;0;0;0;0;0;0;17;3.476;11.801;31.070;29.388;20.616;1.614;0;97.982
;06:4,01 a 5,00;0;5;1.056;5.195;16.379;10.828;6.862;660;0;40.985;0;3;541;2.973;11.414;10.272;7.085;582;0;32.870;0;0;0;0;0;0;0;0;0;8;1.597;8.168;27.793;21.100;13.947;1.242;0;73.855
;07:5,01 a 7,00;0;5;751;3.661;22.612;17.474;7.827;899;0;53.229;0;1;484;2.365;11.862;11.619;7.035;628;0;33.994;0;0;0;0;0;0;0;0;0;6;1.235;6.026;34.474;29.093;14.862;1.527;0;87.223
;08:7,01 a 10,00;0;3;489;2.219;10.891;14.601;7.369;905;0;36.477;0;0;394;1.650;6.894;8.771;5.680;573;0;23.962;0;0;0;0;0;0;0;0;0;3;883;3.869;17.785;23.372;13.049;1.478;0;60.439
;09:10,01 a 15,00;0;0;389;961;6.605;8.547;6.959;763;0;24.224;0;1;452;719;3.875;5.830;4.892;483;0;16.252;0;0;0;0;0;0;0;0;0;1;841;1.680;10.480;14.377;11.851;1.246;0;40.476
;10:15,01 a 20,00;0;0;174;363;2.337;4.344;3.556;507;0;11.281;0;1;188;291;1.577;2.954;2.681;282;0;7.974;0;0;0;0;0;0;0;0;0;1;362;654;3.914;7.298;6.237;789;0;19.255
;11:Mais de 20,00;0;0;209;653;2.639;4.662;5.907;811;0;14.881;0;0;266;778;2.326;3.156;3.771;440;0;10.737;0;0;0;0;0;0;0;0;0;0;475;1.431;4.965;7.818;9.678;1.251;0;25.618
;{ñ class};4;104;3.117;4.497;9.206;8.990;11.749;5.355;9;43.031;1;105;2.787;3.612;6.616;5.897;6.372;2.233;3;27.626;0;0;2;1;1;0;0;4;5;209;5.904;8.109;15.824;14.888;18.122;7.588;12;70.661
320530:Vitória - ES;Total;55;921;9.844;12.560;34.253;30.801;23.695;3.477;0;115.606;54;987;10.226;13.174;32.067;29.900;20.516;1.755;0;108.679;0;0;0;0;0;0;0;0;109;1.908;20.070;25.734;66.320;60.701;44.211;5.232;0;224.285
;00:Até 0,50;47;659;234;63;137;77;45;10;0;1.272;46;719;279;87;135;129;63;9;0;1.467;0;0;0;0;0;0;0;0;93;1.378;513;150;272;206;108;19;0;2.739
;01:0,51 a 1,00;4;205;1.061;539;717;472;306;33;0;3.337;4;202;1.278;701;978;723;461;61;0;4.408;0;0;0;0;0;0;0;0;8;407;2.339;1.240;1.695;1.195;767;94;0;7.745
;02:1,01 a 1,50;0;27;4.762;3.542;4.720;3.347;2.773;300;0;19.471;0;22;5.413;4.748;7.600;6.267;4.273;236;0;28.559;0;0;0;0;0;0;0;0;0;49;10.175;8.290;12.320;9.614;7.046;536;0;48.030
;03:1,51 a 2,00;0;1;1.519;2.189;4.279;3.736;3.082;287;0;15.093;0;1;1.375;2.248;4.190;3.579;2.189;129;0;13.711;0;0;0;0;0;0;0;0;0;2;2.894;4.437;8.469;7.315;5.271;416;0;28.804
;04:2,01 a 3,00;0;6;890;2.228;5.768;5.127;3.352;290;0;17.661;0;11;769;2.376;6.455;6.390;3.743;223;0;19.967;0;0;0;0;0;0;0;0;0;17;1.659;4.604;12.223;11.517;7.095;513;0;37.628
;05:3,01 a 4,00;0;0;230;1.210;4.227;3.587;2.428;186;0;11.868;0;0;184;1.074;3.646;3.467;2.461;192;0;11.024;0;0;0;0;0;0;0;0;0;0;414;2.284;7.873;7.054;4.889;378;0;22.892
;06:4,01 a 5,00;0;0;139;997;4.418;2.304;1.469;176;0;9.503;0;1;81;546;2.818;2.535;1.835;131;0;7.947;0;0;0;0;0;0;0;0;0;1;220;1.543;7.236;4.839;3.304;307;0;17.450
;07:5,01 a 7,00;0;0;97;463;3.715;3.218;1.814;223;0;9.530;0;0;100;346;2.296;2.141;1.383;117;0;6.383;0;0;0;0;0;0;0;0;0;0;197;809;6.011;5.359;3.197;340;0;15.913
;08:7,01 a 10,00;0;0;99;272;1.982;3.000;2.113;283;0;7.749;0;0;114;166;1.297;1.429;1.117;107;0;4.230;0;0;0;0;0;0;0;0;0;0;213;438;3.279;4.429;3.230;390;0;11.979
;09:10,01 a 15,00;0;0;61;158;1.243;1.991;1.600;160;0;5.213;0;0;47;88;601;1.052;777;95;0;2.660;0;0;0;0;0;0;0;0;0;0;108;246;1.844;3.043;2.377;255;0;7.873
;10:15,01 a 20,00;0;0;18;60;587;1.029;881;145;0;2.720;0;0;18;46;282;419;412;41;0;1.218;0;0;0;0;0;0;0;0;0;0;36;106;869;1.448;1.293;186;0;3.938
;11:Mais de 20,00;0;0;27;98;783;1.284;1.335;308;0;3.835;0;0;20;80;386;458;360;61;0;1.365;0;0;0;0;0;0;0;0;0;0;47;178;1.169;1.742;1.695;369;0;5.200
;{ñ class};4;23;707;741;1.677;1.629;2.497;1.076;0;8.354;4;31;548;668;1.383;1.311;1.442;353;0;5.740;0;0;0;0;0;0;0;0;8;54;1.255;1.409;3.060;2.940;3.939;1.429;0;14.094
330455:Rio de Janeiro - RJ;Total;36;2.438;121.456;158.240;356.493;346.100;294.056;48.090;3;1.326.912;33;2.361;102.478;130.389;285.220;263.626;201.929;26.342;3;1.012.381;0;0;0;0;1;0;0;1;69;4.799;223.934;288.629;641.713;609.726;495.986;74.432;6;2.339.294
;00:Até 0,50;22;1.224;4.757;1.760;2.694;1.798;1.305;189;0;13.749;25;1.212;6.231;1.761;2.916;2.265;1.625;176;0;16.211;0;0;0;0;0;0;0;0;47;2.436;10.988;3.521;5.610;4.063;2.930;365;0;29.960
;01:0,51 a 1,00;11;874;16.119;7.752;10.518;7.330;5.425;748;0;48.777;5;913;18.478;8.823;13.183;9.769;6.576;603;0;58.350;0;0;0;0;0;0;0;0;16;1.787;34.597;16.575;23.701;17.099;12.001;1.351;0;107.127
;02:1,01 a 1,50;0;141;55.133;54.282;74.191;55.688;47.801;5.206;0;292.442;1;85;47.350;51.045;79.160;63.212;46.714;3.854;1;291.422;0;0;0;0;0;0;0;0;1;226;102.483;105.327;153.351;118.900;94.515;9.060;1;583.864
;03:1,51 a 2,00;0;41;22.420;30.715;59.446;52.778;44.794;4.639;0;214.833;0;58;11.963;20.056;39.245;34.092;24.302;2.210;0;131.926;0;0;0;0;0;0;0;0;0;99;34.383;50.771;98.691;86.870;69.096;6.849;0;346.759
;04:2,01 a 3,00;0;37;8.992;21.201;60.474;63.461;54.775;6.907;0;215.847;0;31;6.450;15.954;39.956;39.764;29.849;3.846;0;135.850;0;0;0;0;0;0;0;0;0;68;15.442;37.155;100.430;103.225;84.624;10.753;0;351.697
;05:3,01 a 4,00;0;9;2.574;12.563;26.643;26.281;22.824;3.809;0;94.703;0;5;2.158;8.082;23.072;21.114;16.205;2.153;0;72.789;0;0;0;0;0;0;0;0;0;14;4.732;20.645;49.715;47.395;39.029;5.962;0;167.492
;06:4,01 a 5,00;0;8;1.168;4.719;15.160;13.944;13.105;2.309;0;50.413;0;2;990;4.425;13.793;13.004;10.545;1.611;0;44.370;0;0;0;0;0;0;0;0;0;10;2.158;9.144;28.953;26.948;23.650;3.920;0;94.783
;07:5,01 a 7,00;0;15;991;5.554;33.681;22.112;16.974;2.817;0;82.144;0;4;775;4.933;22.247;20.053;15.049;2.008;1;65.070;0;0;0;0;0;0;0;0;0;19;1.766;10.487;55.928;42.165;32.023;4.825;1;147.214
;08:7,01 a 10,00;0;8;862;3.791;22.397;30.108;16.486;2.835;0;76.487;0;1;678;2.674;14.986;17.323;13.363;2.161;0;51.186;0;0;0;0;0;0;0;0;0;9;1.540;6.465;37.383;47.431;29.849;4.996;0;127.673
;09:10,01 a 15,00;0;3;576;2.967;14.368;26.525;19.755;2.584;0;66.778;0;0;657;1.743;10.405;13.700;10.875;1.692;0;39.072;0;0;0;0;0;0;0;0;0;3;1.233;4.710;24.773;40.225;30.630;4.276;0;105.850
;10:15,01 a 20,00;0;1;228;766;6.275;8.965;8.110;1.669;0;26.014;0;0;238;678;3.523;5.897;5.410;952;0;16.698;0;0;0;0;0;0;0;0;0;1;466;1.444;9.798;14.862;13.520;2.621;0;42.712
;11:Mais de 20,00;0;1;283;1.200;8.328;14.690;13.400;2.293;0;40.195;0;0;241;1.118;5.159;7.406;5.449;761;0;20.134;0;0;0;0;0;0;0;0;0;1;524;2.318;13.487;22.096;18.849;3.054;0;60.329
;{ñ class};3;76;7.353;10.970;22.318;22.420;29.302;12.085;3;104.530;2;50;6.269;9.097;17.575;16.027;15.967;4.315;1;69.303;0;0;0;0;1;0;0;1;5;126;13.622;20.067;39.893;38.447;45.270;16.400;4;173.834
355030:São Paulo - SP;Total;95;8.789;343.242;385.512;803.608;693.588;531.185;60.389;0;2.826.408;54;7.775;320.109;352.523;739.599;650.267;452.298;41.410;1;2.564.036;1;0;0;0;0;1;0;2;149;16.564;663.352;738.035;1.543.207;1.343.855;983.483;101.800;1;5.390.446
;00:Até 0,50;41;1.368;4.241;1.762;2.903;2.402;2.863;435;0;16.015;22;1.198;4.831;1.847;3.533;4.214;6.235;985;0;22.865;0;0;0;0;0;0;0;0;63;2.566;9.072;3.609;6.436;6.616;9.098;1.420;0;38.880
;01:0,51 a 1,00;44;4.897;32.808;11.620;14.943;9.748;7.785;924;0;82.769;23;4.708;43.452;15.118;22.411;19.692;18.122;1.547;0;125.073;0;0;0;0;0;0;0;0;67;9.605;76.260;26.738;37.354;29.440;25.907;2.471;0;207.842
;02:1,01 a 1,50;2;1.833;120.857;77.994;99.318;68.916;54.723;4.734;0;428.377;1;1.376;123.070;88.307;141.222;122.049;89.172;4.868;0;570.065;0;0;0;0;0;0;0;0;3;3.209;243.927;166.301;240.540;190.965;143.895;9.602;0;998.442
;03:1,51 a 2,00;1;331;86.917;83.640;134.149;105.282;81.960;6.826;0;499.106;0;201;63.918;63.496;105.818;88.922;61.082;4.069;0;387.506;0;0;0;0;0;0;0;0;1;532;150.835;147.136;239.967;194.204;143.042;10.895;0;886.612
;04:2,01 a 3,00;0;52;42.852;69.898;153.157;136.556;105.494;8.787;0;516.796;0;63;36.598;59.606;120.925;98.965;59.778;4.996;0;380.931;0;0;0;0;0;0;0;0;0;115;79.450;129.504;274.082;235.521;165.272;13.783;0;897.727
;05:3,01 a 4,00;0;23;15.436;38.223;94.724;74.863;55.239;5.215;0;283.723;0;11;14.743;34.475;77.224;63.300;39.541;3.652;0;232.946;0;0;0;0;0;0;0;0;0;34;30.179;72.698;171.948;138.163;94.780;8.867;0;516.669
;06:4,01 a 5,00;0;22;7.498;19.626;55.395;54.072;32.267;3.100;0;171.980;0;10;6.844;21.240;52.372;45.409;30.096;2.990;0;158.961;0;0;0;0;0;0;0;0;0;32;14.342;40.866;107.767;99.481;62.363;6.090;0;330.941
;07:5,01 a 7,00;0;11;6.840;23.151;58.050;67.052;46.135;3.954;0;205.193;0;2;5.350;22.732;66.457;63.723;42.261;3.435;0;203.960;0;0;0;0;0;0;0;0;0;13;12.190;45.883;124.507;130.775;88.396;7.389;0;409.153
;08:7,01 a 10,00;0;7;3.661;17.322;50.847;42.160;36.682;4.083;0;154.762;0;2;2.773;13.489;49.163;47.371;35.718;3.186;0;151.702;0;0;0;0;0;0;0;0;0;9;6.434;30.811;100.010;89.531;72.400;7.269;0;306.464
;09:10,01 a 15,00;0;5;2.474;10.880;47.536;38.512;26.984;3.484;0;129.875;0;4;2.287;7.137;33.698;31.176;22.107;2.494;0;98.903;0;0;0;0;0;0;0;0;0;9;4.761;18.017;81.234;69.688;49.091;5.978;0;228.778
;10:15,01 a 20,00;0;3;1.125;3.533;19.408;20.577;15.877;2.586;0;63.109;0;2;1.082;2.655;12.868;13.816;10.210;1.335;0;41.968;0;0;0;0;0;0;0;0;0;5;2.207;6.188;32.276;34.393;26.087;3.921;0;105.077
;11:Mais de 20,00;0;5;1.501;5.810;29.196;34.822;23.409;2.997;0;97.740;0;2;1.468;5.551;22.169;22.296;11.001;1.151;0;63.638;0;0;0;0;0;0;0;0;0;7;2.969;11.361;51.365;57.118;34.410;4.148;0;161.378
;{ñ class};7;232;17.032;22.053;43.982;38.626;41.767;13.264;0;176.963;8;196;13.693;16.870;31.739;29.334;26.975;6.702;1;125.518;1;0;0;0;0;1;0;2;15;428;30.726;38.923;75.721;67.960;68.742;19.967;1;302.483
410690:Curitiba - PR;Total;47;2.529;61.300;63.767;130.783;115.461;93.087;10.029;0;477.003;29;2.458;58.614;58.133;117.565;119.529;94.873;7.780;0;458.981;0;0;0;0;0;0;0;0;76;4.987;119.914;121.900;248.348;234.990;187.960;17.809;0;935.984
;00:Até 0,50;13;142;602;409;538;333;241;41;0;2.319;5;158;694;409;655;583;424;36;0;2.964;0;0;0;0;0;0;0;0;18;300;1.296;818;1.193;916;665;77;0;5.283
;01:0,51 a 1,00;34;1.767;6.647;2.456;3.017;1.863;1.420;173;0;17.377;23;1.782;9.205;3.609;5.443;4.774;3.946;229;0;29.011;0;0;0;0;0;0;0;0;57;3.549;15.852;6.065;8.460;6.637;5.366;402;0;46.388
;02:1,01 a 1,50;0;456;23.436;13.761;15.382;10.481;9.255;797;0;73.568;0;383;26.401;17.774;25.839;22.956;18.341;860;0;112.554;0;0;0;0;0;0;0;0;0;839;49.837;31.535;41.221;33.437;27.596;1.657;0;186.122
;03:1,51 a 2,00;0;63;14.429;14.334;20.884;15.753;13.283;1.220;0;79.966;0;39;11.338;12.087;19.532;15.939;10.768;621;0;70.324;0;0;0;0;0;0;0;0;0;102;25.767;26.421;40.416;31.692;24.051;1.841;0;150.290
;04:2,01 a 3,00;0;20;8.166;14.334;28.898;24.891;18.391;1.343;0;96.043;1;7;5.278;9.849;20.712;17.848;10.929;920;0;65.544;0;0;0;0;0;0;0;0;1;27;13.444;24.183;49.610;42.739;29.320;2.263;0;161.587
;05:3,01 a 4,00;0;5;1.907;5.056;13.295;12.922;9.607;758;0;43.550;0;3;1.453;5.001;12.137;16.045;12.767;1.137;0;48.543;0;0;0;0;0;0;0;0;0;8;3.360;10.057;25.432;28.967;22.374;1.895;0;92.093
;06:4,01 a 5,00;0;3;609;2.339;7.900;7.502;5.578;451;0;24.382;0;3;418;2.082;7.721;9.480;6.882;470;0;27.056;0;0;0;0;0;0;0;0;0;6;1.027;4.421;15.621;16.982;12.460;921;0;51.438
;07:5,01 a 7,00;0;1;571;2.862;15.723;14.225;8.587;644;0;42.613;0;4;354;1.899;9.147;12.958;12.849;875;0;38.086;0;0;0;0;0;0;0;0;0;5;925;4.761;24.870;27.183;21.436;1.519;0;80.699
;08:7,01 a 10,00;0;2;342;1.499;7.433;8.379;6.805;551;0;25.011;0;2;237;833;5.180;6.206;5.217;413;0;18.088;0;0;0;0;0;0;0;0;0;4;579;2.332;12.613;14.585;12.022;964;0;43.099
;09:10,01 a 15,00;0;2;258;753;4.889;6.121;5.582;553;0;18.158;0;1;227;465;2.609;3.881;3.850;310;0;11.343;0;0;0;0;0;0;0;0;0;3;485;1.218;7.498;10.002;9.432;863;0;29.501
;10:15,01 a 20,00;0;0;153;266;1.637;2.808;2.851;406;0;8.121;0;0;166;237;884;1.484;1.546;182;0;4.499;0;0;0;0;0;0;0;0;0;0;319;503;2.521;4.292;4.397;588;0;12.620
;11:Mais de 20,00;0;1;195;536;2.434;3.403;3.771;541;0;10.881;0;0;122;427;1.750;1.926;1.595;148;0;5.968;0;0;0;0;0;0;0;0;0;1;317;963;4.184;5.329;5.366;689;0;16.849
;{ñ class};0;67;3.985;5.162;8.753;6.780;7.716;2.551;0;35.014;0;76;2.721;3.461;5.956;5.449;5.759;1.579;0;25.001;0;0;0;0;0;0;0;0;0;143;6.706;8.623;14.709;12.229;13.475;4.130;0;60.015
420540:Florianópolis - SC;Total;10;687;15.543;19.233;46.922;38.273;29.156;3.660;0;153.484;24;793;17.919;20.716;45.722;41.795;28.362;2.657;0;157.988;0;1;0;0;0;0;0;1;34;1.480;33.462;39.950;92.644;80.068;57.518;6.317;0;311.473
;00:Até 0,50;0;55;223;109;210;159;79;11;0;846;0;52;290;149;218;222;137;9;0;1.077;0;0;0;0;0;0;0;0;0;107;513;258;428;381;216;20;0;1.923
;01:0,51 a 1,00;10;501;1.436;670;1.286;804;1.189;81;0;5.977;23;609;2.391;1.122;1.730;1.402;1.199;96;0;8.572;0;0;0;0;0;0;0;0;33;1.110;3.827;1.792;3.016;2.206;2.388;177;0;14.549
;02:1,01 a 1,50;0;89;4.914;3.378;4.397;3.083;2.416;236;0;18.513;0;82;6.518;4.478;6.805;5.779;4.492;273;0;28.427;0;0;0;0;0;0;0;0;0;171;11.432;7.856;11.202;8.862;6.908;509;0;46.940
;03:1,51 a 2,00;0;16;4.580;4.441;6.336;4.478;3.241;254;0;23.346;0;14;4.512;4.655;6.611;4.613;2.684;130;0;23.219;0;0;0;0;0;0;0;0;0;30;9.092;9.096;12.947;9.091;5.925;384;0;46.565
;04:2,01 a 3,00;0;6;2.216;3.837;7.416;5.713;3.971;309;0;23.468;1;13;2.242;4.131;7.628;5.440;3.054;166;0;22.675;0;0;0;0;0;0;0;0;1;19;4.458;7.968;15.044;11.153;7.025;475;0;46.143
;05:3,01 a 4,00;0;1;536;1.521;3.755;3.348;2.073;194;0;11.428;0;1;493;1.884;4.577;3.299;1.682;101;0;12.037;0;0;0;0;0;0;0;0;0;2;1.029;3.405;8.332;6.647;3.755;295;0;23.465
;06:4,01 a 5,00;0;0;259;857;2.681;2.239;1.653;189;0;7.878;0;0;212;1.086;4.365;4.336;2.490;143;0;12.632;0;0;0;0;0;0;0;0;0;0;471;1.943;7.046;6.575;4.143;332;0;20.510
;07:5,01 a 7,00;0;1;333;1.728;9.153;4.124;2.366;233;0;17.938;0;0;258;1.272;5.468;5.666;3.404;207;0;16.275;0;0;0;0;0;0;0;0;0;1;591;3.000;14.621;9.790;5.770;440;0;34.213
;08:7,01 a 10,00;0;0;188;835;4.219;5.097;2.901;274;0;13.514;0;0;129;529;3.313;4.462;2.900;235;0;11.568;0;0;0;0;0;0;0;0;0;0;317;1.364;7.532;9.559;5.801;509;0;25.082
;09:10,01 a 15,00;0;0;132;520;2.923;3.763;3.221;340;0;10.899;0;1;76;280;2.079;3.080;2.271;192;0;7.979;0;0;0;0;0;0;0;0;0;1;208;800;5.002;6.843;5.492;532;0;18.878
;10:15,01 a 20,00;0;0;48;233;1.574;1.709;1.663;258;0;5.485;0;0;46;110;707;1.101;948;94;0;3.006;0;0;0;0;0;0;0;0;0;0;94;343;2.281;2.810;2.611;352;0;8.491
;11:Mais de 20,00;0;0;40;218;1.212;1.956;1.699;319;0;5.444;0;0;40;156;586;801;669;77;0;2.329;0;0;0;0;0;0;0;0;0;0;80;374;1.798;2.757;2.368;396;0;7.773
;{ñ class};0;18;638;886;1.760;1.800;2.684;962;0;8.748;0;21;712;864;1.635;1.594;2.432;934;0;8.192;0;1;0;0;0;0;0;1;0;39;1.350;1.751;3.395;3.394;5.116;1.896;0;16.941
431490:Porto Alegre - RS;Total;35;2.282;33.898;42.567;92.776;82.946;70.592;10.934;0;336.030;46;2.073;34.272;40.260;92.576;94.145;76.684;7.987;1;348.044;0;0;1;0;1;0;0;2;81;4.355;68.170;82.827;185.353;177.091;147.277;18.921;1;684.076
;00:Até 0,50;17;467;657;226;333;258;192;44;0;2.194;17;468;830;228;354;280;304;62;0;2.543;0;0;0;0;0;0;0;0;34;935;1.487;454;687;538;496;106;0;4.737
;01:0,51 a 1,00;13;1.470;3.710;1.335;1.773;1.263;949;129;0;10.642;25;1.403;5.494;1.847;2.637;2.326;2.111;300;0;16.143;0;0;0;0;0;0;0;0;38;2.873;9.204;3.182;4.410;3.589;3.060;429;0;26.785
;02:1,01 a 1,50;0;182;12.755;9.112;11.633;8.416;6.999;815;0;49.912;0;127;14.547;10.914;16.968;15.047;12.686;1.009;0;71.298;0;0;0;0;0;0;0;0;0;309;27.302;20.026;28.601;23.463;19.685;1.824;0;121.210
;03:1,51 a 2,00;0;22;7.623;9.240;15.892;13.962;11.980;1.347;0;60.066;0;10;6.050;7.999;14.920;16.643;13.440;940;0;60.002;0;0;0;0;0;0;0;0;0;32;13.673;17.239;30.812;30.605;25.420;2.287;0;120.068
;04:2,01 a 3,00;0;44;3.822;7.271;16.242;15.025;12.485;1.374;0;56.263;0;9;3.234;7.242;15.931;16.565;12.919;908;0;56.808;0;0;0;0;0;0;0;0;0;53;7.056;14.513;32.173;31.590;25.404;2.282;0;113.071
;05:3,01 a 4,00;0;15;1.533;3.911;8.599;7.797;6.258;758;0;28.871;1;10;1.097;3.764;11.119;11.144;8.452;660;0;36.247;0;0;0;0;0;0;0;0;1;25;2.630;7.675;19.718;18.941;14.710;1.418;0;65.118
