;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;04:2,01 a 3,00;0;1;857;1.670;2.845;1.544;974;67;0;7.958;2;4;648;1.470;3.070;1.991;1.042;36;0;8.263;2;5;1.505;3.140;5.915;3.535;2.016;103;0;16.221
;05:3,01 a 4,00;0;0;626;1.528;2.536;1.326;603;55;0;6.674;0;1;383;1.126;2.163;1.583;693;20;0;5.969;0;1;1.009;2.654;4.699;2.909;1.296;75;0;12.643
;06:4,01 a 5,00;0;0;208;580;1.496;1.078;420;36;0;3.818;0;0;162;593;1.548;2.236;1.402;26;0;5.967;0;0;370;1.173;3.044;3.314;1.822;62;0;9.785
;07:5,01 a 7,00;0;0;109;591;1.827;1.502;860;50;0;4.939;0;0;119;642;2.413;2.171;906;19;0;6.270;0;0;228;1.233;4.240;3.673;1.766;69;0;11.209
;08:7,01 a 10,00;0;0;55;296;969;983;656;55;0;3.014;0;0;50;254;970;848;316;11;0;2.449;0;0;105;550;1.939;1.831;972;66;0;5.463
;09:10,01 a 15,00;0;0;25;134;501;505;326;28;0;1.519;0;0;16;75;366;458;210;8;0;1.133;0;0;41;209;867;963;536;36;0;2.652
;10:15,01 a 20,00;0;0;2;72;337;461;330;30;0;1.232;0;0;3;48;213;224;93;4;0;585;0;0;5;120;550;685;423;34;0;1.817
;11:Mais de 20,00;0;0;1;34;228;404;331;27;0;1.025;0;0;3;21;100;192;100;2;0;418;0;0;4;55;328;596;431;29;0;1.443
;{ñ class};0;1;11;16;41;44;50;9;0;172;0;0;9;13;25;21;10;0;0;78;0;1;20;29;66;65;60;9;0;250
211130:São Luiz - MA;Total;1;164;21.634;27.143;46.844;35.784;25.126;2.264;0;158.960;2;164;11.918;16.507;31.575;30.402;25.993;1.725;2;118.288;3;328;33.552;43.650;78.419;66.186;51.119;3.989;2;277.248
;00:Até 0,50;0;29;60;68;108;112;76;3;0;456;0;20;52;25;28;21;12;2;0;160;0;49;112;93;136;133;88;5;0;616
;01:0,51 a 1,00;0;67;2.031;1.581;2.195;1.132;681;91;0;7.778;0;90;1.101;1.103;2.069;1.515;902;102;0;6.882;0;157;3.132;2.684;4.264;2.647;1.583;193;0;14.660
;02:1,01 a 1,50;0;64;13.112;12.895;18.251;10.386;5.957;435;0;61.100;1;51;7.845;8.347;12.706;8.882;5.610;329;0;43.771;1;115;20.957;21.242;30.957;19.268;11.567;764;0;104.871
;03:1,51 a 2,00;0;2;2.787;4.128;6.772;4.446;3.041;265;0;21.441;1;0;1.220;1.946;3.352;3.308;3.165;243;2;13.237;1;2;4.007;6.074;10.124;7.754;6.206;508;2;34.678
;04:2,01 a 3,00;1;1;1.938;3.158;6.296;5.062;3.833;463;0;20.752;0;1;806;1.805;3.877;3.974;4.040;327;0;14.830;1;2;2.744;4.963;10.173;9.036;7.873;790;0;35.582
;05:3,01 a 4,00;0;0;767;1.869;4.481;3.179;1.965;144;0;12.405;0;0;411;1.406;4.675;5.318;4.010;214;0;16.034;0;0;1.178;3.275;9.156;8.497;5.975;358;0;28.439
;06:4,01 a 5,00;0;0;438;1.267;2.987;3.207;1.570;88;0;9.557;0;0;190;645;1.496;2.576;2.119;146;0;7.172;0;0;628;1.912;4.483;5.783;3.689;234;0;16.729
;07:5,01 a 7,00;0;0;256;958;2.082;3.341;2.909;239;0;9.785;0;0;128;566;1.299;1.940;3.077;210;0;7.220;0;0;384;1.524;3.381;5.281;5.986;449;0;17.005
;08:7,01 a 10,00;0;0;97;574;1.356;1.755;2.061;255;0;6.098;0;0;65;319;900;1.290;1.453;75;0;4.102;0;0;162;893;2.256;3.045;3.514;330;0;10.200
;09:10,01 a 15,00;0;0;45;312;976;1.084;993;82;0;3.492;0;0;32;176;457;659;804;34;0;2.162;0;0;77;488;1.433;1.743;1.797;116;0;5.654
;10:15,01 a 20,00;0;0;20;102;439;718;705;69;0;2.053;0;0;6;77;252;346;361;17;0;1.059;0;0;26;179;691;1.064;1.066;86;0;3.112
;11:Mais de 20,00;0;0;20;98;537;891;889;99;0;2.534;0;0;23;60;331;426;327;22;0;1.189;0;0;43;158;868;1.317;1.216;121;0;3.723
;{ñ class};0;1;63;133;364;471;446;31;0;1.509;0;2;39;32;133;147;113;4;0;470;0;3;102;165;497;618;559;35;0;1.979
221100:Terezina - PI;Total;35;454;18.587;23.002;39.634;29.684;22.425;1.808;0;135.629;20;419;9.405;13.407;26.532;26.423;18.613;1.122;1;95.942;55;873;27.992;36.409;66.166;56.107;41.038;2.930;1;231.571
;00:Até 0,50;11;117;95;73;151;129;96;4;0;676;8;114;80;95;119;81;34;2;0;533;19;231;175;168;270;210;130;6;0;1.209
;01:0,51 a 1,00;23;223;2.263;1.764;2.379;1.104;491;18;0;8.265;12;228;621;631;1.025;700;289;17;0;3.523;35;451;2.884;2.395;3.404;1.804;780;35;0;11.788
;02:1,01 a 1,50;1;112;12.894;13.012;18.374;9.807;5.620;424;0;60.244;0;72;7.014;7.695;12.846;8.214;4.304;274;0;40.419;1;184;19.908;20.707;31.220;18.021;9.924;698;0;100.663
;03:1,51 a 2,00;0;1;1.821;3.221;5.912;4.304;2.722;210;0;18.191;0;2;772;1.421;2.836;3.013;2.153;198;1;10.396;0;3;2.593;4.642;8.748;7.317;4.875;408;1;28.587
;04:2,01 a 3,00;0;1;847;2.514;5.216;4.316;3.233;340;0;16.467;0;3;533;1.580;3.197;4.095;3.687;271;0;13.366;0;4;1.380;4.094;8.413;8.411;6.920;611;0;29.833
;05:3,01 a 4,00;0;0;379;1.016;3.270;3.445;2.062;139;0;10.311;0;0;196;949;3.316;4.952;3.221;132;0;12.766;0;0;575;1.965;6.586;8.397;5.283;271;0;23.077
;06:4,01 a 5,00;0;0;113;364;889;1.302;1.125;75;0;3.868;0;0;68;330;940;1.740;1.283;33;0;4.394;0;0;181;694;1.829;3.042;2.408;108;0;8.262
;07:5,01 a 7,00;0;0;107;454;1.251;1.785;1.989;118;0;5.704;0;0;69;377;941;1.409;1.319;58;0;4.173;0;0;176;831;2.192;3.194;3.308;176;0;9.877
