;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;99:Ignorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;99:Ignorado;Total
;04:2,01 a 3,00;142;1.135;756;1.763;2.629;2.219;31.726;2.642;11.383;259;86;54.740;44;34;87;111;259;274;17.598;2.299;23.976;350;92;45.124;0;0;186;1.169;843;1.874;2.888;2.493;49.324;4.941;35.359;609;178;0;99.864
;05:3,01 a 4,00;49;301;172;470;967;673;11.249;1.581;7.797;207;94;23.560;15;19;29;137;144;233;6.056;993;15.925;284;113;23.948;0;0;64;320;201;607;1.111;906;17.305;2.574;23.722;491;207;0;47.508
;06:4,01 a 5,00;8;85;64;184;376;256;13.393;4.943;7.501;196;83;27.089;6;5;22;35;59;55;3.577;1.320;12.497;284;116;17.976;0;0;14;90;86;219;435;311;16.970;6.263;19.998;480;199;0;45.065
;07:5,01 a 7,00;6;71;46;140;385;427;12.247;2.761;9.474;378;308;26.243;1;4;15;17;29;76;3.742;895;16.020;533;419;21.751;0;0;7;75;61;157;414;503;15.989;3.656;25.494;911;727;0;47.994
;08:7,01 a 10,00;10;27;43;102;214;312;4.663;991;8.734;363;453;15.912;5;9;13;27;32;51;2.678;578;13.606;548;567;18.114;0;0;15;36;56;129;246;363;7.341;1.569;22.340;911;1.020;0;34.026
;09:10,01 a 15,00;4;56;47;81;183;197;2.937;997;7.897;355;582;13.336;4;15;6;42;41;59;1.972;342;6.923;428;772;10.604;0;0;8;71;53;123;224;256;4.909;1.339;14.820;783;1.354;0;23.940
;10:15,01 a 20,00;4;22;18;46;93;121;1.108;202;3.704;128;219;5.665;0;1;3;7;31;16;927;106;3.053;101;279;4.524;0;0;4;23;21;53;124;137;2.035;308;6.757;229;498;0;10.189
;11:Mais de 20,00;6;59;18;136;128;94;1.363;295;4.875;201;106;7.281;0;2;1;5;14;14;706;196;3.934;102;109;5.083;0;0;6;61;19;141;142;108;2.069;491;8.809;303;215;0;12.364
;{ñ class};80;873;691;1.364;2.234;1.837;20.882;579;2.076;138;62;30.816;10;154;123;242;558;600;12.274;639;2.778;126;48;17.552;4;4;90;1.027;814;1.606;2.792;2.437;33.156;1.218;4.854;264;110;4;48.372
310620:Belo Horizonte - MG;Total;1.530;17.626;13.358;27.266;43.945;36.292;324.297;36.171;146.236;7.248;3.908;657.877;702;11.171;6.203;15.945;26.050;24.017;280.502;41.949;208.864;10.122;3.882;629.407;4;4;2.232;28.797;19.561;43.211;69.995;60.309;604.799;78.120;355.100;17.370;7.790;4;1.287.288
;00:Até 0,50;8;104;60;476;293;2.436;3.332;181;419;16;4;7.329;28;122;156;422;416;2.880;3.709;235;528;26;8;8.530;0;0;36;226;216;898;709;5.316;7.041;416;947;42;12;0;15.859
;01:0,51 a 1,00;118;945;508;1.411;2.240;3.060;16.854;1.009;1.648;123;31;27.947;81;1.164;654;1.828;2.841;3.498;25.564;1.692;3.177;91;40;40.630;0;0;199;2.109;1.162;3.239;5.081;6.558;42.418;2.701;4.825;214;71;0;68.577
;02:1,01 a 1,50;451;5.638;3.177;7.951;12.994;12.530;87.078;4.802;5.742;186;59;140.608;296;8.221;3.316;9.361;15.765;12.070;128.627;9.430;16.109;218;77;203.490;0;0;747;13.859;6.493;17.312;28.759;24.600;215.705;14.232;21.851;404;136;0;344.098
;03:1,51 a 2,00;389;4.851;2.865;6.288;10.321;6.995;56.561;4.913;6.802;202;59;100.246;93;610;783;1.734;2.919;2.136;42.886;7.353;16.687;253;104;75.558;0;0;482;5.461;3.648;8.022;13.240;9.131;99.447;12.266;23.489;455;163;0;175.804
;04:2,01 a 3,00;244;2.844;2.055;4.958;8.575;5.201;59.879;7.934;17.209;727;152;109.778;35;183;135;623;1.077;1.022;36.819;11.030;45.201;1.346;192;97.663;0;0;279;3.027;2.190;5.581;9.652;6.223;96.698;18.964;62.410;2.073;344;0;207.441
;05:3,01 a 4,00;51;505;588;1.252;2.081;1.353;20.168;4.581;16.334;758;190;47.861;17;28;20;194;229;266;9.897;5.238;32.580;1.442;210;50.121;0;0;68;533;608;1.446;2.310;1.619;30.065;9.819;48.914;2.200;400;0;97.982
;06:4,01 a 5,00;12;185;156;504;862;498;14.908;4.817;18.042;804;197;40.985;7;16;11;107;134;123;4.942;3.013;22.857;1.408;252;32.870;0;0;19;201;167;611;996;621;19.850;7.830;40.899;2.212;449;0;73.855
;07:5,01 a 7,00;13;132;201;283;568;400;22.763;4.506;22.920;1.111;332;53.229;5;9;19;44;91;112;4.619;1.673;25.153;1.872;397;33.994;0;0;18;141;220;327;659;512;27.382;6.179;48.073;2.983;729;0;87.223
;08:7,01 a 10,00;9;90;365;227;405;322;12.054;1.189;19.960;1.132;724;36.477;3;11;16;48;66;90;3.361;481;17.625;1.507;754;23.962;0;0;12;101;381;275;471;412;15.415;1.670;37.585;2.639;1.478;0;60.439
;09:10,01 a 15,00;12;76;310;161;315;274;5.520;581;14.928;1.041;1.006;24.224;5;13;26;56;87;101;2.249;270;11.312;1.131;1.002;16.252;0;0;17;89;336;217;402;375;7.769;851;26.240;2.172;2.008;0;40.476
;10:15,01 a 20,00;4;49;59;97;174;124;1.829;204;7.528;437;776;11.281;1;20;22;44;62;53;1.147;146;5.554;357;568;7.974;0;0;5;69;81;141;236;177;2.976;350;13.082;794;1.344;0;19.255
;11:Mais de 20,00;5;37;57;109;176;125;1.877;457;11.204;516;318;14.881;2;7;11;11;32;47;1.755;335;8.017;300;220;10.737;0;0;7;44;68;120;208;172;3.632;792;19.221;816;538;0;25.618
;{ñ class};214;2.170;2.957;3.549;4.941;2.974;21.474;997;3.500;195;60;43.031;129;767;1.034;1.473;2.331;1.619;14.927;1.053;4.064;171;58;27.626;4;4;343;2.937;3.991;5.022;7.272;4.593;36.401;2.050;7.564;366;118;4;70.661
320530:Vitória - ES;Total;185;2.175;1.001;3.397;5.869;5.091;52.885;6.533;35.747;2.045;678;115.606;88;523;447;1.988;4.178;3.724;44.911;5.459;44.783;1.978;600;108.679;0;0;273;2.698;1.448;5.385;10.047;8.815;97.796;11.992;80.530;4.023;1.278;0;224.285
;00:Até 0,50;3;13;5;213;72;517;319;30;92;5;3;1.272;1;6;11;189;82;641;390;29;111;7;0;1.467;0;0;4;19;16;402;154;1.158;709;59;203;12;3;0;2.739
;01:0,51 a 1,00;9;50;29;192;212;475;1.857;132;337;39;5;3.337;7;45;32;173;321;436;2.630;217;508;24;15;4.408;0;0;16;95;61;365;533;911;4.487;349;845;63;20;0;7.745
;02:1,01 a 1,50;69;349;249;984;1.695;1.501;12.397;932;1.244;37;14;19.471;43;283;272;926;2.248;1.615;18.418;1.631;3.077;37;9;28.559;0;0;112;632;521;1.910;3.943;3.116;30.815;2.563;4.321;74;23;0;48.030
;03:1,51 a 2,00;33;420;260;772;1.298;972;9.050;813;1.423;44;8;15.093;10;76;51;231;525;386;8.229;1.054;3.085;51;13;13.711;0;0;43;496;311;1.003;1.823;1.358;17.279;1.867;4.508;95;21;0;28.804
;04:2,01 a 3,00;16;369;208;413;856;615;9.738;1.138;4.177;106;25;17.661;7;23;7;33;180;145;8.080;1.117;10.222;118;35;19.967;0;0;23;392;215;446;1.036;760;17.818;2.255;14.399;224;60;0;37.628
;05:3,01 a 4,00;5;65;30;85;273;161;5.372;918;4.575;348;36;11.868;0;12;2;9;104;64;1.812;515;8.070;392;44;11.024;0;0;5;77;32;94;377;225;7.184;1.433;12.645;740;80;0;22.892
;06:4,01 a 5,00;0;18;10;44;129;70;3.228;991;4.730;232;51;9.503;1;3;1;4;26;21;817;263;6.449;304;58;7.947;0;0;1;21;11;48;155;91;4.045;1.254;11.179;536;109;0;17.450
;07:5,01 a 7,00;0;12;7;29;67;61;2.993;673;5.249;357;82;9.530;0;1;0;4;10;16;621;174;5.010;449;98;6.383;0;0;0;13;7;33;77;77;3.614;847;10.259;806;180;0;15.913
;08:7,01 a 10,00;3;12;8;58;77;59;1.951;327;4.798;300;156;7.749;0;2;2;2;9;11;485;112;3.209;281;117;4.230;0;0;3;14;10;60;86;70;2.436;439;8.007;581;273;0;11.979
;09:10,01 a 15,00;0;19;5;47;76;44;928;153;3.585;178;178;5.213;1;1;2;3;11;16;260;71;2.010;129;156;2.660;0;0;1;20;7;50;87;60;1.188;224;5.595;307;334;0;7.873
;10:15,01 a 20,00;2;10;4;18;36;19;352;49;2.041;134;55;2.720;1;0;0;0;4;6;92;24;1.011;49;31;1.218;0;0;3;10;4;18;40;25;444;73;3.052;183;86;0;3.938
;11:Mais de 20,00;5;167;7;10;107;97;731;110;2.342;210;49;3.835;0;0;0;1;1;3;148;46;1.060;88;18;1.365;0;0;5;167;7;11;108;100;879;156;3.402;298;67;0;5.200
;{ñ class};40;671;179;532;971;500;3.969;267;1.154;55;16;8.354;17;71;67;413;657;364;2.929;206;961;49;6;5.740;0;0;57;742;246;945;1.628;864;6.898;473;2.115;104;22;0;14.094
330455:Rio de Janeiro - RJ;Total;3.012;32.745;28.461;57.942;128.115;71.190;648.851;68.712;264.352;16.764;6.768;1.326.912;964;8.086;7.598;18.104;47.682;33.343;474.326;55.680;335.882;24.111;6.605;1.012.381;1;1;3.976;40.831;36.059;76.046;175.797;104.533;1.123.177;124.392;600.234;40.875;13.373;1;2.339.294
;00:Até 0,50;17;65;47;406;604;1.786;7.243;833;2.712;25;11;13.749;8;32;42;264;605;2.240;8.866;965;3.163;15;11;16.211;0;0;25;97;89;670;1.209;4.026;16.109;1.798;5.875;40;22;0;29.960
;01:0,51 a 1,00;87;490;489;1.198;4.503;3.577;29.055;2.237;6.904;175;62;48.777;93;289;326;1.050;2.630;4.055;37.113;3.187;9.390;152;65;58.350;0;0;180;779;815;2.248;7.133;7.632;66.168;5.424;16.294;327;127;0;107.127
;02:1,01 a 1,50;828;6.267;6.023;14.024;34.706;22.218;185.449;7.936;14.578;312;101;292.442;463;4.293;3.871;9.491;24.673;15.762;194.386;11.465;26.535;374;109;291.422;0;0;1.291;10.560;9.894;23.515;59.379;37.980;379.835;19.401;41.113;686;210;0;583.864
;03:1,51 a 2,00;731;6.068;6.183;13.344;28.255;14.303;123.007;8.643;13.848;334;117;214.833;137;1.024;1.132;2.770;7.860;4.313;81.353;8.227;24.602;405;103;131.926;0;0;868;7.092;7.315;16.114;36.115;18.616;204.360;16.870;38.450;739;220;0;346.759
;04:2,01 a 3,00;608;6.791;6.802;15.621;25.510;11.829;105.705;10.987;30.237;1.435;322;215.847;48;361;529;1.483;3.343;2.237;57.919;10.909;55.841;2.840;340;135.850;0;0;656;7.152;7.331;17.104;28.853;14.066;163.624;21.896;86.078;4.275;662;0;351.697
;05:3,01 a 4,00;214;2.413;2.503;3.718;7.709;3.005;39.012;9.757;24.867;1.220;285;94.703;20;138;90;161;712;445;17.556;6.058;43.833;3.426;350;72.789;0;0;234;2.551;2.593;3.879;8.421;3.450;56.568;15.815;68.700;4.646;635;0;167.492
;06:4,01 a 5,00;42;696;707;1.119;2.973;999;20.834;3.950;17.555;1.269;269;50.413;10;57;33;58;320;181;9.589;2.928;27.722;3.052;420;44.370;0;0;52;753;740;1.177;3.293;1.180;30.423;6.878;45.277;4.321;689;0;94.783
;07:5,01 a 7,00;40;1.728;462;699;2.764;2.474;32.776;8.941;29.430;2.272;558;82.144;8;296;56;61;310;262;11.202;3.877;43.154;5.115;729;65.070;0;0;48;2.024;518;760;3.074;2.736;43.978;12.818;72.584;7.387;1.287;0;147.214
;08:7,01 a 10,00;41;4.349;373;362;1.797;1.999;26.172;4.494;33.665;2.171;1.064;76.487;16;421;45;52;234;266;8.384;1.974;35.312;3.281;1.201;51.186;0;0;57;4.770;418;414;2.031;2.265;34.556;6.468;68.977;5.452;2.265;0;127.673
;09:10,01 a 15,00;25;528;625;228;1.370;1.900;18.531;5.195;34.360;2.465;1.551;66.778;14;78;48;67;199;197;5.436;1.298;27.492;2.562;1.681;39.072;0;0;39;606;673;295;1.569;2.097;23.967;6.493;61.852;5.027;3.232;0;105.850
;10:15,01 a 20,00;6;115;95;120;578;262;3.633;935;18.008;1.294;968;26.014;3;16;14;20;82;70;1.784;504;12.372;983;850;16.698;0;0;9;131;109;140;660;332;5.417;1.439;30.380;2.277;1.818;0;42.712
;11:Mais de 20,00;10;111;134;183;1.303;302;4.389;1.334;28.046;3.273;1.110;40.195;5;13;15;16;75;67;1.753;925;15.152;1.567;546;20.134;0;0;15;124;149;199;1.378;369;6.142;2.259;43.198;4.840;1.656;0;60.329
;{ñ class};363;3.124;4.018;6.920;16.043;6.536;53.045;3.470;10.142;519;350;104.530;139;1.068;1.397;2.611;6.639;3.248;38.985;3.363;11.314;339;200;69.303;1;1;502;4.192;5.415;9.531;22.682;9.784;92.030;6.833;21.456;858;550;1;173.834
355030:São Paulo - SP;Total;8.692;41.491;41.879;98.121;191.507;144.363;1.414.124;136.180;720.116;18.874;11.061;2.826.408;3.635;14.356;16.796;44.409;109.999;81.648;1.153.166;143.584;971.215;15.799;9.429;2.564.036;2;2;12.327;55.847;58.675;142.530;301.506;226.011;2.567.290;279.764;1.691.331;34.673;20.490;2;5.390.446
;00:Até 0,50;31;90;94;620;1.155;2.279;9.559;448;1.603;72;64;16.015;34;88;82;679;2.639;2.479;13.575;596;2.586;56;51;22.865;0;0;65;178;176;1.299;3.794;4.758;23.134;1.044;4.189;128;115;0;38.880
;01:0,51 a 1,00;210;657;590;2.344;5.453;10.832;53.282;3.000;5.945;317;139;82.769;237;851;1.065;3.205;10.133;12.190;81.361;4.977;10.670;278;106;125.073;0;0;447;1.508;1.655;5.549;15.586;23.022;134.643;7.977;16.615;595;245;0;207.842
;02:1,01 a 1,50;1.618;7.037;6.086;17.268;37.567;31.648;293.256;13.386;19.885;401;225;428.377;1.464;7.296;7.439;22.076;48.357;32.312;383.014;24.983;42.581;341;202;570.065;0;0;3.082;14.333;13.525;39.344;85.924;63.960;676.270;38.369;62.466;742;427;0;998.442
;03:1,51 a 2,00;1.940;10.584;8.735;23.738;47.480;35.440;323.538;18.231;28.734;457;229;499.106;628;2.885;3.355;9.210;21.474;16.513;253.793;24.859;54.197;358;234;387.506;0;0;2.568;13.469;12.090;32.948;68.954;51.953;577.331;43.090;82.931;815;463;0;886.612
;04:2,01 a 3,00;2.058;9.835;10.601;24.711;46.238;29.448;301.673;26.762;64.067;962;441;516.796;298;903;1.421;3.003;10.430;7.209;179.969;31.493;144.927;871;407;380.931;0;0;2.356;10.738;12.022;27.714;56.668;36.657;481.642;58.255;208.994;1.833;848;0;897.727
;05:3,01 a 4,00;645;3.933;5.510;10.783;18.226;10.193;140.559;18.934;73.484;1.018;438;283.723;88;187;461;623;3.260;1.944;75.219;18.260;131.292;1.154;458;232.946;0;0;733;4.120;5.971;11.406;21.486;12.137;215.778;37.194;204.776;2.172;896;0;516.669
;06:4,01 a 5,00;262;1.424;2.005;3.711;6.408;3.855;70.057;13.174;69.586;999;499;171.980;63;75;216;264;1.261;761;32.496;11.017;111.146;1.113;549;158.961;0;0;325;1.499;2.221;3.975;7.669;4.616;102.553;24.191;180.732;2.112;1.048;0;330.941
;07:5,01 a 7,00;240;843;1.043;2.281;4.383;2.641;64.687;14.418;111.960;1.711;986;205.193;86;42;92;245;838;658;25.617;9.755;163.468;2.161;998;203.960;0;0;326;885;1.135;2.526;5.221;3.299;90.304;24.173;275.428;3.872;1.984;0;409.153
;08:7,01 a 10,00;224;364;380;832;2.144;1.420;28.817;10.288;106.531;2.332;1.430;154.762;115;45;41;147;422;441;13.763;5.379;127.114;2.693;1.542;151.702;0;0;339;409;421;979;2.566;1.861;42.580;15.667;233.645;5.025;2.972;0;306.464
;09:10,01 a 15,00;249;677;307;772;1.001;947;14.652;6.561;98.633;3.485;2.591;129.875;101;30;49;114;338;338;9.689;2.950;80.301;2.737;2.256;98.903;0;0;350;707;356;886;1.339;1.285;24.341;9.511;178.934;6.222;4.847;0;228.778
;10:15,01 a 20,00;79;618;255;461;503;489;5.650;2.241;49.107;2.027;1.679;63.109;25;16;26;72;183;203;4.785;1.267;32.789;1.350;1.252;41.968;0;0;104;634;281;533;686;692;10.435;3.508;81.896;3.377;2.931;0;105.077
;11:Mais de 20,00;147;384;238;539;861;727;10.123;4.285;73.994;4.405;2.037;97.740;45;17;16;33;142;207;8.311;2.854;48.575;2.244;1.194;63.638;0;0;192;401;254;572;1.003;934;18.434;7.139;122.569;6.649;3.231;0;161.378
;{ñ class};989;5.045;6.035;10.061;20.088;14.444;98.271;4.452;16.587;688;303;176.963;451;1.921;2.533;4.738;10.522;6.393;71.574;5.194;21.569;443;180;125.518;2;2;1.440;6.966;8.568;14.799;30.610;20.837;169.845;9.646;38.156;1.131;483;2;302.483
410690:Curitiba - PR;Total;796;5.779;5.253;12.620;30.654;23.998;247.538;24.754;118.122;4.641;2.848;477.003;563;2.987;3.288;7.407;24.519;16.295;206.348;24.086;165.627;5.405;2.456;458.981;0;0;1.359;8.766;8.541;20.027;55.173;40.293;453.886;48.840;283.749;10.046;5.304;0;935.984
;00:Até 0,50;5;23;13;69;159;289;1.357;77;276;31;20;2.319;9;36;35;99;373;290;1.578;133;360;42;9;2.964;0;0;14;59;48;168;532;579;2.935;210;636;73;29;0;5.283
;01:0,51 a 1,00;20;159;102;570;1.297;2.763;10.254;877;1.189;95;51;17.377;43;297;349;879;3.603;3.415;16.715;1.524;2.034;106;46;29.011;0;0;63;456;451;1.449;4.900;6.178;26.969;2.401;3.223;201;97;0;46.388
;02:1,01 a 1,50;209;1.058;881;2.536;6.216;5.461;50.094;3.352;3.586;112;63;73.568;275;1.439;1.530;3.596;12.496;6.414;72.536;5.989;8.089;120;70;112.554;0;0;484;2.497;2.411;6.132;18.712;11.875;122.630;9.341;11.675;232;133;0;186.122
;03:1,51 a 2,00;185;1.445;1.248;3.059;7.652;5.362;52.203;3.768;4.867;108;69;79.966;88;612;644;1.340;4.066;3.065;44.595;5.135;10.560;148;71;70.324;0;0;273;2.057;1.892;4.399;11.718;8.427;96.798;8.903;15.427;256;140;0;150.290
;04:2,01 a 3,00;152;1.484;1.313;3.160;8.098;5.166;58.633;5.330;12.197;344;166;96.043;38;138;180;407;1.376;1.252;32.092;5.029;24.331;540;161;65.544;0;0;190;1.622;1.493;3.567;9.474;6.418;90.725;10.359;36.528;884;327;0;161.587
;05:3,01 a 4,00;37;409;434;913;2.423;1.597;20.866;2.877;13.359;456;179;43.550;13;22;32;57;310;271;10.698;2.323;33.875;761;181;48.543;0;0;50;431;466;970;2.733;1.868;31.564;5.200;47.234;1.217;360;0;92.093
;06:4,01 a 5,00;22;169;183;385;857;559;9.409;1.701;10.542;414;141;24.382;4;11;11;22;121;117;4.688;1.136;20.113;667;166;27.056;0;0;26;180;194;407;978;676;14.097;2.837;30.655;1.081;307;0;51.438
;07:5,01 a 7,00;8;104;127;250;552;424;11.575;3.790;24.852;663;268;42.613;1;9;10;24;101;122;3.371;1.048;32.100;1.022;278;38.086;0;0;9;113;137;274;653;546;14.946;4.838;56.952;1.685;546;0;80.699
;08:7,01 a 10,00;8;35;36;97;267;222;4.878;1.138;17.180;740;410;25.011;3;8;9;16;43;65;1.591;346;14.735;887;385;18.088;0;0;11;43;45;113;310;287;6.469;1.484;31.915;1.627;795;0;43.099
;09:10,01 a 15,00;6;26;25;57;142;141;2.387;572;13.355;709;738;18.158;1;10;13;18;37;41;1.047;229;8.676;632;639;11.343;0;0;7;36;38;75;179;182;3.434;801;22.031;1.341;1.377;0;29.501
;10:15,01 a 20,00;2;14;4;38;56;69;811;204;6.111;354;458;8.121;1;3;3;9;17;33;518;132;3.285;171;327;4.499;0;0;3;17;7;47;73;102;1.329;336;9.396;525;785;0;12.620
;11:Mais de 20,00;5;24;27;55;134;150;1.197;313;8.300;452;224;10.881;2;2;1;3;6;19;634;223;4.799;192;87;5.968;0;0;7;26;28;58;140;169;1.831;536;13.099;644;311;0;16.849
;{ñ class};137;829;860;1.431;2.801;1.795;23.874;755;2.308;163;61;35.014;85;400;471;937;1.970;1.191;16.285;839;2.670;117;36;25.001;0;0;222;1.229;1.331;2.368;4.771;2.986;40.159;1.594;4.978;280;97;0;60.015
420540:Florianópolis - SC;Total;209;944;1.278;3.492;7.374;5.283;57.350;8.014;64.532;3.098;1.910;153.484;264;942;1.149;3.459;6.323;4.602;55.357;9.207;71.103;3.699;1.883;157.988;1;1;473;1.886;2.427;6.951;13.697;9.885;112.707;17.221;135.635;6.797;3.793;1;311.473
;00:Até 0,50;4;5;7;15;36;84;431;38;218;7;1;846;3;7;13;49;70;100;607;47;171;8;2;1.077;0;0;7;12;20;64;106;184;1.038;85;389;15;3;0;1.923
;01:0,51 a 1,00;26;34;37;223;260;628;2.379;239;2.100;40;11;5.977;22;92;99;455;667;969;4.722;492;1.013;28;13;8.572;0;0;48;126;136;678;927;1.597;7.101;731;3.113;68;24;0;14.549
;02:1,01 a 1,50;65;133;129;567;1.216;1.109;11.159;1.057;2.978;89;11;18.513;95;431;498;1.716;2.621;1.558;16.000;2.007;3.382;101;18;28.427;0;0;160;564;627;2.283;3.837;2.667;27.159;3.064;6.360;190;29;0;46.940
;03:1,51 a 2,00;45;213;292;838;1.857;1.363;15.089;1.378;2.207;47;17;23.346;48;161;143;445;1.043;961;14.528;2.120;3.677;73;20;23.219;0;0;93;374;435;1.283;2.900;2.324;29.617;3.498;5.884;120;37;0;46.565
;04:2,01 a 3,00;21;220;244;687;1.618;963;12.864;1.842;4.843;131;35;23.468;26;37;56;175;575;417;9.434;2.359;9.347;192;57;22.675;0;0;47;257;300;862;2.193;1.380;22.298;4.201;14.190;323;92;0;46.143
;05:3,01 a 4,00;7;82;121;330;736;336;4.423;987;4.169;180;57;11.428;5;9;17;31;128;64;2.500;739;8.072;359;113;12.037;0;0;12;91;138;361;864;400;6.923;1.726;12.241;539;170;0;23.465
;06:4,01 a 5,00;4;18;44;144;286;105;1.887;581;4.440;294;75;7.878;7;6;9;19;40;36;938;353;10.635;477;112;12.632;0;0;11;24;53;163;326;141;2.825;934;15.075;771;187;0;20.510
;07:5,01 a 7,00;6;10;56;116;204;95;1.770;617;14.464;481;119;17.938;11;1;9;18;42;23;927;322;14.027;750;145;16.275;0;0;17;11;65;134;246;118;2.697;939;28.491;1.231;264;0;34.213
;08:7,01 a 10,00;6;3;17;28;88;62;1.320;436;10.638;509;407;13.514;2;6;10;23;87;27;759;164;9.207;830;453;11.568;0;0;8;9;27;51;175;89;2.079;600;19.845;1.339;860;0;25.082
;09:10,01 a 15,00;2;12;12;18;55;58;782;259;8.302;646;753;10.899;3;1;2;11;19;17;378;100;6.170;552;726;7.979;0;0;5;13;14;29;74;75;1.160;359;14.472;1.198;1.479;0;18.878
;10:15,01 a 20,00;1;5;2;17;22;7;393;116;4.357;277;288;5.485;0;1;0;1;8;11;180;56;2.403;174;172;3.006;0;0;1;6;2;18;30;18;573;172;6.760;451;460;0;8.491
;11:Mais de 20,00;1;9;7;19;27;25;479;151;4.239;359;128;5.444;1;0;0;1;3;4;177;80;1.881;138;44;2.329;0;0;2;9;7;20;30;29;656;231;6.120;497;172;0;7.773
;{ñ class};21;200;310;490;969;448;4.374;313;1.577;38;8;8.748;41;190;293;515;1.020;415;4.207;368;1.118;17;8;8.192;1;1;62;390;603;1.005;1.989;863;8.581;681;2.695;55;16;1;16.941
431490:Porto Alegre - RS;Total;564;3.455;3.391;14.764;26.174;19.137;142.788;22.441;97.323;4.244;1.749;336.030;338;1.872;1.702;7.398;16.891;13.804;135.444;22.056;140.478;5.929;2.132;348.044;2;2;902;5.327;5.093;22.162;43.065;32.941;278.232;44.497;237.801;10.173;3.881;2;684.076
;00:Até 0,50;1;18;18;194;190;538;950;93;178;11;3;2.194;8;30;34;189;261;682;1.042;116;170;7;4;2.543;0;0;9;48;52;383;451;1.220;1.992;209;348;18;7;0;4.737
;01:0,51 a 1,00;19;167;87;766;1.042;2.096;5.205;570;630;43;17;10.642;35;270;170;1.041;1.558;2.793;8.257;872;1.054;66;27;16.143;0;0;54;437;257;1.807;2.600;4.889;13.462;1.442;1.684;109;44;0;26.785
;02:1,01 a 1,50;112;660;665;2.789;5.645;4.663;30.066;2.762;2.417;112;21;49.912;123;733;623;2.697;7.263;4.994;43.475;4.550;6.704;108;28;71.298;0;0;235;1.393;1.288;5.486;12.908;9.657;73.541;7.312;9.121;220;49;0;121.210
;03:1,51 a 2,00;166;898;902;3.798;7.311;4.630;33.091;3.493;5.484;257;36;60.066;81;402;393;1.555;3.531;2.401;27.893;4.487;18.729;470;60;60.002;0;0;247;1.300;1.295;5.353;10.842;7.031;60.984;7.980;24.213;727;96;0;120.068
;04:2,01 a 3,00;108;684;698;2.689;5.060;3.248;29.528;4.670;8.967;496;115;56.263;35;116;116;498;1.332;925;21.880;4.851;25.771;1.084;200;56.808;0;0;143;800;814;3.187;6.392;4.173;51.408;9.521;34.738;1.580;315;0;113.071
;05:3,01 a 4,00;25;178;193;864;1.477;953;10.993;2.921;10.704;462;101;28.871;10;16;23;100;268;258;8.175;2.552;23.933;751;161;36.247;0;0;35;194;216;964;1.745;1.211;19.168;5.473;34.637;1.213;262;0;65.118
;06:4,01 a 5,00;11;61;67;354;601;384;5.948;1.851;10.966;288;107;20.638;2;9;7;40;132;93;5.060;1.219;14.156;496;162;21.376;0;0;13;70;74;394;733;477;11.008;3.070;25.122;784;269;0;42.014
;07:5,01 a 7,00;17;52;47;287;431;310;5.802;2.257;15.848;509;192;25.752;1;4;9;28;105;102;3.566;1.125;15.368;743;237;21.288;0;0;18;56;56;315;536;412;9.368;3.382;31.216;1.252;429;0;47.040
;08:7,01 a 10,00;8;20;20;168;379;269;4.383;1.512;13.664;609;271;21.303;1;5;6;16;73;84;2.343;586;13.149;893;370;17.526;0;0;9;25;26;184;452;353;6.726;2.098;26.813;1.502;641;0;38.829
;09:10,01 a 15,00;7;32;29;101;196;147;2.565;887;13.120;568;376;18.028;1;2;2;23;55;62;1.315;317;10.143;658;492;13.070;0;0;8;34;31;124;251;209;3.880;1.204;23.263;1.226;868;0;31.098
;10:15,01 a 20,00;6;7;13;66;89;95;838;252;6.108;297;190;7.961;0;0;3;12;27;44;478;126;4.348;261;196;5.495;0;0;6;7;16;78;116;139;1.316;378;10.456;558;386;0;13.456
;11:Mais de 20,00;5;16;18;132;165;135;1.155;442;7.389;484;270;10.211;1;1;1;9;15;29;744;266;4.815;282;158;6.321;0;0;6;17;19;141;180;164;1.899;708;12.204;766;428;0;16.532
