;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
;07:5,01 a 7,00;1;32;14;103;248;99;6.521;805;6.340;182;621;14.966;0;4;1;9;43;25;1.964;296;8.353;162;440;11.297;1;36;15;112;291;124;8.485;1.101;14.693;344;1.061;26.263
;08:7,01 a 10,00;0;14;1;80;433;231;4.539;518;5.326;241;866;12.249;0;3;0;2;29;18;1.023;202;5.198;202;386;7.063;0;17;1;82;462;249;5.562;720;10.524;443;1.252;19.312
;09:10,01 a 15,00;0;4;2;11;195;116;1.459;237;4.297;289;454;7.064;1;0;0;0;14;7;334;89;2.819;154;339;3.757;1;4;2;11;209;123;1.793;326;7.116;443;793;10.821
;10:15,01 a 20,00;0;0;2;5;50;20;604;121;2.202;155;403;3.562;0;0;2;0;4;4;206;33;1.338;67;175;1.829;0;0;4;5;54;24;810;154;3.540;222;578;5.391
;11:Mais de 20,00;0;0;3;2;31;21;327;51;2.176;95;326;3.032;0;0;0;0;1;2;74;16;1.071;45;123;1.332;0;0;3;2;32;23;401;67;3.247;140;449;4.364
;{ñ class};29;223;171;495;990;668;7.319;204;533;50;18;10.700;20;66;38;168;329;255;4.020;219;784;46;25;5.970;49;289;209;663;1.319;923;11.339;423;1.317;96;43;16.670
140010:Boa Vista - RR;Total;141;476;540;1.157;4.590;1.933;26.345;1.054;11.185;392;1.107;48.920;65;165;188;512;2.825;821;21.945;1.299;17.015;382;3.033;48.250;206;641;728;1.669;7.415;2.754;48.290;2.353;28.200;774;4.140;97.170
;00:Até 0,50;3;2;8;55;37;168;248;11;38;1;1;572;0;3;0;14;12;104;177;14;43;1;2;370;3;5;8;69;49;272;425;25;81;2;3;942
;01:0,51 a 1,00;17;37;32;84;325;343;2.573;105;471;7;12;4.006;8;16;15;52;229;219;2.506;153;603;4;9;3.814;25;53;47;136;554;562;5.079;258;1.074;11;21;7.820
;02:1,01 a 1,50;67;151;232;378;1.914;787;10.735;342;1.078;11;62;15.757;39;93;119;230;1.638;378;9.770;533;2.042;14;202;15.058;106;244;351;608;3.552;1.165;20.505;875;3.120;25;264;30.815
;03:1,51 a 2,00;27;66;110;201;872;334;4.696;172;675;7;83;7.243;3;7;28;19;439;62;2.737;191;1.253;13;211;4.963;30;73;138;220;1.311;396;7.433;363;1.928;20;294;12.206
;04:2,01 a 3,00;10;82;68;140;749;157;3.525;163;1.104;15;108;6.121;6;3;13;29;163;20;3.598;195;1.744;30;345;6.146;16;85;81;169;912;177;7.123;358;2.848;45;453;12.267
;05:3,01 a 4,00;2;48;15;95;255;42;1.228;96;1.594;27;287;3.689;1;14;3;61;88;8;945;87;2.991;38;1.201;5.437;3;62;18;156;343;50;2.173;183;4.585;65;1.488;9.126
;06:4,01 a 5,00;1;49;9;131;211;21;901;49;1.347;16;132;2.867;2;17;0;91;178;5;972;56;2.324;43;542;4.230;3;66;9;222;389;26;1.873;105;3.671;59;674;7.097
;07:5,01 a 7,00;0;9;33;24;51;10;665;52;1.503;28;108;2.483;0;1;2;1;8;0;362;31;2.578;29;206;3.218;0;10;35;25;59;10;1.027;83;4.081;57;314;5.701
;08:7,01 a 10,00;0;5;7;3;21;2;626;28;1.272;89;112;2.165;0;0;0;0;9;1;221;12;1.822;70;132;2.267;0;5;7;3;30;3;847;40;3.094;159;244;4.432
;09:10,01 a 15,00;0;2;0;3;21;1;308;14;1.050;92;136;1.627;1;0;1;0;2;0;118;4;945;88;106;1.265;1;2;1;3;23;1;426;18;1.995;180;242;2.892
;10:15,01 a 20,00;0;0;0;1;10;0;62;4;456;50;38;621;0;0;0;0;2;0;28;1;249;32;23;335;0;0;0;1;12;0;90;5;705;82;61;956
;11:Mais de 20,00;0;0;0;0;0;1;13;0;487;43;20;564;0;0;0;0;0;0;0;1;245;14;16;276;0;0;0;0;0;1;13;1;732;57;36;840
;{ñ class};14;25;26;42;124;67;765;18;110;6;8;1.205;5;11;7;15;57;24;511;21;176;6;38;871;19;36;33;57;181;91;1.276;39;286;12;46;2.076
150140:Belém - PA;Total;446;2.517;2.135;8.863;23.234;11.821;129.309;6.333;47.845;1.781;1.012;235.296;152;394;365;2.995;8.451;4.284;80.446;5.303;63.267;2.915;850;169.422;598;2.911;2.500;11.858;31.685;16.105;209.755;11.636;111.112;4.696;1.862;404.718
;00:Até 0,50;7;19;32;93;124;679;1.103;74;423;10;5;2.569;1;2;14;80;89;521;1.076;77;330;14;1;2.205;8;21;46;173;213;1.200;2.179;151;753;24;6;4.774
;01:0,51 a 1,00;34;208;181;474;1.206;943;7.450;363;1.220;45;10;12.134;13;40;47;182;605;584;6.574;532;1.225;66;9;9.877;47;248;228;656;1.811;1.527;14.024;895;2.445;111;19;22.011
;02:1,01 a 1,50;195;1.101;835;3.057;8.912;4.528;43.446;1.356;2.704;59;15;66.208;86;260;210;1.536;5.012;1.885;37.141;1.773;4.874;67;22;52.866;281;1.361;1.045;4.593;13.924;6.413;80.587;3.129;7.578;126;37;119.074
;03:1,51 a 2,00;99;537;523;2.571;4.566;2.247;26.090;935;2.711;65;23;40.367;22;47;31;815;1.390;650;15.668;899;4.430;135;16;24.103;121;584;554;3.386;5.956;2.897;41.758;1.834;7.141;200;39;64.470
;04:2,01 a 3,00;47;316;262;1.296;3.787;1.299;22.403;1.258;4.531;178;33;35.410;13;9;12;154;637;268;9.471;754;7.476;364;33;19.191;60;325;274;1.450;4.424;1.567;31.874;2.012;12.007;542;66;54.601
;05:3,01 a 4,00;8;70;72;381;1.455;472;12.602;765;5.366;187;35;21.413;6;4;3;80;273;99;4.158;400;10.024;371;36;15.454;14;74;75;461;1.728;571;16.760;1.165;15.390;558;71;36.867
;06:4,01 a 5,00;8;15;26;183;1.190;560;6.464;469;4.430;141;34;13.520;1;4;4;31;113;71;2.242;244;7.104;358;26;10.198;9;19;30;214;1.303;631;8.706;713;11.534;499;60;23.718
;07:5,01 a 7,00;1;52;12;231;561;185;3.157;444;8.065;299;58;13.065;0;3;1;8;42;32;1.518;271;12.301;636;66;14.878;1;55;13;239;603;217;4.675;715;20.366;935;124;27.943
;08:7,01 a 10,00;2;14;10;63;187;280;1.648;221;6.292;289;186;9.192;0;1;0;3;14;9;587;159;7.180;469;166;8.588;2;15;10;66;201;289;2.235;380;13.472;758;352;17.780
;09:10,01 a 15,00;1;3;4;20;207;123;1.043;170;5.082;276;394;7.323;0;0;0;7;10;2;207;42;3.768;244;321;4.601;1;3;4;27;217;125;1.250;212;8.850;520;715;11.924
;10:15,01 a 20,00;0;0;0;15;44;9;247;45;2.323;77;106;2.866;0;0;0;4;10;1;83;7;1.650;57;83;1.895;0;0;0;19;54;10;330;52;3.973;134;189;4.761
;11:Mais de 20,00;0;0;0;6;26;9;150;41;3.174;110;107;3.623;0;0;0;1;4;0;43;8;1.751;75;63;1.945;0;0;0;7;30;9;193;49;4.925;185;170;5.568
;{ñ class};44;182;178;473;969;487;3.506;192;1.524;45;6;7.606;10;24;43;94;252;162;1.678;137;1.154;59;8;3.621;54;206;221;567;1.221;649;5.184;329;2.678;104;14;11.227
160030:Macapá - AP;Total;127;396;310;945;2.534;2.072;24.491;1.405;20.310;320;213;53.123;56;123;98;436;1.156;919;17.690;1.413;26.436;364;158;48.849;183;519;408;1.381;3.690;2.991;42.181;2.818;46.746;684;371;101.972
;00:Até 0,50;2;5;1;22;12;146;228;22;133;1;0;572;0;0;1;15;8;108;197;33;124;0;0;486;2;5;2;37;20;254;425;55;257;1;0;1.058
;01:0,51 a 1,00;27;58;31;99;257;261;2.961;120;697;10;2;4.523;3;8;11;42;126;135;2.524;149;1.162;4;1;4.165;30;66;42;141;383;396;5.485;269;1.859;14;3;8.688
;02:1,01 a 1,50;65;188;153;471;1.333;1.079;10.779;519;1.144;7;3;15.741;42;103;71;324;821;556;8.542;633;1.828;15;1;12.936;107;291;224;795;2.154;1.635;19.321;1.152;2.972;22;4;28.677
;03:1,51 a 2,00;20;71;55;139;372;293;3.911;229;1.180;10;4;6.284;2;5;9;22;83;60;2.802;244;1.653;24;1;4.905;22;76;64;161;455;353;6.713;473;2.833;34;5;11.189
;04:2,01 a 3,00;9;38;37;70;255;146;3.208;196;2.256;17;9;6.241;3;1;3;8;35;28;1.705;158;3.074;19;2;5.036;12;39;40;78;290;174;4.913;354;5.330;36;11;11.277
;05:3,01 a 4,00;1;5;5;13;47;22;766;73;2.102;23;2;3.059;2;0;0;1;12;2;364;55;3.771;33;4;4.244;3;5;5;14;59;24;1.130;128;5.873;56;6;7.303
;06:4,01 a 5,00;0;5;3;8;25;5;494;46;2.730;19;5;3.340;0;1;0;3;16;1;428;26;3.241;33;3;3.752;0;6;3;11;41;6;922;72;5.971;52;8;7.092
;07:5,01 a 7,00;0;3;5;46;42;10;731;47;4.202;37;6;5.129;0;1;0;1;5;5;450;24;5.981;62;5;6.534;0;4;5;47;47;15;1.181;71;10.183;99;11;11.663
;08:7,01 a 10,00;0;4;1;3;20;12;364;49;2.947;110;13;3.523;1;1;0;0;3;1;208;30;3.651;112;9;4.016;1;5;1;3;23;13;572;79;6.598;222;22;7.539
;09:10,01 a 15,00;0;0;1;3;17;4;174;34;1.336;46;103;1.718;0;0;0;2;9;1;71;17;994;39;83;1.216;0;0;1;5;26;5;245;51;2.330;85;186;2.934
;10:15,01 a 20,00;0;0;0;1;3;0;59;7;477;12;44;603;0;0;0;0;1;0;42;5;257;8;33;346;0;0;0;1;4;0;101;12;734;20;77;949
;11:Mais de 20,00;0;1;0;0;1;1;42;7;832;25;22;931;0;0;0;0;0;1;22;3;445;8;16;495;0;1;0;0;1;2;64;10;1.277;33;38;1.426
;{ñ class};3;18;18;70;150;93;774;56;274;3;0;1.459;3;3;3;18;37;21;335;36;255;7;0;718;6;21;21;88;187;114;1.109;92;529;10;0;2.177
