;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:0,51 a 1,00;94;412;189;486;553;808;2.360;180;659;18;1;5.760;4;38;33;99;185;607;2.676;229;695;29;0;4.595;98;450;222;585;738;1.415;5.036;409;1.354;47;1;10.355
;02:1,01 a 1,50;568;4.003;2.941;5.805;9.871;6.937;36.583;1.628;3.578;205;12;72.131;72;829;623;1.518;3.805;3.552;41.001;2.531;6.278;296;22;60.527;640;4.832;3.564;7.323;13.676;10.489;77.584;4.159;9.856;501;34;132.658
;03:1,51 a 2,00;149;1.321;1.003;2.051;2.821;2.106;11.704;743;2.463;300;1;24.662;3;98;28;105;330;284;8.565;885;3.880;454;3;14.635;152;1.419;1.031;2.156;3.151;2.390;20.269;1.628;6.343;754;4;39.297
;04:2,01 a 3,00;68;865;628;1.433;2.000;1.274;9.874;735;2.421;599;6;19.903;0;32;10;39;176;147;6.489;752;3.835;727;4;12.211;68;897;638;1.472;2.176;1.421;16.363;1.487;6.256;1.326;10;32.114
;05:3,01 a 4,00;11;2.138;112;267;973;344;3.452;784;3.809;358;46;12.294;0;66;3;5;59;47;3.094;279;7.784;755;13;12.105;11;2.204;115;272;1.032;391;6.546;1.063;11.593;1.113;59;24.399
;06:4,01 a 5,00;1;295;52;97;227;103;2.175;254;1.788;278;62;5.332;0;19;2;7;34;16;1.301;117;4.734;727;16;6.973;1;314;54;104;261;119;3.476;371;6.522;1.005;78;12.305
;07:5,01 a 7,00;1;205;35;193;274;88;2.264;207;2.184;375;34;5.860;0;4;2;6;38;13;1.218;118;3.075;572;10;5.056;1;209;37;199;312;101;3.482;325;5.259;947;44;10.916
;08:7,01 a 10,00;0;49;22;85;129;57;3.103;142;2.536;456;12;6.591;1;1;0;3;7;4;1.156;43;2.479;519;7;4.220;1;50;22;88;136;61;4.259;185;5.015;975;19;10.811
;09:10,01 a 15,00;0;27;15;46;60;25;1.160;86;2.319;769;69;4.576;0;3;2;1;9;2;507;33;1.894;423;58;2.932;0;30;17;47;69;27;1.667;119;4.213;1.192;127;7.508
;10:15,01 a 20,00;0;11;1;3;8;10;300;41;1.126;367;16;1.883;0;0;0;0;1;1;100;7;646;157;4;916;0;11;1;3;9;11;400;48;1.772;524;20;2.799
;11:Mais de 20,00;0;1;3;0;1;5;225;14;1.173;282;42;1.746;0;0;0;0;2;0;95;1;584;124;22;828;0;1;3;0;3;5;320;15;1.757;406;64;2.574
;{ñ class};32;199;178;247;258;162;544;18;154;6;0;1.798;4;26;25;26;64;46;296;16;114;11;0;628;36;225;203;273;322;208;840;34;268;17;0;2.426
