;;Sexo Trabalhador;Escolaridade Agreg após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total
;02:1,01 a 1,50;72;304;476;677;1.266;780;2.632;83;53;6.343;23;213;497;414;740;570;3.046;140;57;5.700;95;517;973;1.091;2.006;1.350;5.678;223;110;12.043
;03:1,51 a 2,00;34;171;165;305;439;293;778;30;37;2.252;3;36;75;63;116;95;549;72;65;1.074;37;207;240;368;555;388;1.327;102;102;3.326
;04:2,01 a 3,00;18;139;105;328;608;161;757;68;123;2.307;1;23;9;38;85;56;495;106;188;1.001;19;162;114;366;693;217;1.252;174;311;3.308
;05:3,01 a 4,00;3;98;32;264;277;69;398;45;162;1.348;0;87;6;298;175;14;279;52;138;1.049;3;185;38;562;452;83;677;97;300;2.397
;06:4,01 a 5,00;0;110;10;301;438;27;643;52;139;1.720;0;89;3;319;446;9;781;65;164;1.876;0;199;13;620;884;36;1.424;117;303;3.596
;07:5,01 a 7,00;0;70;6;278;348;17;727;79;254;1.779;0;34;2;88;196;3;1.121;78;364;1.886;0;104;8;366;544;20;1.848;157;618;3.665
;08:7,01 a 10,00;1;7;2;58;114;12;419;59;475;1.147;0;4;3;10;13;4;220;40;749;1.043;1;11;5;68;127;16;639;99;1.224;2.190
;09:10,01 a 15,00;0;7;3;13;43;4;262;23;307;662;0;1;0;3;2;3;46;25;229;309;0;8;3;16;45;7;308;48;536;971
;10:15,01 a 20,00;0;2;0;4;4;2;82;6;230;330;0;0;1;0;0;1;14;3;132;151;0;2;1;4;4;3;96;9;362;481
;11:Mais de 20,00;0;2;3;5;20;0;126;24;358;538;0;1;1;0;7;0;73;2;145;229;0;3;4;5;27;0;199;26;503;767
;{ñ class};1;7;2;15;10;5;17;1;2;60;1;2;1;0;1;2;13;1;1;22;2;9;3;15;11;7;30;2;3;82
150140:Belém - PA;Total;866;5.090;6.165;19.078;35.516;18.868;67.810;5.210;27.572;186.175;125;975;960;7.143;12.054;7.279;59.183;5.466;36.241;129.426;991;6.065;7.125;26.221;47.570;26.147;126.993;10.676;63.813;315.601
;00:Até 0,50;1;10;226;85;73;290;142;13;109;949;0;5;4;70;61;217;143;12;68;580;1;15;230;155;134;507;285;25;177;1.529
;01:0,51 a 1,00;85;358;618;1.095;1.509;1.131;2.847;187;368;8.198;13;46;51;1.254;964;759;3.648;222;389;7.346;98;404;669;2.349;2.473;1.890;6.495;409;757;15.544
;02:1,01 a 1,50;380;2.093;2.173;7.782;12.038;6.677;18.793;694;709;51.339;95;514;595;4.523;7.078;3.851;22.496;1.049;1.366;41.567;475;2.607;2.768;12.305;19.116;10.528;41.289;1.743;2.075;92.906
;03:1,51 a 2,00;185;1.152;1.461;4.560;7.111;3.097;11.521;643;929;30.659;7;153;132;563;1.793;901;10.128;909;1.763;16.349;192;1.305;1.593;5.123;8.904;3.998;21.649;1.552;2.692;47.008
;04:2,01 a 3,00;169;721;808;2.520;6.519;2.884;14.112;953;2.399;31.085;8;154;96;371;1.050;778;9.675;1.242;4.686;18.060;177;875;904;2.891;7.569;3.662;23.787;2.195;7.085;49.145
