;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;08:7,01 a 10,00;0;10;7;64;164;11;683;56;1.000;7;1;2.003;0;3;3;11;29;6;565;39;1.679;11;0;2.346;0;13;10;75;193;17;1.248;95;2.679;18;1;4.349
;09:10,01 a 15,00;0;2;4;12;45;1;384;28;604;2;0;1.082;0;2;0;10;14;2;162;11;603;4;0;808;0;4;4;22;59;3;546;39;1.207;6;0;1.890
;10:15,01 a 20,00;0;1;0;10;11;1;114;5;314;6;0;462;0;0;1;1;0;0;35;6;196;2;0;241;0;1;1;11;11;1;149;11;510;8;0;703
;11:Mais de 20,00;0;1;1;8;14;0;238;7;476;12;16;773;0;0;0;2;4;1;105;0;226;3;4;345;0;1;1;10;18;1;343;7;702;15;20;1.118
;{ñ class};8;19;21;30;73;18;76;1;5;1;0;252;1;9;4;8;25;9;51;1;15;0;0;123;9;28;25;38;98;27;127;2;20;1;0;375
150140:Belém - PA;Total;809;4.508;5.694;17.672;36.524;19.389;87.079;5.692;32.617;584;180;210.748;186;636;778;5.982;11.959;7.553;69.589;5.961;43.242;857;154;146.897;995;5.144;6.472;23.654;48.483;26.942;156.668;11.653;75.859;1.441;334;357.645
;00:Até 0,50;0;21;150;109;72;411;146;21;108;1;0;1.039;0;3;4;67;53;401;220;13;95;0;1;857;0;24;154;176;125;812;366;34;203;1;1;1.896
;01:0,51 a 1,00;62;213;268;604;1.837;1.048;4.629;234;501;8;6;9.410;12;50;62;279;2.060;623;4.501;231;553;17;6;8.394;74;263;330;883;3.897;1.671;9.130;465;1.054;25;12;17.804
;02:1,01 a 1,50;426;2.129;2.441;7.126;13.812;7.723;28.831;1.057;1.076;16;13;64.650;148;442;506;4.317;6.674;4.391;31.505;1.522;2.030;18;9;51.562;574;2.571;2.947;11.443;20.486;12.114;60.336;2.579;3.106;34;22;116.212
;03:1,51 a 2,00;173;1.101;1.275;4.276;7.048;3.462;15.800;764;1.450;21;6;35.376;17;66;103;528;1.279;809;11.535;1.014;2.444;18;9;17.822;190;1.167;1.378;4.804;8.327;4.271;27.335;1.778;3.894;39;15;53.198
;04:2,01 a 3,00;103;473;590;2.615;5.876;2.720;17.459;1.026;3.367;53;18;34.300;7;23;35;474;900;628;9.990;1.100;6.607;150;10;19.924;110;496;625;3.089;6.776;3.348;27.449;2.126;9.974;203;28;54.224
;05:3,01 a 4,00;17;142;219;1.186;3.757;2.472;7.928;659;3.057;45;8;19.490;0;4;18;98;418;432;5.109;758;5.375;68;14;12.294;17;146;237;1.284;4.175;2.904;13.037;1.417;8.432;113;22;31.784
;06:4,01 a 5,00;11;82;108;429;1.337;535;3.440;514;3.608;67;3;10.134;0;7;12;64;161;88;2.316;490;5.845;85;6;9.074;11;89;120;493;1.498;623;5.756;1.004;9.453;152;9;19.208
;07:5,01 a 7,00;2;97;75;526;1.106;375;3.949;628;6.680;93;11;13.542;0;7;6;59;185;81;2.499;438;8.827;162;14;12.278;2;104;81;585;1.291;456;6.448;1.066;15.507;255;25;25.820
;08:7,01 a 10,00;1;108;42;380;816;308;2.452;381;4.397;95;22;9.002;0;3;8;15;42;33;906;233;5.246;179;14;6.679;1;111;50;395;858;341;3.358;614;9.643;274;36;15.681
;09:10,01 a 15,00;0;9;11;50;257;124;1.148;236;3.349;72;24;5.280;0;0;0;6;16;4;428;86;2.754;94;27;3.415;0;9;11;56;273;128;1.576;322;6.103;166;51;8.695
;10:15,01 a 20,00;0;0;0;3;64;23;392;78;1.753;49;16;2.378;0;0;0;0;3;1;94;26;1.167;45;15;1.351;0;0;0;3;67;24;486;104;2.920;94;31;3.729
;11:Mais de 20,00;0;0;1;6;31;10;401;73;3.128;57;51;3.758;0;0;0;0;0;1;104;24;2.154;19;29;2.331;0;0;1;6;31;11;505;97;5.282;76;80;6.089
;{ñ class};14;133;514;362;511;178;504;21;143;7;2;2.389;2;31;24;75;168;61;382;26;145;2;0;916;16;164;538;437;679;239;886;47;288;9;2;3.305
160030:Macapá - AP;Total;220;865;964;2.822;4.899;3.135;28.160;1.173;4.845;66;18;47.167;59;220;219;984;2.665;1.284;26.894;1.266;5.832;63;14;39.500;279;1.085;1.183;3.806;7.564;4.419;55.054;2.439;10.677;129;32;86.667
;00:Até 0,50;0;2;0;10;7;67;71;7;4;0;0;168;0;1;1;12;6;73;54;2;4;0;0;153;0;3;1;22;13;140;125;9;8;0;0;321
;01:0,51 a 1,00;22;73;64;167;272;298;1.213;29;49;2;0;2.189;1;10;15;66;125;176;1.090;64;91;1;0;1.639;23;83;79;233;397;474;2.303;93;140;3;0;3.828
;02:1,01 a 1,50;123;362;439;1.064;1.787;1.224;6.802;259;167;4;0;12.231;21;76;101;354;962;627;6.784;402;315;4;0;9.646;144;438;540;1.418;2.749;1.851;13.586;661;482;8;0;21.877
;03:1,51 a 2,00;58;188;218;570;1.043;923;3.572;182;181;1;0;6.936;34;69;85;288;752;310;2.720;259;303;1;1;4.822;92;257;303;858;1.795;1.233;6.292;441;484;2;1;11.758
;04:2,01 a 3,00;15;99;185;406;856;451;4.047;204;354;9;0;6.626;0;3;9;20;62;61;2.434;191;472;4;0;3.256;15;102;194;426;918;512;6.481;395;826;13;0;9.882
;05:3,01 a 4,00;0;14;25;85;168;91;1.757;148;392;8;1;2.689;1;4;0;11;24;9;1.442;118;569;6;1;2.185;1;18;25;96;192;100;3.199;266;961;14;2;4.874
;06:4,01 a 5,00;0;29;5;60;150;23;1.536;79;338;3;0;2.223;1;21;3;52;269;8;2.492;69;462;10;1;3.388;1;50;8;112;419;31;4.028;148;800;13;1;5.611
;07:5,01 a 7,00;0;79;16;380;440;21;5.043;99;1.155;13;1;7.247;0;28;1;140;368;6;5.592;61;1.502;6;0;7.704;0;107;17;520;808;27;10.635;160;2.657;19;1;14.951
;08:7,01 a 10,00;0;11;4;54;100;12;2.245;82;665;2;3;3.178;0;7;3;38;73;6;3.050;36;817;9;2;4.041;0;18;7;92;173;18;5.295;118;1.482;11;5;7.219
;09:10,01 a 15,00;0;1;1;4;16;6;1.031;45;545;9;2;1.660;0;0;0;1;8;1;885;30;727;13;2;1.667;0;1;1;5;24;7;1.916;75;1.272;22;4;3.327
;10:15,01 a 20,00;0;1;0;0;7;3;299;23;407;4;0;744;0;0;0;1;0;2;93;21;279;4;2;402;0;1;0;1;7;5;392;44;686;8;2;1.146
;11:Mais de 20,00;0;0;0;5;28;2;483;11;557;8;11;1.105;0;0;0;0;8;1;230;12;263;3;5;522;0;0;0;5;36;3;713;23;820;11;16;1.627
;{ñ class};2;6;7;17;25;14;61;5;31;3;0;171;1;1;1;1;8;4;28;1;28;2;0;75;3;7;8;18;33;18;89;6;59;5;0;246
172100:Palmas - TO;Total;453;1.654;815;2.029;7.297;3.008;27.022;1.222;11.489;78;69;55.136;1.267;1.428;144;489;4.565;1.345;25.468;1.311;18.850;52;93;55.012;1.720;3.082;959;2.518;11.862;4.353;52.490;2.533;30.339;130;162;110.148
;00:Até 0,50;1;3;0;8;10;28;25;1;33;0;0;109;0;3;1;4;9;19;37;2;58;0;2;135;1;6;1;12;19;47;62;3;91;0;2;244
;01:0,51 a 1,00;19;169;35;172;680;263;911;33;115;0;0;2.397;5;241;17;65;678;139;1.088;46;249;0;0;2.528;24;410;52;237;1.358;402;1.999;79;364;0;0;4.925
;02:1,01 a 1,50;132;969;302;790;2.710;1.363;6.628;193;265;4;2;13.358;167;1.144;98;325;2.572;760;7.730;334;677;5;1;13.813;299;2.113;400;1.115;5.282;2.123;14.358;527;942;9;3;27.171
;03:1,51 a 2,00;252;302;200;467;2.052;607;4.462;178;393;5;3;8.921;1.020;21;14;36;739;127;4.151;259;1.035;1;1;7.404;1.272;323;214;503;2.791;734;8.613;437;1.428;6;4;16.325
;04:2,01 a 3,00;36;142;205;340;1.114;363;4.390;225;1.142;1;0;7.958;73;7;8;31;304;80;4.341;212;3.201;5;1;8.263;109;149;213;371;1.418;443;8.731;437;4.343;6;1;16.221
;05:3,01 a 4,00;8;36;39;116;382;111;4.562;142;1.276;1;1;6.674;1;7;3;4;132;42;2.730;136;2.907;2;5;5.969;9;43;42;120;514;153;7.292;278;4.183;3;6;12.643
;06:4,01 a 5,00;0;12;13;43;113;62;2.394;106;1.068;2;5;3.818;0;1;0;9;68;24;3.678;97;2.084;1;5;5.967;0;13;13;52;181;86;6.072;203;3.152;3;10;9.785
;07:5,01 a 7,00;0;4;11;39;123;81;2.151;117;2.397;9;7;4.939;0;0;1;4;30;43;1.117;87;4.955;7;26;6.270;0;4;12;43;153;124;3.268;204;7.352;16;33;11.209
;08:7,01 a 10,00;0;2;5;25;56;63;910;117;1.804;19;13;3.014;0;0;1;4;18;55;372;101;1.874;7;17;2.449;0;2;6;29;74;118;1.282;218;3.678;26;30;5.463
;09:10,01 a 15,00;0;0;1;4;16;48;193;71;1.159;18;9;1.519;0;0;0;3;10;47;111;27;905;14;16;1.133;0;0;1;7;26;95;304;98;2.064;32;25;2.652
;10:15,01 a 20,00;0;0;0;0;0;7;312;21;868;13;11;1.232;0;0;0;1;1;7;67;6;487;8;8;585;0;0;0;1;1;14;379;27;1.355;21;19;1.817
;11:Mais de 20,00;0;0;0;0;4;0;27;16;954;6;18;1.025;0;0;0;0;0;0;13;3;389;2;11;418;0;0;0;0;4;0;40;19;1.343;8;29;1.443
;{ñ class};5;15;4;25;37;12;57;2;15;0;0;172;1;4;1;3;4;2;33;1;29;0;0;78;6;19;5;28;41;14;90;3;44;0;0;250
211130:São Luiz - MA;Total;480;4.253;2.991;6.612;38.888;7.061;83.882;2.616;11.599;536;42;158.960;64;289;463;968;34.971;1.938;62.911;2.601;13.350;695;38;118.288;544;4.542;3.454;7.580;73.859;8.999;146.793;5.217;24.949;1.231;80;277.248
;00:Até 0,50;20;160;42;11;34;41;70;9;69;0;0;456;0;2;4;2;5;29;58;2;58;0;0;160;20;162;46;13;39;70;128;11;127;0;0;616
;01:0,51 a 1,00;43;642;231;501;815;556;4.737;59;193;1;0;7.778;17;46;45;131;357;283;5.583;132;280;8;0;6.882;60;688;276;632;1.172;839;10.320;191;473;9;0;14.660
;02:1,01 a 1,50;298;2.504;1.648;3.495;11.252;3.790;36.772;649;565;124;3;61.100;39;203;366;704;8.001;1.391;30.619;1.020;1.182;241;5;43.771;337;2.707;2.014;4.199;19.253;5.181;67.391;1.669;1.747;365;8;104.871
;03:1,51 a 2,00;68;348;417;968;3.908;1.026;13.874;332;465;34;1;21.441;5;22;24;51;3.796;107;7.860;361;914;96;1;13.237;73;370;441;1.019;7.704;1.133;21.734;693;1.379;130;2;34.678
;04:2,01 a 3,00;13;156;392;677;5.292;971;11.759;444;926;120;2;20.752;1;9;11;22;4.920;58;7.948;440;1.358;60;3;14.830;14;165;403;699;10.212;1.029;19.707;884;2.284;180;5;35.582
;05:3,01 a 4,00;12;76;99;279;4.923;242;5.325;299;1.101;46;3;12.405;0;0;4;5;8.933;12;4.377;233;2.370;98;2;16.034;12;76;103;284;13.856;254;9.702;532;3.471;144;5;28.439
;06:4,01 a 5,00;1;31;43;102;5.279;123;2.902;193;806;75;2;9.557;0;1;2;8;3.454;12;2.270;129;1.253;39;4;7.172;1;32;45;110;8.733;135;5.172;322;2.059;114;6;16.729
;07:5,01 a 7,00;0;44;28;218;3.425;93;3.816;232;1.878;47;4;9.785;0;1;1;22;2.130;8;2.481;145;2.382;46;4;7.220;0;45;29;240;5.555;101;6.297;377;4.260;93;8;17.005
;08:7,01 a 10,00;0;195;13;227;1.590;37;2.231;194;1.581;21;9;6.098;0;0;0;6;1.795;3;840;67;1.338;47;6;4.102;0;195;13;233;3.385;40;3.071;261;2.919;68;15;10.200
;09:10,01 a 15,00;0;4;10;17;973;23;998;107;1.327;29;4;3.492;0;0;1;0;763;0;419;39;899;35;6;2.162;0;4;11;17;1.736;23;1.417;146;2.226;64;10;5.654
;10:15,01 a 20,00;0;0;1;0;796;1;346;42;837;20;10;2.053;0;0;1;0;484;0;74;15;464;16;5;1.059;0;0;2;0;1.280;1;420;57;1.301;36;15;3.112
;11:Mais de 20,00;0;0;1;1;349;4;347;41;1.777;10;4;2.534;0;0;0;0;285;0;100;11;788;3;2;1.189;0;0;1;1;634;4;447;52;2.565;13;6;3.723
;{ñ class};25;93;66;116;252;154;705;15;74;9;0;1.509;2;5;4;17;48;35;282;7;64;6;0;470;27;98;70;133;300;189;987;22;138;15;0;1.979
221100:Terezina - PI;Total;1.765;12.315;7.805;11.955;17.720;10.963;48.629;4.403;19.868;143;63;135.629;348;2.030;1.525;2.486;5.563;3.975;40.479;9.284;30.038;174;40;95.942;2.113;14.345;9.330;14.441;23.283;14.938;89.108;13.687;49.906;317;103;231.571
;00:Até 0,50;51;64;31;75;61;95;109;27;160;3;0;676;2;11;14;40;50;114;88;109;105;0;0;533;53;75;45;115;111;209;197;136;265;3;0;1.209
;01:0,51 a 1,00;223;946;1.117;1.503;1.323;885;1.617;186;456;8;1;8.265;20;92;84;220;300;479;1.500;374;450;4;0;3.523;243;1.038;1.201;1.723;1.623;1.364;3.117;560;906;12;1;11.788
;02:1,01 a 1,50;887;5.564;4.422;7.144;10.251;6.822;21.953;1.645;1.547;8;1;60.244;274;1.563;999;2.010;4.189;3.033;22.049;3.742;2.555;3;2;40.419;1.161;7.127;5.421;9.154;14.440;9.855;44.002;5.387;4.102;11;3;100.663
;03:1,51 a 2,00;188;1.405;1.040;1.678;2.677;1.555;7.392;641;1.605;9;1;18.191;26;167;243;140;497;192;5.383;893;2.847;7;1;10.396;214;1.572;1.283;1.818;3.174;1.747;12.775;1.534;4.452;16;2;28.587
;04:2,01 a 3,00;108;1.932;865;852;1.817;1.082;6.092;819;2.889;9;2;16.467;23;118;155;32;286;96;5.693;2.596;4.346;19;2;13.366;131;2.050;1.020;884;2.103;1.178;11.785;3.415;7.235;28;4;29.833
;05:3,01 a 4,00;147;1.786;147;171;792;254;2.932;491;3.569;17;5;10.311;2;37;14;8;126;29;1.896;1.208;9.419;23;4;12.766;149;1.823;161;179;918;283;4.828;1.699;12.988;40;9;23.077
;06:4,01 a 5,00;91;214;39;86;161;68;1.454;144;1.602;8;1;3.868;0;9;0;9;21;6;828;115;3.389;16;1;4.394;91;223;39;95;182;74;2.282;259;4.991;24;2;8.262
;07:5,01 a 7,00;46;155;42;155;302;83;2.518;144;2.245;8;6;5.704;0;6;2;9;30;10;1.076;109;2.918;11;2;4.173;46;161;44;164;332;93;3.594;253;5.163;19;8;9.877
;08:7,01 a 10,00;0;91;22;151;157;40;2.115;138;1.954;8;3;4.679;0;3;2;2;15;6;962;52;1.634;27;6;2.709;0;94;24;153;172;46;3.077;190;3.588;35;9;7.388
;09:10,01 a 15,00;1;44;7;21;47;17;1.480;87;1.632;29;3;3.368;0;10;0;1;20;1;597;43;1.199;42;4;1.917;1;54;7;22;67;18;2.077;130;2.831;71;7;5.285
;10:15,01 a 20,00;0;9;1;0;6;8;333;32;829;14;5;1.237;0;1;0;0;0;1;142;13;488;10;2;657;0;10;1;0;6;9;475;45;1.317;24;7;1.894
;11:Mais de 20,00;0;1;1;0;1;2;495;28;1.263;18;34;1.843;0;0;0;0;1;0;179;9;615;6;16;826;0;1;1;0;2;2;674;37;1.878;24;50;2.669
;{ñ class};23;104;71;119;125;52;139;21;117;4;1;776;1;13;12;15;28;8;86;21;73;6;0;263;24;117;83;134;153;60;225;42;190;10;1;1.039
