;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
;09:10,01 a 15,00;320;0;1;0;872;100;240;0;0;0;1;0;0;0;0;0;0;0;0;1.534;164;0;0;0;692;35;312;0;0;0;1;0;0;0;0;1;0;0;1;1.206;484;0;1;0;1.564;135;552;0;0;0;2;0;0;0;0;1;0;0;1;2.740
;10:15,01 a 20,00;197;0;0;0;425;9;68;0;0;0;4;0;0;0;0;0;0;0;0;703;86;0;0;0;235;6;74;0;0;0;1;0;0;0;0;0;0;0;0;402;283;0;0;0;660;15;142;0;0;0;5;0;0;0;0;0;0;0;0;1.105
;11:Mais de 20,00;187;0;0;0;562;50;76;0;0;0;0;0;0;0;1;0;0;0;0;876;73;0;0;0;261;36;38;0;0;0;1;0;0;0;1;0;0;0;0;410;260;0;0;0;823;86;114;0;0;0;1;0;0;0;2;0;0;0;0;1.286
;{ñ class};607;10;1;4;31;6;8;0;0;4;3;0;0;0;0;0;0;0;0;674;297;3;0;0;29;0;3;0;0;0;2;0;0;0;0;1;0;0;0;335;904;13;1;4;60;6;11;0;0;4;5;0;0;0;0;1;0;0;0;1.009
130260:Manaus - AM;Total;225.138;308;126;750;43.958;1.226;11.648;477;919;4.155;1.402;3;1;4;99;1.007;147;0;3.388;294.756;142.211;700;113;209;52.673;1.192;16.377;8;659;3.176;1.025;14;1;0;56;733;156;0;3.859;223.162;367.349;1.008;239;959;96.631;2.418;28.025;485;1.578;7.331;2.427;17;2;4;155;1.740;303;0;7.247;517.918
;00:Até 0,50;430;0;2;3;5;0;11;0;0;2.150;1;0;0;0;0;5;0;0;0;2.607;434;0;0;1;7;0;6;0;1;1.701;1;0;0;0;0;1;0;0;0;2.152;864;0;2;4;12;0;17;0;1;3.851;2;0;0;0;0;6;0;0;0;4.759
;01:0,51 a 1,00;3.647;32;1;46;98;49;199;37;3;1.567;57;0;0;2;13;24;1;0;22;5.798;4.849;97;4;11;104;54;236;2;2;1.172;55;1;0;0;5;15;0;0;19;6.626;8.496;129;5;57;202;103;435;39;5;2.739;112;1;0;2;18;39;1;0;41;12.424
;02:1,01 a 1,50;72.242;120;63;356;1.023;262;668;15;445;425;574;2;1;1;2;230;1;0;272;76.702;72.083;366;78;133;2.501;226;878;3;191;295;428;9;1;0;8;161;4;0;204;77.569;144.325;486;141;489;3.524;488;1.546;18;636;720;1.002;11;2;1;10;391;5;0;476;154.271
;03:1,51 a 2,00;50.124;53;19;217;4.446;109;2.476;8;250;3;339;1;0;1;6;439;4;0;603;59.098;25.793;96;21;40;7.489;95;4.296;1;175;4;210;2;0;0;6;367;0;0;748;39.343;75.917;149;40;257;11.935;204;6.772;9;425;7;549;3;0;1;12;806;4;0;1.351;98.441
;04:2,01 a 3,00;47.259;46;21;76;8.448;182;4.001;40;128;0;237;0;0;0;13;199;11;0;1.823;62.484;16.876;63;4;15;17.074;165;5.450;1;192;1;201;2;0;0;10;108;11;0;918;41.091;64.135;109;25;91;25.522;347;9.451;41;320;1;438;2;0;0;23;307;22;0;2.741;103.575
