;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;55:Aprendiz;60:CLT U/ PJ Determinado;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
;03:1,51 a 2,00;51.254;299;218;17;5.924;101;1.253;0;1.219;11;1.593;7;0;0;1;425;3;0;1.173;63.498;26.750;105;127;2;8.512;104;2.403;0;538;14;629;2;0;0;1;121;5;0;540;39.853;0;0;0;0;78.004;404;345;19;14.436;205;3.656;0;1.757;25;2.222;9;0;0;2;546;8;0;1.713;103.351
;04:2,01 a 3,00;42.462;132;271;8;10.105;203;3.348;0;287;12;1.174;1;0;0;0;148;62;0;1.018;59.231;17.405;67;90;1;17.628;267;3.730;0;99;11;455;0;0;0;0;34;63;0;1.495;41.345;0;0;0;0;59.867;199;361;9;27.733;470;7.078;0;386;23;1.629;1;0;0;0;182;125;0;2.513;100.576
;05:3,01 a 4,00;14.878;39;70;0;4.168;56;1.610;0;64;5;297;0;0;0;3;24;41;0;80;21.335;7.155;22;37;1;5.951;78;2.879;0;19;19;143;0;0;0;1;12;49;0;134;16.500;0;0;0;0;22.033;61;107;1;10.119;134;4.489;0;83;24;440;0;0;0;4;36;90;0;214;37.835
;06:4,01 a 5,00;8.183;15;32;0;4.109;73;1.070;0;47;2;122;0;0;0;1;7;1;0;93;13.755;4.055;12;8;0;6.134;106;1.641;0;23;5;63;0;0;0;0;4;5;0;460;12.516;0;0;0;0;12.238;27;40;0;10.243;179;2.711;0;70;7;185;0;0;0;1;11;6;0;553;26.271
;07:5,01 a 7,00;7.937;13;29;0;6.514;93;553;0;42;8;98;1;0;0;0;10;6;0;91;15.395;3.933;9;13;0;7.116;97;820;0;16;3;47;0;0;0;0;5;3;0;429;12.491;0;0;0;0;11.870;22;42;0;13.630;190;1.373;0;58;11;145;1;0;0;0;15;9;0;520;27.886
;08:7,01 a 10,00;5.491;6;8;0;7.252;94;405;0;21;0;64;0;0;0;3;9;2;0;75;13.430;2.672;10;6;0;4.422;111;577;0;5;0;16;0;0;0;2;1;0;0;375;8.197;0;0;0;0;8.163;16;14;0;11.674;205;982;0;26;0;80;0;0;0;5;10;2;0;450;21.627
;09:10,01 a 15,00;3.728;10;10;0;3.988;45;257;0;12;1;34;0;0;0;6;3;0;0;23;8.117;1.767;7;1;0;2.489;55;303;0;1;0;8;0;0;0;2;0;0;0;27;4.660;0;0;0;0;5.495;17;11;0;6.477;100;560;0;13;1;42;0;0;0;8;3;0;0;50;12.777
;10:15,01 a 20,00;1.462;2;5;0;2.438;5;85;0;1;0;4;0;0;0;13;6;0;0;0;4.021;666;0;1;0;1.411;1;92;0;2;0;2;0;0;0;7;1;0;0;0;2.183;0;0;0;0;2.128;2;6;0;3.849;6;177;0;3;0;6;0;0;0;20;7;0;0;0;6.204
;11:Mais de 20,00;2.307;0;8;0;2.065;11;25;0;1;0;8;0;0;0;55;5;0;0;0;4.485;1.175;0;0;0;1.083;7;14;0;0;0;1;0;0;0;30;0;0;0;0;2.310;0;0;0;0;3.482;0;8;0;3.148;18;39;0;1;0;9;0;0;0;85;5;0;0;0;6.795
;{ñ class};19.953;38;84;7;91;0;41;39;125;130;806;2;0;0;115;169;0;0;9;21.609;11.806;50;30;1;9;0;60;10;45;100;532;6;0;0;95;86;0;0;6;12.836;0;0;1;1;31.759;88;114;8;100;0;101;49;170;230;1.339;8;0;0;210;255;0;0;15;34.446
