;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;55:Aprendiz;60:CLT U/ PJ Determinado;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
;05:3,01 a 4,00;13.379;26;24;1;6.624;13;488;2;6;5;369;1;0;0;0;6;50;1.823;264;23.081;10.926;39;13;0;5.126;6;648;0;8;3;404;0;0;0;0;23;43;2.622;1.033;20.894;0;0;0;0;24.305;65;37;1;11.750;19;1.136;2;14;8;773;1;0;0;0;29;93;4.445;1.297;43.975
;06:4,01 a 5,00;7.171;8;13;0;14.431;13;397;0;2;5;131;0;0;0;0;5;27;122;477;22.802;6.564;16;8;0;5.986;16;478;0;3;5;133;0;0;0;0;6;28;146;2.562;15.951;0;0;0;0;13.735;24;21;0;20.417;29;875;0;5;10;264;0;0;0;0;11;55;268;3.039;38.753
;07:5,01 a 7,00;7.561;13;15;0;13.949;7;332;0;3;6;127;0;0;0;2;4;8;13;46;22.086;6.278;21;14;1;9.208;22;415;0;3;10;81;0;0;0;0;3;7;26;316;16.405;0;0;0;0;13.839;34;29;1;23.157;29;747;0;6;16;208;0;0;0;2;7;15;39;362;38.491
;08:7,01 a 10,00;5.810;9;7;0;7.786;5;151;2;6;1;87;0;0;0;2;3;5;0;10;13.884;4.086;8;3;0;9.929;9;172;0;9;1;47;0;0;0;1;11;3;1;12;14.292;0;0;0;0;9.896;17;10;0;17.715;14;323;2;15;2;134;0;0;0;3;14;8;1;22;28.176
;09:10,01 a 15,00;5.332;3;6;0;5.674;4;140;4;2;0;19;0;0;0;8;5;9;0;3;11.209;3.569;4;5;0;5.213;3;148;0;0;0;12;0;0;0;1;5;6;0;3;8.969;0;0;0;0;8.901;7;11;0;10.887;7;288;4;2;0;31;0;0;0;9;10;15;0;6;20.178
;10:15,01 a 20,00;2.464;2;1;0;2.411;2;50;7;4;0;7;0;0;0;5;0;11;0;16;4.980;1.550;6;0;0;1.495;0;30;0;0;0;4;0;0;0;7;0;2;0;30;3.124;0;0;0;0;4.014;8;1;0;3.906;2;80;7;4;0;11;0;0;0;12;0;13;0;46;8.104
;11:Mais de 20,00;2.999;4;2;0;2.870;1;47;274;0;0;38;0;0;0;28;0;1;0;4;6.268;1.801;5;0;0;1.628;0;8;0;0;0;3;0;0;0;28;2;0;0;4;3.479;0;0;0;0;4.800;9;2;0;4.498;1;55;274;0;0;41;0;0;0;56;2;1;0;8;9.747
;{ñ class};25.242;69;34;1;174;0;13;184;22;191;968;4;0;0;104;104;1;1.383;0;28.494;15.671;170;14;0;657;1;11;6;16;190;623;0;0;0;50;22;0;1.818;2;19.251;0;0;2;2;40.913;239;48;1;831;1;24;190;38;381;1.593;4;0;0;154;126;1;3.201;2;47.747
240810:Natal - RN;Total;114.477;284;139;47;43.807;943;2.263;296;423;1.417;6.292;19;0;1;75;167;224;50;13;170.937;83.668;557;134;0;40.694;835;1.801;84;1.813;1.761;4.229;6;0;0;45;77;261;73;52;136.090;0;0;0;0;198.145;841;273;47;84.501;1.778;4.064;380;2.236;3.178;10.521;25;0;1;120;244;485;123;65;307.027
;00:Até 0,50;567;1;0;0;160;1;5;4;2;906;397;1;0;0;0;1;0;0;0;2.045;624;2;0;0;159;5;4;2;3;1.194;246;2;0;0;0;0;0;0;0;2.241;0;0;0;0;1.191;3;0;0;319;6;9;6;5;2.100;643;3;0;0;0;1;0;0;0;4.286
;01:0,51 a 1,00;6.867;29;5;12;350;24;264;4;5;435;2.122;7;0;0;0;34;0;0;0;10.158;6.887;52;16;0;351;14;84;3;11;466;1.735;2;0;0;0;13;0;0;1;9.635;0;0;0;0;13.754;81;21;12;701;38;348;7;16;901;3.857;9;0;0;0;47;0;0;1;19.793
;02:1,01 a 1,50;50.106;134;77;30;1.374;12;200;2;162;5;2.483;9;0;1;0;73;0;0;2;54.670;44.197;285;82;0;1.785;31;119;2;543;10;1.544;2;0;0;0;35;0;0;14;48.649;0;0;0;0;94.303;419;159;30;3.159;43;319;4;705;15;4.027;11;0;1;0;108;0;0;16;103.319
;03:1,51 a 2,00;20.142;25;27;1;2.622;19;447;4;6;0;500;2;0;0;0;14;3;0;1;23.813;10.293;46;20;0;3.133;21;81;3;11;1;265;0;0;0;0;7;1;0;2;13.884;0;0;0;0;30.435;71;47;1;5.755;40;528;7;17;1;765;2;0;0;0;21;4;0;3;37.697
;04:2,01 a 3,00;13.374;27;12;0;4.761;59;440;3;241;1;315;0;0;0;1;4;75;11;10;19.334;6.640;36;1;0;6.917;32;310;10;1.228;2;153;0;0;0;0;7;96;2;35;15.469;0;0;0;0;20.014;63;13;0;11.678;91;750;13;1.469;3;468;0;0;0;1;11;171;13;45;34.803
;05:3,01 a 4,00;4.555;8;3;0;7.847;140;124;5;5;4;59;0;0;0;0;4;81;18;0;12.853;2.800;30;6;0;10.565;100;84;5;14;3;41;0;0;0;0;1;90;68;0;13.807;0;0;0;0;7.355;38;9;0;18.412;240;208;10;19;7;100;0;0;0;0;5;171;86;0;26.660
;06:4,01 a 5,00;2.420;5;1;0;6.175;96;222;7;0;0;30;0;0;0;0;0;33;9;0;8.998;1.589;18;2;0;5.587;89;398;3;0;2;10;0;0;0;1;1;45;0;0;7.745;0;0;0;0;4.009;23;3;0;11.762;185;620;10;0;2;40;0;0;0;1;1;78;9;0;16.743
;07:5,01 a 7,00;2.173;4;3;0;8.566;156;179;10;0;2;16;0;0;0;0;2;11;7;0;11.129;1.513;15;2;0;5.031;146;291;11;0;1;8;0;0;0;0;2;11;2;0;7.033;0;0;0;0;3.686;19;5;0;13.597;302;470;21;0;3;24;0;0;0;0;4;22;9;0;18.162
;08:7,01 a 10,00;1.507;4;0;0;4.027;115;119;6;0;0;16;0;0;0;0;2;2;2;0;5.800;945;15;1;0;2.630;131;155;6;1;0;3;0;0;0;0;0;4;1;0;3.892;0;0;0;0;2.452;19;1;0;6.657;246;274;12;1;0;19;0;0;0;0;2;6;3;0;9.692
;09:10,01 a 15,00;1.320;3;1;0;4.752;152;76;20;0;0;4;0;0;0;1;2;8;3;0;6.342;672;3;0;0;2.627;144;82;11;0;0;1;0;0;0;2;0;8;0;0;3.550;0;0;0;0;1.992;6;1;0;7.379;296;158;31;0;0;5;0;0;0;3;2;16;3;0;9.892
;10:15,01 a 20,00;567;3;1;0;1.749;78;9;15;0;0;2;0;0;0;5;1;8;0;0;2.438;251;6;0;0;961;55;6;1;0;0;0;0;0;0;3;0;5;0;0;1.288;0;0;0;0;818;9;1;0;2.710;133;15;16;0;0;2;0;0;0;8;1;13;0;0;3.726
;11:Mais de 20,00;804;3;0;0;1.163;90;0;125;0;0;2;0;0;0;18;0;3;0;0;2.208;380;3;0;0;535;67;0;0;0;0;1;0;0;0;17;0;1;0;0;1.004;0;0;0;0;1.184;6;0;0;1.698;157;0;125;0;0;3;0;0;0;35;0;4;0;0;3.212
;{ñ class};10.075;38;9;4;261;1;178;91;2;64;346;0;0;0;50;30;0;0;0;11.149;6.877;46;4;0;413;0;187;27;2;82;222;0;0;0;22;11;0;0;0;7.893;0;0;0;0;16.952;84;13;4;674;1;365;118;4;146;568;0;0;0;72;41;0;0;0;19.042
250750:João Pessoa - PB;Total;106.323;717;303;143;34.988;17;19.253;1;53;1.028;6.011;22;0;0;102;159;164;0;0;169.284;68.090;711;117;9;25.972;19;31.860;1;37;1.188;4.067;11;0;0;47;56;166;0;0;132.351;0;0;0;0;174.413;1.428;420;152;60.960;36;51.113;2;90;2.216;10.078;33;0;0;149;215;330;0;0;301.635
;00:Até 0,50;649;1;0;0;30;0;45;0;0;268;346;5;0;0;0;0;0;0;0;1.344;472;1;0;0;44;0;35;0;0;300;266;1;0;0;0;0;0;0;0;1.119;0;0;0;0;1.121;2;0;0;74;0;80;0;0;568;612;6;0;0;0;0;0;0;0;2.463
;01:0,51 a 1,00;6.660;81;70;9;723;2;2.308;0;14;705;1.959;10;0;0;1;24;0;0;0;12.566;6.689;54;6;0;644;1;3.581;0;11;818;1.800;5;0;0;0;7;0;0;0;13.616;0;0;0;0;13.349;135;76;9;1.367;3;5.889;0;25;1.523;3.759;15;0;0;1;31;0;0;0;26.182
;02:1,01 a 1,50;49.536;340;139;101;2.504;8;5.720;0;32;8;2.211;5;0;0;1;78;0;0;0;60.683;35.282;485;70;6;1.960;7;10.471;0;15;20;1.410;4;0;0;1;28;0;0;0;49.759;0;0;0;0;84.818;825;209;107;4.464;15;16.191;0;47;28;3.621;9;0;0;2;106;0;0;0;110.442
;03:1,51 a 2,00;17.697;59;41;21;1.878;4;3.113;0;2;4;413;1;0;0;0;26;11;0;0;23.270;7.644;34;13;0;2.303;4;6.228;0;2;5;186;1;0;0;0;5;11;0;0;16.436;0;0;0;0;25.341;93;54;21;4.181;8;9.341;0;4;9;599;2;0;0;0;31;22;0;0;39.706
;04:2,01 a 3,00;10.160;36;20;6;8.757;1;4.054;0;0;4;202;0;0;0;0;13;56;0;0;23.309;5.689;31;19;1;4.289;5;7.241;0;1;6;107;0;0;0;0;1;61;0;0;17.451;0;0;0;0;15.849;67;39;7;13.046;6;11.295;0;1;10;309;0;0;0;0;14;117;0;0;40.760
;05:3,01 a 4,00;3.652;18;6;1;5.887;0;1.215;0;0;1;52;0;0;0;0;2;57;0;0;10.891;2.367;6;2;0;4.099;2;1.968;0;1;0;33;0;0;0;0;2;61;0;0;8.541;0;0;0;0;6.019;24;8;1;9.986;2;3.183;0;1;1;85;0;0;0;0;4;118;0;0;19.432
;06:4,01 a 5,00;1.950;12;6;2;3.913;1;658;0;1;9;32;0;0;0;0;1;30;0;0;6.615;1.291;4;0;0;3.459;0;598;0;0;3;14;0;0;0;0;0;26;0;0;5.395;0;0;0;0;3.241;16;6;2;7.372;1;1.256;0;1;12;46;0;0;0;0;1;56;0;0;12.010
;07:5,01 a 7,00;2.225;18;6;0;3.473;1;479;0;0;4;33;0;0;0;1;0;3;0;0;6.243;1.323;6;1;0;3.878;0;489;0;0;3;7;0;0;0;0;0;4;0;0;5.711;0;0;0;0;3.548;24;7;0;7.351;1;968;0;0;7;40;0;0;0;1;0;7;0;0;11.954
;08:7,01 a 10,00;1.970;14;4;0;2.346;0;621;0;1;0;37;0;0;0;2;1;1;0;0;4.997;891;4;0;0;1.798;0;640;0;3;0;9;0;0;0;0;0;0;0;0;3.345;0;0;0;0;2.861;18;4;0;4.144;0;1.261;0;4;0;46;0;0;0;2;1;1;0;0;8.342
;09:10,01 a 15,00;1.656;9;1;0;2.654;0;426;0;0;0;29;0;0;0;0;1;1;0;0;4.777;702;2;0;0;1.973;0;304;0;2;0;4;0;0;0;1;0;0;0;0;2.988;0;0;0;0;2.358;11;1;0;4.627;0;730;0;2;0;33;0;0;0;1;1;1;0;0;7.765
;10:15,01 a 20,00;733;5;1;0;1.560;0;221;0;0;0;8;0;0;0;6;0;5;0;0;2.539;248;3;0;0;875;0;109;0;1;0;2;0;0;0;0;0;3;0;0;1.241;0;0;0;0;981;8;1;0;2.435;0;330;0;1;0;10;0;0;0;6;0;8;0;0;3.780
;11:Mais de 20,00;845;0;0;0;1.055;0;273;0;0;0;9;0;0;0;16;0;0;0;0;2.198;533;2;0;0;512;0;93;0;0;0;0;0;0;0;9;0;0;0;0;1.149;0;0;0;0;1.378;2;0;0;1.567;0;366;0;0;0;9;0;0;0;25;0;0;0;0;3.347
;{ñ class};8.590;124;9;3;208;0;120;1;3;25;680;1;0;0;75;13;0;0;0;9.852;4.959;79;6;2;138;0;103;1;1;33;229;0;0;0;36;13;0;0;0;5.600;0;0;0;0;13.549;203;15;5;346;0;223;2;4;58;909;1;0;0;111;26;0;0;0;15.452
261160:Recife - PE;Total;281.422;822;1.605;313;70.014;454;11.871;2.802;2.742;2.541;14.058;16;1;1;268;1.034;630;2.127;2;392.723;189.268;1.218;811;12;73.675;513;21.627;39;1.726;3.363;8.610;16;0;0;166;921;438;8.044;10;310.457;0;0;0;0;470.690;2.040;2.416;325;143.689;967;33.498;2.841;4.468;5.904;22.668;32;1;1;434;1.955;1.068;10.171;12;703.180
;00:Até 0,50;1.167;0;1;0;83;7;137;6;37;1.698;619;0;0;0;0;7;0;0;0;3.762;927;3;2;0;110;7;271;0;29;2.282;401;0;0;0;0;10;0;3;0;4.045;0;0;0;0;2.094;3;3;0;193;14;408;6;66;3.980;1.020;0;0;0;0;17;0;3;0;7.807
;01:0,51 a 1,00;10.264;76;69;27;1.686;25;662;14;258;720;3.447;8;1;1;2;73;5;428;2;17.768;12.001;50;40;1;600;28;542;0;161;920;2.508;5;0;0;1;97;4;2.553;9;19.520;0;0;0;0;22.265;126;109;28;2.286;53;1.204;14;419;1.640;5.955;13;1;1;3;170;9;2.981;11;37.288
;02:1,01 a 1,50;105.215;340;923;216;2.147;56;818;16;1.438;33;5.792;6;0;0;0;428;316;232;0;117.976;80.993;689;514;6;2.045;47;1.809;7;893;36;3.740;9;0;0;0;409;174;998;0;92.369;0;0;0;0;186.208;1.029;1.437;222;4.192;103;2.627;23;2.331;69;9.532;15;0;0;0;837;490;1.230;0;210.345
;03:1,51 a 2,00;60.389;142;237;46;5.486;46;1.050;12;201;4;1.746;0;0;0;1;167;1;548;0;70.076;28.304;216;69;3;13.266;57;1.131;0;115;7;645;0;0;0;1;103;1;2.358;0;46.276;0;0;0;0;88.693;358;306;49;18.752;103;2.181;12;316;11;2.391;0;0;0;2;270;2;2.906;0;116.352
;04:2,01 a 3,00;34.956;84;101;6;6.385;95;6.157;33;116;2;985;0;0;0;0;117;170;517;0;49.724;20.257;71;60;0;10.706;151;12.997;0;258;5;486;1;0;0;2;109;125;1.503;0;46.731;0;0;0;0;55.213;155;161;6;17.091;246;19.154;33;374;7;1.471;1;0;0;2;226;295;2.020;0;96.455
;05:3,01 a 4,00;12.912;27;46;0;8.081;25;1.062;8;60;4;263;0;0;0;3;45;90;105;0;22.731;10.384;37;25;0;10.125;22;1.988;5;52;10;161;0;0;0;0;43;88;211;0;23.151;0;0;0;0;23.296;64;71;0;18.206;47;3.050;13;112;14;424;0;0;0;3;88;178;316;0;45.882
;06:4,01 a 5,00;6.631;20;12;0;11.038;73;369;28;166;1;96;0;0;0;0;21;38;26;0;18.519;5.678;18;16;0;6.667;36;513;3;42;4;65;0;0;0;4;18;36;44;0;13.144;0;0;0;0;12.309;38;28;0;17.705;109;882;31;208;5;161;0;0;0;4;39;74;70;0;31.663
;07:5,01 a 7,00;8.042;12;12;2;11.974;45;438;59;210;2;110;0;0;0;2;23;6;45;0;20.982;6.614;15;13;0;10.977;79;1.057;2;48;2;53;0;0;0;1;12;7;29;1;18.910;0;0;0;0;14.656;27;25;2;22.951;124;1.495;61;258;4;163;0;0;0;3;35;13;74;1;39.892
;08:7,01 a 10,00;6.636;9;5;0;10.776;21;393;133;80;1;72;0;0;0;4;23;0;225;0;18.378;4.866;12;9;0;10.064;15;478;3;34;0;33;0;0;0;4;18;3;334;0;15.873;0;0;0;0;11.502;21;14;0;20.840;36;871;136;114;1;105;0;0;0;8;41;3;559;0;34.251
;09:10,01 a 15,00;6.031;24;8;0;6.442;58;443;220;100;0;29;0;0;0;6;7;4;1;0;13.373;3.297;18;3;0;5.077;66;448;0;34;0;13;0;0;0;2;5;0;3;0;8.966;0;0;0;0;9.328;42;11;0;11.519;124;891;220;134;0;42;0;0;0;8;12;4;4;0;22.339
;10:15,01 a 20,00;2.481;19;2;1;2.450;1;23;247;6;0;9;0;0;0;11;12;0;0;0;5.262;1.318;4;3;0;2.045;1;17;1;1;0;4;0;0;0;11;3;0;1;0;3.409;0;0;0;0;3.799;23;5;1;4.495;2;40;248;7;0;13;0;0;0;22;15;0;1;0;8.671
;11:Mais de 20,00;3.374;24;0;0;3.325;0;61;498;8;0;17;0;0;0;80;10;0;0;0;7.397;2.165;9;1;0;1.909;3;13;13;9;0;3;0;0;0;50;2;0;0;0;4.177;0;0;0;0;5.539;33;1;0;5.234;3;74;511;17;0;20;0;0;0;130;12;0;0;0;11.574
;{ñ class};23.324;45;189;15;141;2;258;1.528;62;76;873;2;0;0;159;101;0;0;0;26.775;12.464;76;56;2;84;1;363;5;50;97;498;1;0;0;90;92;0;7;0;13.886;0;0;0;0;35.788;121;245;17;225;3;621;1.533;112;173;1.371;3;0;0;249;193;0;7;0;40.661
270430:Maceió - AL;Total;120.532;467;977;177;25.720;35;2.844;477;121;1.475;8.031;14;0;2;96;650;51;0;0;161.669;84.288;629;121;11;26.942;21;3.169;0;72;1.599;4.903;12;0;0;50;208;76;0;0;122.101;0;0;0;0;204.820;1.096;1.098;188;52.662;56;6.013;477;193;3.074;12.934;26;0;2;146;858;127;0;0;283.770
;00:Até 0,50;455;1;9;0;8;1;2;0;3;737;379;0;0;0;0;2;0;0;0;1.597;396;1;1;0;13;0;2;0;1;808;246;1;0;0;0;4;0;0;0;1.473;0;0;0;0;851;2;10;0;21;1;4;0;4;1.545;625;1;0;0;0;6;0;0;0;3.070
;01:0,51 a 1,00;8.559;69;125;5;92;1;117;0;41;658;2.663;4;0;0;0;105;0;0;0;12.439;8.646;65;18;2;125;2;140;0;41;702;2.060;5;0;0;0;26;0;0;0;11.832;0;0;0;0;17.205;134;143;7;217;3;257;0;82;1.360;4.723;9;0;0;0;131;0;0;0;24.271
;02:1,01 a 1,50;50.217;231;348;127;547;7;674;0;67;12;3.143;7;0;1;0;307;0;0;0;55.688;38.969;376;72;5;1.119;6;514;0;26;25;1.755;5;0;0;0;102;0;0;0;42.974;0;0;0;0;89.186;607;420;132;1.666;13;1.188;0;93;37;4.898;12;0;1;0;409;0;0;0;98.662
;03:1,51 a 2,00;20.497;34;180;22;1.916;11;671;0;3;6;742;0;0;1;1;62;0;0;0;24.146;10.679;46;9;0;2.516;2;748;0;0;0;284;0;0;0;0;17;0;0;0;14.301;0;0;0;0;31.176;80;189;22;4.432;13;1.419;0;3;6;1.026;0;0;1;1;79;0;0;0;38.447
;04:2,01 a 3,00;12.640;31;41;2;4.591;9;500;0;1;5;511;1;0;0;0;47;11;0;0;18.390;7.472;38;1;0;7.764;4;658;0;1;3;154;0;0;0;0;23;14;0;0;16.132;0;0;0;0;20.112;69;42;2;12.355;13;1.158;0;2;8;665;1;0;0;0;70;25;0;0;34.522
;05:3,01 a 4,00;5.554;12;8;1;1.861;3;356;0;0;6;100;0;0;0;1;27;22;0;0;7.951;4.668;26;0;0;4.067;1;468;0;0;3;40;0;0;0;0;13;37;0;0;9.323;0;0;0;0;10.222;38;8;1;5.928;4;824;0;0;9;140;0;0;0;1;40;59;0;0;17.274
;06:4,01 a 5,00;2.581;1;3;0;4.287;1;163;0;0;6;49;0;0;0;1;10;8;0;0;7.110;2.261;2;1;0;3.043;1;271;0;0;2;18;0;0;0;0;3;10;0;0;5.612;0;0;0;0;4.842;3;4;0;7.330;2;434;0;0;8;67;0;0;0;1;13;18;0;0;12.722
;07:5,01 a 7,00;2.665;2;1;0;4.735;0;210;0;0;6;31;0;0;0;2;12;3;0;0;7.667;2.019;4;0;0;3.939;2;249;0;0;2;13;0;0;0;3;2;3;0;0;6.236;0;0;0;0;4.684;6;1;0;8.674;2;459;0;0;8;44;0;0;0;5;14;6;0;0;13.903
;08:7,01 a 10,00;2.074;1;4;0;3.093;1;90;0;0;0;28;0;0;0;0;9;7;0;0;5.307;1.030;1;0;0;1.742;1;73;0;0;0;5;0;0;0;0;2;12;0;0;2.866;0;0;0;0;3.104;2;4;0;4.835;2;163;0;0;0;33;0;0;0;0;11;19;0;0;8.173
;09:10,01 a 15,00;1.632;1;1;0;2.494;0;32;0;0;0;6;0;0;0;2;13;0;0;0;4.181;629;1;0;0;1.609;1;27;0;0;0;3;0;0;0;0;1;0;0;0;2.271;0;0;0;0;2.261;2;1;0;4.103;1;59;0;0;0;9;0;0;0;2;14;0;0;0;6.452
;10:15,01 a 20,00;689;1;0;0;1.001;0;6;0;0;0;3;0;0;0;5;2;0;0;0;1.707;217;0;0;0;512;0;7;0;0;0;0;0;0;0;4;1;0;0;0;741;0;0;0;0;906;1;0;0;1.513;0;13;0;0;0;3;0;0;0;9;3;0;0;0;2.448
;11:Mais de 20,00;896;2;1;0;1.088;1;2;0;1;0;1;0;0;0;21;3;0;0;0;2.016;425;0;0;0;486;0;0;0;0;0;0;0;0;0;16;0;0;0;0;927;0;0;0;0;1.321;2;1;0;1.574;1;2;0;1;0;1;0;0;0;37;3;0;0;0;2.943
;{ñ class};12.073;81;256;20;7;0;21;477;5;39;375;2;0;0;63;51;0;0;0;13.470;6.877;69;19;4;7;1;12;0;3;54;325;1;0;0;27;14;0;0;0;7.413;0;0;0;0;18.950;150;275;24;14;1;33;477;8;93;700;3;0;0;90;65;0;0;0;20.883
280030:Aracaju - SE;Total;89.692;310;964;177;22.739;343;2.147;123;3;1.335;3.557;11;0;2;134;222;33;3.013;0;124.805;65.097;562;652;22;20.040;397;2.683;0;10;1.374;2.275;7;0;0;82;235;44;7.308;5;100.793;0;0;0;0;154.789;872;1.616;199;42.779;740;4.830;123;13;2.709;5.832;18;0;2;216;457;77;10.321;5;225.598
;00:Até 0,50;534;0;6;0;61;5;70;2;0;871;253;0;0;0;0;5;0;0;0;1.807;518;5;8;0;108;4;77;0;1;884;151;0;0;0;0;3;0;0;2;1.761;0;0;0;0;1.052;5;14;0;169;9;147;2;1;1.755;404;0;0;0;0;8;0;0;2;3.568
;01:0,51 a 1,00;6.240;58;46;17;474;20;9;0;2;398;1.231;4;0;0;0;24;0;12;0;8.535;4.747;60;47;2;217;35;16;0;5;421;862;5;0;0;1;23;0;110;0;6.551;0;0;0;0;10.987;118;93;19;691;55;25;0;7;819;2.093;9;0;0;1;47;0;122;0;15.086
;02:1,01 a 1,50;37.473;150;487;48;613;23;393;1;0;16;1.394;7;0;0;1;119;0;175;0;40.900;32.304;328;407;12;969;35;515;0;1;19;919;2;0;0;0;96;0;875;0;36.482;0;0;0;0;69.777;478;894;60;1.582;58;908;1;1;35;2.313;9;0;0;1;215;0;1.050;0;77.382
;03:1,51 a 2,00;17.014;27;201;60;1.884;10;262;2;1;1;306;0;0;0;0;22;3;1.187;0;20.980;8.835;50;88;2;2.166;18;379;0;2;4;120;0;0;0;2;45;2;2.836;0;14.549;0;0;0;0;25.849;77;289;62;4.050;28;641;2;3;5;426;0;0;0;2;67;5;4.023;0;35.529
;04:2,01 a 3,00;9.199;16;111;24;2.968;9;516;4;0;6;111;0;0;0;1;18;22;424;0;13.429;6.044;35;37;3;3.177;12;728;0;0;2;74;0;0;0;0;33;18;1.456;2;11.621;0;0;0;0;15.243;51;148;27;6.145;21;1.244;4;0;8;185;0;0;0;1;51;40;1.880;2;25.050
;05:3,01 a 4,00;3.242;7;15;2;1.231;22;192;0;0;1;24;0;0;0;1;15;8;182;0;4.942;2.810;7;13;0;1.386;22;274;0;1;1;18;0;0;0;0;14;23;455;1;5.025;0;0;0;0;6.052;14;28;2;2.617;44;466;0;1;2;42;0;0;0;1;29;31;637;1;9.967
;06:4,01 a 5,00;1.644;5;12;2;2.820;32;133;3;0;1;10;0;0;0;1;10;0;218;0;4.891;1.297;11;3;0;1.587;74;184;0;0;0;13;0;0;0;2;9;0;477;0;3.657;0;0;0;0;2.941;16;15;2;4.407;106;317;3;0;1;23;0;0;0;3;19;0;695;0;8.548
;07:5,01 a 7,00;1.816;1;8;1;6.432;15;101;1;0;1;14;0;0;0;0;0;0;429;0;8.819;1.155;1;3;0;6.160;20;160;0;0;5;6;0;0;0;1;0;1;841;0;8.353;0;0;0;0;2.971;2;11;1;12.592;35;261;1;0;6;20;0;0;0;1;0;1;1.270;0;17.172
;08:7,01 a 10,00;1.517;2;2;2;3.064;32;100;7;0;0;7;0;0;0;2;0;0;160;0;4.895;818;2;0;1;2.540;27;92;0;0;3;1;0;0;0;1;2;0;124;0;3.611;0;0;0;0;2.335;4;2;3;5.604;59;192;7;0;3;8;0;0;0;3;2;0;284;0;8.506
;09:10,01 a 15,00;1.162;0;3;0;1.432;71;40;3;0;0;1;0;0;0;5;1;0;133;0;2.851;622;1;0;0;908;45;38;0;0;0;3;0;0;0;3;0;0;79;0;1.699;0;0;0;0;1.784;1;3;0;2.340;116;78;3;0;0;4;0;0;0;8;1;0;212;0;4.550
;10:15,01 a 20,00;510;1;1;0;635;40;2;10;0;0;2;0;0;0;9;0;0;65;0;1.275;266;0;0;0;313;32;4;0;0;0;0;0;0;0;3;0;0;47;0;665;0;0;0;0;776;1;1;0;948;72;6;10;0;0;2;0;0;0;12;0;0;112;0;1.940
;11:Mais de 20,00;747;3;0;0;928;62;2;5;0;0;0;0;0;0;30;0;0;28;0;1.805;370;3;0;0;457;73;1;0;0;0;0;0;0;0;18;0;0;8;0;930;0;0;0;0;1.117;6;0;0;1.385;135;3;5;0;0;0;0;0;0;48;0;0;36;0;2.735
;{ñ class};8.594;40;72;21;197;2;327;85;0;40;204;0;0;2;84;8;0;0;0;9.676;5.311;59;46;2;52;0;215;0;0;35;108;0;0;0;51;10;0;0;0;5.889;0;0;0;0;13.905;99;118;23;249;2;542;85;0;75;312;0;0;2;135;18;0;0;0;15.565
292740:Salvador - BA;Total;317.240;601;624;116;70.527;140;11.858;795;556;3.865;18.533;22;0;4;252;717;549;4.607;21;431.027;234.688;864;643;9;64.760;214;21.065;5;278;4.540;18.247;17;0;0;116;401;531;10.780;6;357.164;0;0;4;4;551.928;1.465;1.267;125;135.287;354;32.923;800;834;8.405;36.784;39;0;4;368;1.118;1.080;15.387;27;788.195
