Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total
110020:Porto Velho - RO;Total;57;500;323;48;4;49;564;252;91;89;46;0;1.587;1.686;5.911;9.076;2.747;566;6.929;3.399;3.233;568;2.419;30.974;766;0;71.884;10;51;29;4;0;5;94;132;44;26;158;0;646;438;634;6.783;1.083;569;1.826;835;4.099;1.799;2.629;36.376;225;0;58.495;67;551;352;52;4;54;658;384;135;115;204;0;2.233;2.124;6.545;15.859;3.830;1.135;8.755;4.234;7.332;2.367;5.048;67.350;991;0;130.379
;00:Até 0,50;0;0;0;4;0;5;0;5;0;8;15;0;5;0;20;43;17;1;10;35;199;5;239;58;0;0;669;0;0;0;2;0;5;0;3;0;6;15;0;0;0;16;39;10;5;8;12;64;9;183;27;1;0;405;0;0;0;6;0;10;0;8;0;14;30;0;5;0;36;82;27;6;18;47;263;14;422;85;1;0;1.074
;01:0,51 a 1,00;11;141;23;37;2;31;75;46;29;143;38;0;71;436;923;584;125;39;314;222;1.269;110;765;762;235;0;6.431;2;9;4;7;2;2;22;25;17;69;138;0;59;39;50;270;70;42;166;86;1.774;311;896;295;10;0;4.365;13;150;27;44;4;33;97;71;46;212;176;0;130;475;973;854;195;81;480;308;3.043;421;1.661;1.057;245;0;10.796
;02:1,01 a 1,50;100;1.120;716;192;61;492;481;272;273;622;832;39;1.853;389;9.321;12.289;3.235;337;3.297;2.493;5.793;1.554;1.745;6.505;789;0;54.800;11;75;66;23;11;100;64;127;82;168;2.122;12;1.101;55;403;8.801;1.293;518;1.098;407;6.322;3.644;2.384;8.455;84;0;37.426;111;1.195;782;215;72;592;545;399;355;790;2.954;51;2.954;444;9.724;21.090;4.528;855;4.395;2.900;12.115;5.198;4.129;14.960;873;0;92.226
;03:1,51 a 2,00;20;320;70;19;5;84;303;103;75;122;112;1;512;223;2.955;2.012;1.135;125;2.687;982;1.386;399;759;4.499;78;0;18.986;1;20;5;9;1;19;8;13;3;28;55;0;91;5;154;1.082;220;168;322;111;820;1.024;843;7.557;8;0;12.567;21;340;75;28;6;103;311;116;78;150;167;1;603;228;3.109;3.094;1.355;293;3.009;1.093;2.206;1.423;1.602;12.056;86;0;31.553
;04:2,01 a 3,00;5;94;13;9;6;56;98;118;43;53;68;1;399;123;1.466;1.233;638;106;1.095;1.631;618;572;916;5.398;33;0;14.792;3;15;2;1;1;11;19;34;5;15;39;0;57;24;135;613;120;159;303;164;779;1.415;1.061;7.641;12;0;12.628;8;109;15;10;7;67;117;152;48;68;107;1;456;147;1.601;1.846;758;265;1.398;1.795;1.397;1.987;1.977;13.039;45;0;27.420
;05:3,01 a 4,00;0;15;4;2;2;23;11;61;11;38;14;0;253;76;384;449;173;124;359;538;219;186;620;7.617;12;0;11.191;0;3;0;0;0;0;2;19;0;4;10;0;16;19;46;206;41;127;103;85;210;513;747;12.476;2;0;14.629;0;18;4;2;2;23;13;80;11;42;24;0;269;95;430;655;214;251;462;623;429;699;1.367;20.093;14;0;25.820
;06:4,01 a 5,00;1;8;4;0;0;9;17;7;3;7;10;0;45;70;141;210;83;96;159;190;99;93;477;2.073;4;0;3.806;0;2;0;0;1;1;0;1;2;2;3;0;16;21;12;92;32;83;70;49;115;151;500;2.923;4;0;4.080;1;10;4;0;1;10;17;8;5;9;13;0;61;91;153;302;115;179;229;239;214;244;977;4.996;8;0;7.886
;07:5,01 a 7,00;0;8;4;0;0;2;13;10;6;5;9;0;61;309;188;154;84;175;212;268;164;176;654;3.921;2;0;6.425;0;3;1;0;0;0;2;2;0;3;2;0;15;60;28;76;10;142;75;86;204;409;501;2.517;5;0;4.141;0;11;5;0;0;2;15;12;6;8;11;0;76;369;216;230;94;317;287;354;368;585;1.155;6.438;7;0;10.566
;08:7,01 a 10,00;1;7;2;1;2;3;8;3;1;6;3;0;40;365;136;117;85;185;117;158;258;218;612;1.972;3;0;4.303;0;1;0;0;0;0;2;2;0;1;1;0;4;105;20;27;4;162;42;43;285;284;549;1.002;0;0;2.534;1;8;2;1;2;3;10;5;1;7;4;0;44;470;156;144;89;347;159;201;543;502;1.161;2.974;3;0;6.837
;09:10,01 a 15,00;0;3;1;0;0;0;4;1;0;1;1;0;10;290;53;47;40;276;132;85;92;113;410;886;2;0;2.447;0;0;0;0;0;0;0;2;0;3;0;0;2;62;10;8;1;133;31;22;88;137;382;664;1;0;1.546;0;3;1;0;0;0;4;3;0;4;1;0;12;352;63;55;41;409;163;107;180;250;792;1.550;3;0;3.993
;10:15,01 a 20,00;0;0;0;0;0;1;0;0;0;3;0;0;5;127;12;15;9;80;50;35;59;23;215;692;0;0;1.326;0;0;0;0;0;0;0;0;0;0;0;0;2;42;4;4;0;42;12;12;28;33;187;338;0;0;704;0;0;0;0;0;1;0;0;0;3;0;0;7;169;16;19;9;122;62;47;87;56;402;1.030;0;0;2.030
;11:Mais de 20,00;0;1;0;0;0;1;1;0;0;1;0;0;3;165;22;14;7;73;41;28;16;5;82;1.318;0;0;1.778;0;0;0;0;0;0;0;0;0;0;0;0;0;38;2;1;0;13;7;2;7;6;49;739;1;0;865;0;1;0;0;0;1;1;0;0;1;0;0;3;203;24;15;7;86;48;30;23;11;131;2.057;1;0;2.643
;{ñ class};0;3;4;1;0;2;2;0;1;5;3;0;33;15;79;55;14;6;60;131;90;9;127;25;7;0;672;0;1;0;0;0;0;1;0;1;2;5;0;9;3;1;27;3;5;0;15;92;13;91;10;0;0;279;0;4;4;1;0;2;3;0;2;7;8;0;42;18;80;82;17;11;60;146;182;22;218;35;7;0;951
230440:Fortaleza - CE;Total;468;896;2.381;1.043;1.079;1.200;1.999;3.276;1.470;2.527;11.900;1.303;10.326;3.713;32.224;56.004;12.417;6.020;52.076;24.076;34.220;5.015;14.621;62.919;1.838;0;345.011;91;78;342;121;346;132;279;1.428;578;866;26.225;1.320;6.401;765;3.095;36.724;5.923;5.791;24.753;4.183;29.996;14.944;16.881;87.825;592;0;269.679;559;974;2.723;1.164;1.425;1.332;2.278;4.704;2.048;3.393;38.125;2.623;16.727;4.478;35.319;92.728;18.340;11.811;76.829;28.259;64.216;19.959;31.502;150.744;2.430;0;614.690
;00:Até 0,50;0;0;0;0;0;0;0;14;2;0;28;0;44;2;52;91;18;3;89;109;465;4;275;87;9;0;1.292;0;0;1;3;3;0;2;2;2;3;192;1;29;4;14;50;9;2;211;16;365;13;284;194;2;0;1.402;0;0;1;3;3;0;2;16;4;3;220;1;73;6;66;141;27;5;300;125;830;17;559;281;11;0;2.694
;01:0,51 a 1,00;2;152;253;39;35;229;496;672;145;150;1.255;112;699;487;2.095;4.652;530;61;2.741;1.331;4.024;150;1.748;683;203;0;22.944;6;11;72;8;22;43;85;242;62;62;2.274;48;689;42;217;3.046;339;86;2.770;285;4.684;368;2.514;817;86;0;18.878;8;163;325;47;57;272;581;914;207;212;3.529;160;1.388;529;2.312;7.698;869;147;5.511;1.616;8.708;518;4.262;1.500;289;0;41.822
;02:1,01 a 1,50;76;553;1.510;436;447;698;1.314;1.328;913;1.303;8.198;1.043;6.117;1.112;15.245;37.986;7.619;496;30.055;7.322;20.040;2.117;3.749;6.814;748;0;157.239;8;48;187;54;202;63;153;496;418;477;20.966;1.210;4.622;83;1.745;26.546;3.886;1.106;14.833;1.489;17.145;7.768;5.195;22.769;289;0;131.758;84;601;1.697;490;649;761;1.467;1.824;1.331;1.780;29.164;2.253;10.739;1.195;16.990;64.532;11.505;1.602;44.888;8.811;37.185;9.885;8.944;29.583;1.037;0;288.997
;03:1,51 a 2,00;23;110;238;145;183;140;97;446;210;240;1.272;36;1.364;424;9.293;5.713;1.605;207;10.856;4.983;4.095;815;1.443;5.001;367;0;49.306;4;6;28;13;44;13;17;177;55;78;1.861;24;343;14;379;2.860;620;429;2.796;800;2.783;2.261;1.684;9.407;27;0;26.723;27;116;266;158;227;153;114;623;265;318;3.133;60;1.707;438;9.672;8.573;2.225;636;13.652;5.783;6.878;3.076;3.127;14.408;394;0;76.029
;04:2,01 a 3,00;19;43;163;158;130;67;49;347;94;223;634;26;914;176;2.874;3.699;1.218;312;4.321;5.506;2.778;682;1.342;7.983;175;0;33.933;7;5;23;9;19;8;10;161;24;64;428;16;259;19;291;2.201;473;450;1.972;597;2.336;1.542;1.676;13.747;33;0;26.370;26;48;186;167;149;75;59;508;118;287;1.062;42;1.173;195;3.165;5.900;1.691;762;6.293;6.103;5.114;2.224;3.018;21.730;208;0;60.303
;05:3,01 a 4,00;8;11;77;89;77;15;8;141;31;191;198;19;400;87;958;1.667;477;467;1.063;1.691;1.111;337;900;12.812;54;0;22.889;6;4;13;8;12;2;2;95;12;58;159;3;144;60;153;981;250;527;608;293;1.117;819;1.082;11.227;20;0;17.655;14;15;90;97;89;17;10;236;43;249;357;22;544;147;1.111;2.648;727;994;1.671;1.984;2.228;1.156;1.982;24.039;74;0;40.544
;06:4,01 a 5,00;3;8;32;43;63;8;6;80;24;88;95;19;177;164;354;693;228;394;592;614;479;215;842;7.609;22;0;12.852;6;3;9;7;13;2;5;73;1;33;65;7;73;62;65;344;144;448;386;169;516;610;848;5.459;14;0;9.362;9;11;41;50;76;10;11;153;25;121;160;26;250;226;419;1.037;372;842;978;783;995;825;1.690;13.068;36;0;22.214
;07:5,01 a 7,00;33;2;51;61;57;14;5;103;29;91;86;7;205;264;452;571;241;658;672;806;469;232;1.162;8.785;74;0;15.130;8;0;3;11;10;1;2;87;2;29;77;1;80;120;103;301;79;699;389;202;467;681;927;12.067;53;0;16.399;41;2;54;72;67;15;7;190;31;120;163;8;285;384;555;872;320;1.357;1.061;1.008;936;913;2.089;20.852;127;0;31.529
;08:7,01 a 10,00;21;5;30;32;32;12;4;72;13;83;51;9;126;315;332;325;165;912;645;609;325;190;1.065;4.588;52;0;10.013;6;0;3;6;9;0;0;48;0;21;36;0;32;164;70;157;45;652;312;165;278;425;1.051;6.155;24;0;9.659;27;5;33;38;41;12;4;120;13;104;87;9;158;479;402;482;210;1.564;957;774;603;615;2.116;10.743;76;0;19.672
;09:10,01 a 15,00;64;4;11;28;22;5;1;25;2;62;25;16;96;339;128;187;104;1.145;460;349;128;142;920;3.110;34;0;7.407;9;1;1;1;4;0;1;26;1;21;13;2;22;106;33;63;34;854;181;88;94;224;812;2.351;7;0;4.949;73;5;12;29;26;5;2;51;3;83;38;18;118;445;161;250;138;1.999;641;437;222;366;1.732;5.461;41;0;12.356
;10:15,01 a 20,00;68;0;2;6;10;0;0;6;1;25;12;1;30;152;55;56;59;707;155;137;28;41;617;1.613;15;0;3.796;18;0;2;1;1;0;0;6;0;8;3;0;12;58;5;20;10;330;64;15;20;63;464;1.008;7;0;2.115;86;0;4;7;11;0;0;12;1;33;15;1;42;210;60;76;69;1.037;219;152;48;104;1.081;2.621;22;0;5.911
;11:Mais de 20,00;147;1;2;4;18;0;0;13;1;48;6;8;70;153;53;91;78;627;159;135;38;45;349;3.811;66;0;5.923;13;0;0;0;5;0;0;5;0;9;2;0;9;28;1;22;12;168;31;22;12;66;197;2.581;27;0;3.210;160;1;2;4;23;0;0;18;1;57;8;8;79;181;54;113;90;795;190;157;50;111;546;6.392;93;0;9.133
;{ñ class};4;7;12;2;5;12;19;29;5;23;40;7;84;38;333;273;75;31;268;484;240;45;209;23;19;0;2.287;0;0;0;0;2;0;2;10;1;3;149;8;87;5;19;133;22;40;200;42;179;104;147;43;3;0;1.199;4;7;12;2;7;12;21;39;6;26;189;15;171;43;352;406;97;71;468;526;419;149;356;66;22;0;3.486
240810:Natal - RN;Total;852;448;639;299;119;54;785;735;259;198;7.740;333;2.211;4.228;15.416;23.726;4.795;1.772;19.514;7.225;12.748;2.323;4.462;40.651;1.027;0;152.559;209;85;50;30;11;9;115;398;97;31;10.956;272;1.031;860;1.222;18.448;1.860;1.869;9.389;1.525;12.990;6.580;6.133;50.897;244;0;125.311;1.061;533;689;329;130;63;900;1.133;356;229;18.696;605;3.242;5.088;16.638;42.174;6.655;3.641;28.903;8.750;25.738;8.903;10.595;91.548;1.271;0;277.870
;00:Até 0,50;1;0;0;0;0;0;0;6;0;0;68;0;1;6;17;47;5;5;49;20;68;12;127;41;0;0;473;0;0;0;0;0;0;0;2;0;0;185;0;13;10;14;96;10;13;112;16;80;17;147;61;1;0;777;1;0;0;0;0;0;0;8;0;0;253;0;14;16;31;143;15;18;161;36;148;29;274;102;1;0;1.250
;01:0,51 a 1,00;1;13;24;5;3;2;75;43;25;7;304;19;136;65;387;820;105;12;430;174;575;105;596;440;116;0;4.482;0;6;6;3;0;1;20;26;10;3;524;23;80;30;89;1.141;76;32;485;61;889;296;1.199;531;20;0;5.551;1;19;30;8;3;3;95;69;35;10;828;42;216;95;476;1.961;181;44;915;235;1.464;401;1.795;971;136;0;10.033
;02:1,01 a 1,50;15;312;277;126;29;22;352;300;132;141;4.525;245;1.260;1.185;9.267;15.579;2.771;164;10.136;1.271;8.079;969;1.136;4.356;531;0;63.180;11;45;34;20;9;6;63;174;60;21;8.468;214;762;315;471;13.363;1.155;343;5.858;511;8.514;2.877;2.030;8.829;148;0;54.301;26;357;311;146;38;28;415;474;192;162;12.993;459;2.022;1.500;9.738;28.942;3.926;507;15.994;1.782;16.593;3.846;3.166;13.185;679;0;117.481
;03:1,51 a 2,00;4;77;157;62;15;17;227;118;44;26;1.772;22;361;530;2.444;3.551;746;114;4.474;1.771;1.790;595;429;3.543;161;0;23.050;5;12;5;4;1;1;14;60;11;2;1.292;16;85;61;194;1.764;200;188;943;399;1.363;1.734;593;5.839;20;0;14.806;9;89;162;66;16;18;241;178;55;28;3.064;38;446;591;2.638;5.315;946;302;5.417;2.170;3.153;2.329;1.022;9.382;181;0;37.856
;04:2,01 a 3,00;13;36;115;40;45;10;106;133;32;18;628;15;230;663;1.783;1.949;586;128;2.567;2.365;1.157;245;508;6.440;99;0;19.911;8;13;4;1;1;1;11;66;7;3;187;7;43;68;201;1.116;184;165;706;203;973;581;645;15.071;13;0;20.278;21;49;119;41;46;11;117;199;39;21;815;22;273;731;1.984;3.065;770;293;3.273;2.568;2.130;826;1.153;21.511;112;0;40.189
;05:3,01 a 4,00;19;3;25;43;23;3;15;60;4;1;149;13;101;311;557;806;223;204;602;712;377;116;368;9.269;23;0;14.027;5;4;0;2;0;0;1;28;5;0;62;3;20;82;80;492;115;223;272;97;427;236;411;6.740;13;0;9.318;24;7;25;45;23;3;16;88;9;1;211;16;121;393;637;1.298;338;427;874;809;804;352;779;16.009;36;0;23.345
;06:4,01 a 5,00;10;1;14;7;1;0;3;21;2;2;62;2;37;359;256;314;114;124;324;176;181;71;258;4.230;23;0;6.592;3;3;1;0;0;0;4;10;2;0;34;2;14;45;41;145;44;136;140;57;182;204;274;3.880;6;0;5.227;13;4;15;7;1;0;7;31;4;2;96;4;51;404;297;459;158;260;464;233;363;275;532;8.110;29;0;11.819
;07:5,01 a 7,00;27;1;17;8;2;0;2;17;17;1;80;7;29;404;239;270;99;228;256;247;171;78;300;4.020;16;0;6.536;12;0;0;0;0;0;1;13;1;0;24;2;4;99;56;137;25;217;157;61;210;324;319;3.223;2;0;4.887;39;1;17;8;2;0;3;30;18;1;104;9;33;503;295;407;124;445;413;308;381;402;619;7.243;18;0;11.423
;08:7,01 a 10,00;39;2;8;3;0;0;1;18;1;0;53;6;9;368;187;153;57;225;257;178;125;61;255;2.525;19;0;4.550;16;1;0;0;0;0;1;5;0;1;23;4;3;86;42;84;26;207;156;54;119;171;214;2.362;9;0;3.584;55;3;8;3;0;0;2;23;1;1;76;10;12;454;229;237;83;432;413;232;244;232;469;4.887;28;0;8.134
;09:10,01 a 15,00;105;0;1;4;1;0;2;5;0;0;21;0;12;177;101;66;27;323;110;68;55;44;269;2.392;26;0;3.809;43;1;0;0;0;0;0;9;0;0;12;0;3;34;27;31;8;236;67;31;53;76;174;2.157;9;0;2.971;148;1;1;4;1;0;2;14;0;0;33;0;15;211;128;97;35;559;177;99;108;120;443;4.549;35;0;6.780
;10:15,01 a 20,00;159;0;0;0;0;0;0;3;1;1;7;2;9;61;22;28;15;135;58;28;20;10;104;1.232;1;0;1.896;63;0;0;0;0;0;0;2;0;0;5;0;0;19;2;4;4;66;36;7;8;9;47;998;0;0;1.270;222;0;0;0;0;0;0;5;1;1;12;2;9;80;24;32;19;201;94;35;28;19;151;2.230;1;0;3.166
;11:Mais de 20,00;458;0;0;1;0;0;0;7;0;0;19;1;5;56;19;24;17;102;47;33;34;6;46;2.092;1;0;2.968;43;0;0;0;0;0;0;1;0;1;5;0;0;10;1;4;6;28;17;7;13;6;14;1.093;2;0;1.251;501;0;0;1;0;0;0;8;0;1;24;1;5;66;20;28;23;130;64;40;47;12;60;3.185;3;0;4.219
;{ñ class};1;3;1;0;0;0;2;4;1;1;52;1;21;43;137;119;30;8;204;182;116;11;66;71;11;0;1.085;0;0;0;0;0;0;0;2;1;0;135;1;4;1;4;71;7;15;440;21;159;49;66;113;1;0;1.090;1;3;1;0;0;0;2;6;2;1;187;2;25;44;141;190;37;23;644;203;275;60;132;184;12;0;2.175
250750:João Pessoa - PB;Total;26;1.501;348;526;10;17;471;1.241;426;1.085;3.000;451;2.638;4.199;12.686;14.735;3.869;1.626;14.076;5.626;7.615;1.903;6.653;46.457;675;0;131.860;3;94;53;101;1;2;61;493;150;155;1.803;417;789;730;1.333;10.020;1.216;1.566;3.754;849;6.604;5.860;8.042;60.580;198;0;104.874;29;1.595;401;627;11;19;532;1.734;576;1.240;4.803;868;3.427;4.929;14.019;24.755;5.085;3.192;17.830;6.475;14.219;7.763;14.695;107.037;873;0;236.734
;00:Até 0,50;0;0;1;0;0;0;0;13;1;0;2;0;1;4;0;5;0;0;32;7;23;9;172;130;0;0;400;0;0;0;0;0;0;0;1;0;0;5;1;0;0;0;5;1;0;21;17;51;14;127;37;0;0;280;0;0;1;0;0;0;0;14;1;0;7;1;1;4;0;10;1;0;53;24;74;23;299;167;0;0;680
;01:0,51 a 1,00;12;29;32;6;1;1;30;72;32;32;50;6;45;38;643;354;22;23;972;133;645;47;363;6.913;94;0;10.595;1;3;3;4;0;0;2;56;20;12;43;7;31;15;213;160;15;24;539;46;644;192;420;12.161;19;0;14.630;13;32;35;10;1;1;32;128;52;44;93;13;76;53;856;514;37;47;1.511;179;1.289;239;783;19.074;113;0;25.225
;02:1,01 a 1,50;3;361;234;312;8;16;331;551;260;627;1.112;358;1.587;1.594;9.333;10.254;2.316;137;8.033;2.151;4.492;726;1.090;8.881;339;0;55.106;2;42;43;72;0;2;41;207;109;89;967;378;603;280;813;7.687;885;246;2.160;341;3.982;3.091;2.250;15.398;83;0;39.771;5;403;277;384;8;18;372;758;369;716;2.079;736;2.190;1.874;10.146;17.941;3.201;383;10.193;2.492;8.474;3.817;3.340;24.279;422;0;94.877
;03:1,51 a 2,00;5;440;40;72;1;0;63;228;39;192;917;38;349;729;1.360;2.329;811;66;3.372;621;991;289;398;5.734;70;0;19.154;0;8;5;12;1;0;5;72;7;14;540;16;37;42;129;1.137;162;133;480;86;570;833;452;7.158;23;0;11.922;5;448;45;84;2;0;68;300;46;206;1.457;54;386;771;1.489;3.466;973;199;3.852;707;1.561;1.122;850;12.892;93;0;31.076
;04:2,01 a 3,00;3;360;29;46;0;0;32;193;37;129;485;15;294;581;736;1.044;424;115;785;1.825;626;326;622;10.794;84;0;19.585;0;15;2;10;0;0;6;99;3;20;181;4;54;100;65;599;101;139;216;128;470;898;858;12.766;37;0;16.771;3;375;31;56;0;0;38;292;40;149;666;19;348;681;801;1.643;525;254;1.001;1.953;1.096;1.224;1.480;23.560;121;0;36.356
;05:3,01 a 4,00;1;119;5;49;0;0;10;81;11;51;170;14;162;284;177;300;144;150;225;203;212;184;505;4.241;22;0;7.320;0;14;0;1;0;0;3;26;5;4;19;4;24;58;34;199;29;162;79;55;209;319;541;5.587;8;0;7.380;1;133;5;50;0;0;13;107;16;55;189;18;186;342;211;499;173;312;304;258;421;503;1.046;9.828;30;0;14.700
;06:4,01 a 5,00;0;59;2;17;0;0;0;19;4;19;94;1;60;143;75;127;53;149;139;115;86;104;513;1.699;14;0;3.492;0;3;0;1;0;0;1;9;1;8;19;0;12;49;14;71;7;131;59;35;77;163;523;1.535;8;0;2.726;0;62;2;18;0;0;1;28;5;27;113;1;72;192;89;198;60;280;198;150;163;267;1.036;3.234;22;0;6.218
;07:5,01 a 7,00;0;54;1;8;0;0;0;29;19;13;70;4;51;246;106;112;47;231;162;174;107;122;949;2.239;28;0;4.772;0;5;0;1;0;0;1;9;3;5;13;3;15;56;32;54;11;200;73;46;87;185;1.015;2.117;11;0;3.942;0;59;1;9;0;0;1;38;22;18;83;7;66;302;138;166;58;431;235;220;194;307;1.964;4.356;39;0;8.714
;08:7,01 a 10,00;0;30;1;8;0;0;3;24;10;11;28;6;12;262;99;76;18;220;169;153;260;56;733;2.423;11;0;4.613;0;2;0;0;0;0;1;5;1;2;2;0;6;53;22;28;2;242;71;39;260;98;740;1.937;6;0;3.517;0;32;1;8;0;0;4;29;11;13;30;6;18;315;121;104;20;462;240;192;520;154;1.473;4.360;17;0;8.130
;09:10,01 a 15,00;0;19;0;3;0;0;0;13;2;8;23;3;11;132;21;33;13;311;68;75;74;29;522;1.045;0;0;2.405;0;2;0;0;0;0;0;3;0;0;1;0;3;47;4;18;1;205;30;24;92;18;583;674;1;0;1.706;0;21;0;3;0;0;0;16;2;8;24;3;14;179;25;51;14;516;98;99;166;47;1.105;1.719;1;0;4.111
;10:15,01 a 20,00;0;7;0;1;0;0;0;4;1;0;18;2;5;47;15;17;5;127;24;25;13;2;525;716;4;0;1.558;0;0;0;0;0;0;0;0;0;0;1;0;0;17;1;4;0;60;6;5;7;1;374;328;0;0;804;0;7;0;1;0;0;0;4;1;0;19;2;5;64;16;21;5;187;30;30;20;3;899;1.044;4;0;2.362
;11:Mais de 20,00;0;9;0;0;0;0;0;2;3;1;11;1;5;100;15;10;3;90;13;28;37;2;169;1.271;2;0;1.772;0;0;0;0;0;0;0;1;0;0;0;0;1;11;2;2;1;17;1;3;24;2;89;793;0;0;947;0;9;0;0;0;0;0;3;3;1;11;1;6;111;17;12;4;107;14;31;61;4;258;2.064;2;0;2.719
;{ñ class};2;14;3;4;0;0;2;12;7;2;20;3;56;39;106;74;13;7;82;116;49;7;92;371;7;0;1.088;0;0;0;0;0;0;1;5;1;1;12;4;3;2;4;56;1;7;19;24;131;46;70;89;2;0;478;2;14;3;4;0;0;3;17;8;3;32;7;59;41;110;130;14;14;101;140;180;53;162;460;9;0;1.566
261160:Recife - PE;Total;512;1.907;2.481;1.026;1.329;433;1.089;2.662;956;2.721;797;315;9.890;8.343;36.418;45.441;15.589;5.454;53.963;18.368;27.314;7.388;12.988;75.396;2.074;0;334.854;290;275;314;228;293;44;210;1.517;463;914;2.796;55;4.009;1.711;3.665;32.644;6.244;5.839;28.112;4.497;22.035;19.369;18.783;87.795;663;0;242.765;802;2.182;2.795;1.254;1.622;477;1.299;4.179;1.419;3.635;3.593;370;13.899;10.054;40.083;78.085;21.833;11.293;82.075;22.865;49.349;26.757;31.771;163.191;2.737;0;577.619
;00:Até 0,50;0;1;0;1;2;0;2;2;0;1;1;0;24;1;9;28;10;2;57;33;227;16;154;197;3;0;771;0;0;0;1;1;0;0;1;0;1;0;0;14;2;4;10;7;4;68;44;69;50;127;515;2;0;920;0;1;0;2;3;0;2;3;0;2;1;0;38;3;13;38;17;6;125;77;296;66;281;712;5;0;1.691
;01:0,51 a 1,00;5;26;50;11;12;7;70;82;69;40;37;4;486;25;217;1.645;201;35;1.409;658;1.589;74;583;817;210;0;8.362;2;3;18;1;5;0;11;48;28;20;91;2;266;1;46;1.248;140;76;2.223;183;2.412;208;919;1.134;57;0;9.142;7;29;68;12;17;7;81;130;97;60;128;6;752;26;263;2.893;341;111;3.632;841;4.001;282;1.502;1.951;267;0;17.504
;02:1,01 a 1,50;133;685;811;260;166;179;477;796;504;1.083;572;266;5.661;1.718;15.035;26.860;7.250;446;26.096;5.111;14.276;2.187;2.211;6.933;862;0;120.578;92;89;123;77;68;22;94;426;308;436;2.401;44;2.834;72;771;21.426;3.228;834;16.242;1.539;13.192;6.581;3.966;14.249;263;0;89.377;225;774;934;337;234;201;571;1.222;812;1.519;2.973;310;8.495;1.790;15.806;48.286;10.478;1.280;42.338;6.650;27.468;8.768;6.177;21.182;1.125;0;209.955
;03:1,51 a 2,00;31;270;445;137;289;103;352;519;108;477;95;24;1.484;1.101;10.972;7.399;2.330;231;13.770;2.324;3.791;2.050;1.344;6.032;223;0;55.901;8;15;43;31;50;5;33;313;39;120;139;4;325;201;640;4.526;917;569;2.985;521;2.203;5.766;2.018;13.861;59;0;35.391;39;285;488;168;339;108;385;832;147;597;234;28;1.809;1.302;11.612;11.925;3.247;800;16.755;2.845;5.994;7.816;3.362;19.893;282;0;91.292
