Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total;04:Indústria Mecânica;10:Indústria Química;11:Indústria Têxtil;13:Alimentos e Bebidas;15:Construção Civil;16:Comércio Varejista;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;24:Administração Pública;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total
;04:2,01 a 3,00;31;95;19;36;0;9;12;32;26;45;1;0;192;487;954;1.123;485;26;1.957;739;312;170;456;3.515;54;0;1;10.777;5;9;1;4;0;2;2;8;10;6;1;0;52;76;52;798;156;55;535;101;304;508;588;8.175;22;0;0;11.470;0;0;0;0;0;0;0;0;0;0;0;0;36;104;20;40;0;11;14;40;36;51;2;0;244;563;1.006;1.921;641;81;2.492;840;616;678;1.044;11.690;76;0;1;22.247
;05:3,01 a 4,00;16;28;3;9;1;3;1;11;9;12;1;0;48;249;229;447;196;40;256;227;141;97;410;4.298;27;0;0;6.759;2;4;2;1;0;0;0;4;5;5;1;0;20;54;26;212;55;60;181;43;134;297;497;7.133;18;0;0;8.754;0;0;0;0;0;0;0;0;0;0;0;0;18;32;5;10;1;3;1;15;14;17;2;0;68;303;255;659;251;100;437;270;275;394;907;11.431;45;0;0;15.513
;06:4,01 a 5,00;1;12;3;5;0;5;0;2;5;3;0;0;19;131;104;240;81;38;122;100;73;50;294;2.615;13;0;1;3.917;0;0;0;0;0;0;1;0;3;0;0;0;4;28;5;89;38;40;85;20;68;100;382;4.124;5;0;0;4.992;0;0;0;0;0;0;0;0;0;0;0;0;1;12;3;5;0;5;1;2;8;3;0;0;23;159;109;329;119;78;207;120;141;150;676;6.739;18;0;1;8.909
;07:5,01 a 7,00;0;17;0;0;0;2;0;4;8;3;0;0;19;71;65;179;94;62;96;53;70;23;414;2.851;10;1;0;4.042;1;5;0;0;0;0;0;2;1;0;0;0;2;31;10;75;21;75;72;15;69;62;437;4.598;8;0;0;5.484;0;0;0;0;0;0;0;0;0;0;0;0;1;22;0;0;0;2;0;6;9;3;0;0;21;102;75;254;115;137;168;68;139;85;851;7.449;18;1;0;9.526
;08:7,01 a 10,00;1;11;0;0;0;0;0;0;0;2;0;0;8;63;47;107;41;74;74;26;27;13;399;3.019;9;0;4;3.925;0;2;0;0;0;0;0;0;0;0;0;0;9;14;6;60;14;69;38;15;26;17;422;2.211;8;0;0;2.911;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0;0;0;0;2;0;0;17;77;53;167;55;143;112;41;53;30;821;5.230;17;0;4;6.836
;09:10,01 a 15,00;0;12;0;0;0;0;0;0;1;0;0;0;14;43;45;67;15;42;42;26;13;4;552;2.454;12;2;0;3.344;0;1;0;0;0;0;0;1;0;0;0;0;15;15;2;32;12;24;21;5;19;7;501;1.541;3;1;0;2.200;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;1;1;0;0;0;29;58;47;99;27;66;63;31;32;11;1.053;3.995;15;3;0;5.544
;10:15,01 a 20,00;0;1;1;0;0;0;0;0;0;0;0;0;0;22;19;22;16;16;29;6;11;5;165;1.348;6;6;0;1.673;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;19;4;19;11;5;4;11;93;721;1;0;0;895;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;25;21;41;20;35;40;11;15;16;258;2.069;7;6;0;2.568
;11:Mais de 20,00;0;2;0;0;0;0;0;0;1;0;0;0;1;29;22;30;23;86;59;31;9;10;20;1.213;17;1;0;1.554;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;25;4;58;33;11;1;26;36;689;3;0;0;891;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;2;32;23;55;27;144;92;42;10;36;56;1.902;20;1;0;2.445
;{ñ class};32;18;11;10;0;5;30;17;11;13;2;1;83;63;522;623;119;21;662;117;578;94;135;39;35;1;1;3.243;1;1;2;0;0;3;4;10;5;1;4;1;150;10;39;521;85;30;420;36;645;344;207;67;3;0;0;2.589;0;0;0;0;0;0;0;0;0;0;0;0;33;19;13;10;0;8;34;27;16;14;6;2;233;73;561;1.144;204;51;1.082;153;1.223;438;342;106;38;1;1;5.832
211130:São Luiz - MA;Total;372;729;4.003;406;170;148;253;579;241;1.238;235;4;3.536;2.262;27.439;25.731;10.807;1.779;30.159;18.362;19.507;13.376;6.897;46.304;300;132;4;214.973;104;127;691;71;34;19;63;282;113;248;337;16;3.189;824;2.536;23.522;4.010;1.798;16.587;4.902;26.909;33.196;10.273;49.137;100;2;0;179.090;0;0;0;0;0;0;0;0;0;0;0;0;476;856;4.694;477;204;167;316;861;354;1.486;572;20;6.725;3.086;29.975;49.253;14.817;3.577;46.746;23.264;46.416;46.572;17.170;95.441;400;134;4;394.063
;00:Até 0,50;0;3;13;0;2;0;2;5;0;10;0;0;34;22;233;291;41;2;223;76;162;67;140;16;1;0;0;1.343;0;0;2;0;0;0;0;4;0;5;2;0;50;11;67;312;37;3;156;56;344;97;130;17;4;0;0;1.297;0;0;0;0;0;0;0;0;0;0;0;0;0;3;15;0;2;0;2;9;0;15;2;0;84;33;300;603;78;5;379;132;506;164;270;33;5;0;0;2.640
;01:0,51 a 1,00;4;34;83;14;12;3;27;21;12;29;20;0;276;22;1.782;1.673;494;34;2.138;605;1.723;384;588;1.296;36;0;0;11.310;3;9;42;5;1;2;6;25;10;16;25;1;303;24;251;1.579;292;82;2.437;340;2.119;786;908;1.812;12;0;0;11.090;0;0;0;0;0;0;0;0;0;0;0;0;7;43;125;19;13;5;33;46;22;45;45;1;579;46;2.033;3.252;786;116;4.575;945;3.842;1.170;1.496;3.108;48;0;0;22.400
;02:1,01 a 1,50;38;228;590;170;54;86;119;327;97;237;118;4;1.868;144;6.419;14.147;3.958;156;11.972;3.893;9.312;5.295;1.500;5.032;182;4;0;65.950;14;34;92;34;11;12;32;179;52;63;236;7;2.045;34;736;13.300;1.750;237;8.564;1.997;12.401;14.343;3.077;5.210;45;0;0;64.505;0;0;0;0;0;0;0;0;0;0;0;0;52;262;682;204;65;98;151;506;149;300;354;11;3.913;178;7.155;27.447;5.708;393;20.536;5.890;21.713;19.638;4.577;10.242;227;4;0;130.455
;03:1,51 a 2,00;47;198;791;95;47;25;54;82;51;170;64;0;525;163;5.756;3.439;1.841;45;7.987;3.127;2.462;2.090;586;5.433;30;3;2;35.113;8;26;103;13;12;1;14;15;16;27;15;1;247;22;433;2.811;562;74;2.012;681;2.831;5.874;1.122;8.278;4;0;0;25.202;0;0;0;0;0;0;0;0;0;0;0;0;55;224;894;108;59;26;68;97;67;197;79;1;772;185;6.189;6.250;2.403;119;9.999;3.808;5.293;7.964;1.708;13.711;34;3;2;60.315
;04:2,01 a 3,00;34;101;876;42;24;18;30;45;35;259;14;0;335;269;6.406;1.898;1.468;144;2.640;4.111;1.996;2.375;750;6.148;23;11;0;30.052;9;22;130;6;6;2;4;4;11;40;9;1;204;129;411;1.697;547;138;1.279;554;3.234;6.400;1.172;6.283;14;0;0;22.306;0;0;0;0;0;0;0;0;0;0;0;0;43;123;1.006;48;30;20;34;49;46;299;23;1;539;398;6.817;3.595;2.015;282;3.919;4.665;5.230;8.775;1.922;12.431;37;11;0;52.358
;05:3,01 a 4,00;19;39;341;11;6;2;1;7;8;172;1;0;99;252;1.758;661;805;225;960;1.701;609;985;688;6.033;5;7;0;15.395;1;12;63;1;1;1;1;4;4;35;3;2;57;121;168;546;210;230;477;291;813;2.541;722;8.903;7;1;0;15.215;0;0;0;0;0;0;0;0;0;0;0;0;20;51;404;12;7;3;2;11;12;207;4;2;156;373;1.926;1.207;1.015;455;1.437;1.992;1.422;3.526;1.410;14.936;12;8;0;30.610
;06:4,01 a 5,00;18;15;181;3;1;0;2;12;2;87;0;0;48;213;605;287;480;159;429;1.079;272;1.059;347;7.484;1;28;0;12.812;3;8;23;1;0;0;1;3;1;18;3;0;43;80;67;213;128;177;194;150;306;893;452;8.253;2;1;0;11.020;0;0;0;0;0;0;0;0;0;0;0;0;21;23;204;4;1;0;3;15;3;105;3;0;91;293;672;500;608;336;623;1.229;578;1.952;799;15.737;3;29;0;23.832
;07:5,01 a 7,00;25;19;346;4;2;1;1;3;1;122;0;0;32;365;560;311;506;205;324;1.028;228;461;478;5.980;0;23;0;11.025;16;7;55;0;0;1;0;1;2;17;1;0;19;158;62;269;129;201;170;177;344;525;633;4.638;2;0;0;7.427;0;0;0;0;0;0;0;0;0;0;0;0;41;26;401;4;2;2;1;4;3;139;1;0;51;523;622;580;635;406;494;1.205;572;986;1.111;10.618;2;23;0;18.452
;08:7,01 a 10,00;29;2;226;1;0;1;1;1;1;47;1;0;12;272;423;248;356;187;220;744;130;113;463;4.091;1;22;0;7.592;14;2;55;0;0;0;0;3;0;12;1;0;9;112;61;184;94;155;96;144;205;232;480;3.183;0;0;0;5.042;0;0;0;0;0;0;0;0;0;0;0;0;43;4;281;1;0;1;1;4;1;59;2;0;21;384;484;432;450;342;316;888;335;345;943;7.274;1;22;0;12.634
;09:10,01 a 15,00;56;4;69;4;0;0;0;0;0;15;0;0;11;124;407;220;226;192;188;459;112;100;522;2.220;1;14;0;4.944;15;0;23;2;0;0;0;0;1;5;0;0;8;41;23;174;66;134;66;121;113;184;496;1.153;0;0;0;2.625;0;0;0;0;0;0;0;0;0;0;0;0;71;4;92;6;0;0;0;0;1;20;0;0;19;165;430;394;292;326;254;580;225;284;1.018;3.373;1;14;0;7.569
;10:15,01 a 20,00;41;1;27;1;0;0;0;1;0;10;0;0;7;83;206;132;82;102;87;135;33;37;176;1.251;0;3;0;2.415;8;0;15;0;0;0;0;0;0;1;0;0;5;18;22;121;23;42;27;35;22;200;97;722;0;0;0;1.358;0;0;0;0;0;0;0;0;0;0;0;0;49;1;42;1;0;0;0;1;0;11;0;0;12;101;228;253;105;144;114;170;55;237;273;1.973;0;3;0;3.773
;11:Mais de 20,00;48;2;54;0;0;0;0;0;0;16;0;0;5;161;257;189;135;207;132;226;77;44;81;1.287;0;2;0;2.923;9;1;17;0;0;0;0;0;0;1;0;0;7;30;38;155;46;161;31;69;23;78;74;657;0;0;0;1.397;0;0;0;0;0;0;0;0;0;0;0;0;57;3;71;0;0;0;0;0;0;17;0;0;12;191;295;344;181;368;163;295;100;122;155;1.944;0;2;0;4.320
;{ñ class};13;83;406;61;22;12;16;75;34;64;17;0;284;172;2.627;2.235;415;121;2.859;1.178;2.391;366;578;33;20;15;2;14.099;4;6;71;9;3;0;5;44;16;8;42;4;192;44;197;2.161;126;164;1.078;287;4.154;1.043;910;28;10;0;0;10.606;0;0;0;0;0;0;0;0;0;0;0;0;17;89;477;70;25;12;21;119;50;72;59;4;476;216;2.824;4.396;541;285;3.937;1.465;6.545;1.409;1.488;61;30;15;2;24.705
221100:Terezina - PI;Total;153;1.309;1.396;159;170;507;1.229;752;338;1.056;553;49;4.011;2.421;16.157;25.111;7.717;1.741;25.061;7.965;12.882;3.457;7.066;32.272;1.258;160;0;154.950;16;143;206;28;24;92;180;277;128;237;1.258;29;2.520;844;1.169;18.643;2.753;2.196;18.024;1.723;12.726;9.590;9.450;37.376;200;8;0;119.840;0;0;0;0;0;0;0;0;0;0;0;0;169;1.452;1.602;187;194;599;1.409;1.029;466;1.293;1.811;78;6.531;3.265;17.326;43.754;10.470;3.937;43.085;9.688;25.608;13.047;16.516;69.648;1.458;168;0;274.790
;00:Até 0,50;1;5;21;2;1;14;17;4;2;3;9;0;60;24;226;421;156;13;150;83;167;36;264;28;15;0;0;1.722;1;12;14;1;2;6;13;2;1;2;14;0;48;43;76;449;131;17;199;45;170;70;172;30;12;0;0;1.530;0;0;0;0;0;0;0;0;0;0;0;0;2;17;35;3;3;20;30;6;3;5;23;0;108;67;302;870;287;30;349;128;337;106;436;58;27;0;0;3.252
;01:0,51 a 1,00;17;102;140;9;14;23;99;57;12;80;42;3;393;200;1.667;2.105;452;118;2.124;802;1.122;185;669;252;138;1;0;10.826;0;10;21;3;1;6;11;32;16;34;92;3;266;135;101;1.489;231;308;2.884;233;1.224;549;798;250;14;1;0;8.712;0;0;0;0;0;0;0;0;0;0;0;0;17;112;161;12;15;29;110;89;28;114;134;6;659;335;1.768;3.594;683;426;5.008;1.035;2.346;734;1.467;502;152;2;0;19.538
;02:1,01 a 1,50;76;713;770;90;100;328;667;363;194;349;355;27;2.405;572;5.867;14.675;3.983;324;10.602;2.937;7.577;1.583;1.579;4.513;464;21;0;61.134;5;60;103;15;9;66;76;164;70;86;911;17;1.694;262;507;11.467;1.368;677;9.375;699;7.866;4.656;2.698;5.685;57;0;0;48.593;0;0;0;0;0;0;0;0;0;0;0;0;81;773;873;105;109;394;743;527;264;435;1.266;44;4.099;834;6.374;26.142;5.351;1.001;19.977;3.636;15.443;6.239;4.277;10.198;521;21;0;109.727
;03:1,51 a 2,00;25;189;175;25;28;51;226;154;70;139;57;2;463;359;3.032;2.538;1.204;133;5.168;1.511;1.277;606;602;3.486;261;14;0;21.795;3;24;21;4;5;6;41;33;8;30;45;1;132;45;135;1.626;294;172;1.396;204;1.023;2.106;874;4.826;39;1;0;13.094;0;0;0;0;0;0;0;0;0;0;0;0;28;213;196;29;33;57;267;187;78;169;102;3;595;404;3.167;4.164;1.498;305;6.564;1.715;2.300;2.712;1.476;8.312;300;15;0;34.889
;04:2,01 a 3,00;3;59;84;21;12;47;101;78;22;92;28;0;207;184;1.569;1.577;801;164;2.633;906;620;502;744;4.039;188;14;0;14.695;4;13;17;2;6;3;19;16;14;25;26;1;67;62;123;1.023;249;204;942;183;525;880;1.122;7.175;42;1;0;12.744;0;0;0;0;0;0;0;0;0;0;0;0;7;72;101;23;18;50;120;94;36;117;54;1;274;246;1.692;2.600;1.050;368;3.575;1.089;1.145;1.382;1.866;11.214;230;15;0;27.439
;05:3,01 a 4,00;0;7;36;5;4;12;27;23;4;92;6;0;41;146;367;640;298;138;489;389;263;200;525;7.510;39;19;0;11.280;2;4;6;0;0;0;8;3;2;15;5;0;18;34;40;430;132;169;440;65;272;534;751;8.318;6;0;0;11.254;0;0;0;0;0;0;0;0;0;0;0;0;2;11;42;5;4;12;35;26;6;107;11;0;59;180;407;1.070;430;307;929;454;535;734;1.276;15.828;45;19;0;22.534
;06:4,01 a 5,00;0;4;30;1;4;1;5;8;0;124;0;0;26;156;281;354;132;99;299;149;168;87;392;1.920;33;24;0;4.297;1;1;2;0;1;0;1;2;0;10;2;0;11;47;17;213;49;97;309;44;143;186;452;2.477;11;0;0;4.076;0;0;0;0;0;0;0;0;0;0;0;0;1;5;32;1;5;1;6;10;0;134;2;0;37;203;298;567;181;196;608;193;311;273;844;4.397;44;24;0;8.373
;07:5,01 a 7,00;0;5;16;1;1;7;12;10;0;79;1;0;22;172;318;308;85;153;264;135;98;77;514;1.734;21;19;0;4.052;0;5;3;0;0;0;2;2;0;15;1;0;8;37;26;270;46;119;239;51;108;102;623;3.289;6;1;0;4.953;0;0;0;0;0;0;0;0;0;0;0;0;0;10;19;1;1;7;14;12;0;94;2;0;30;209;344;578;131;272;503;186;206;179;1.137;5.023;27;20;0;9.005
;08:7,01 a 10,00;0;6;15;1;1;3;7;16;0;27;1;0;30;177;313;270;74;152;364;70;80;36;474;3.612;20;15;0;5.764;0;0;0;0;0;1;0;8;0;3;0;0;5;46;13;224;19;142;500;17;59;109;560;2.353;3;1;0;4.063;0;0;0;0;0;0;0;0;0;0;0;0;0;6;15;1;1;4;7;24;0;30;1;0;35;223;326;494;93;294;864;87;139;145;1.034;5.965;23;16;0;9.827
;09:10,01 a 15,00;0;1;2;0;0;0;5;2;0;7;0;0;12;184;249;260;55;136;372;61;144;34;578;3.140;27;3;0;5.272;0;0;1;0;0;0;1;0;1;0;0;0;2;58;7;196;16;100;384;16;52;50;601;1.813;4;1;0;3.303;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;6;2;1;7;0;0;14;242;256;456;71;236;756;77;196;84;1.179;4.953;31;4;0;8.575
;10:15,01 a 20,00;0;0;0;0;0;0;1;0;0;0;0;0;3;72;81;132;17;81;126;16;16;8;217;990;14;0;0;1.774;0;0;1;0;0;0;0;0;0;2;0;0;3;32;4;94;5;41;71;7;11;29;198;603;0;1;0;1.102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;6;104;85;226;22;122;197;23;27;37;415;1.593;14;1;0;2.876
;11:Mais de 20,00;0;4;1;0;0;0;0;3;0;1;0;0;2;86;40;173;39;166;235;64;37;9;32;998;0;0;0;1.890;0;0;1;0;0;0;0;0;0;1;1;0;1;24;6;138;22;104;114;24;16;14;45;528;0;1;0;1.040;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;3;0;2;1;0;3;110;46;311;61;270;349;88;53;23;77;1.526;0;1;0;2.930
;{ñ class};31;214;106;4;5;21;62;34;34;63;54;17;347;89;2.147;1.658;421;64;2.235;842;1.313;94;476;50;38;30;0;10.449;0;14;16;3;0;4;8;15;16;14;161;7;265;19;114;1.024;191;46;1.171;135;1.257;305;556;29;6;0;0;5.376;0;0;0;0;0;0;0;0;0;0;0;0;31;228;122;7;5;25;70;49;50;77;215;24;612;108;2.261;2.682;612;110;3.406;977;2.570;399;1.032;79;44;30;0;15.825
230440:Fortaleza - CE;Total;108;862;2.249;1.796;723;729;1.663;2.552;1.408;1.383;9.168;1.035;11.092;4.316;40.938;64.792;15.983;8.810;122.419;29.026;35.671;11.895;23.476;71.325;2.123;240;10;465.792;22;122;365;330;132;84;236;1.189;549;528;15.834;1.009;6.359;966;4.274;51.812;8.409;11.397;80.943;7.918;32.060;32.840;40.249;64.875;510;21;0;363.033;0;0;0;0;0;0;0;0;2;0;0;2;130;984;2.614;2.126;855;813;1.899;3.741;1.957;1.911;25.002;2.044;17.451;5.282;45.212;116.604;24.392;20.207;203.362;36.944;67.733;44.735;63.725;136.200;2.633;261;10;828.827
;00:Até 0,50;2;3;10;12;1;5;6;13;2;8;88;3;149;18;320;750;182;38;774;244;532;88;660;1.210;10;0;0;5.128;0;0;2;5;0;2;1;11;2;9;108;0;86;16;143;789;134;63;865;101;556;187;578;1.493;3;0;0;5.154;0;0;0;0;0;0;0;0;0;0;0;0;2;3;12;17;1;7;7;24;4;17;196;3;235;34;463;1.539;316;101;1.639;345;1.088;275;1.238;2.703;13;0;0;10.282
;01:0,51 a 1,00;8;130;240;90;34;54;166;191;100;106;677;81;1.048;70;3.268;6.031;824;255;8.074;1.555;3.914;446;2.210;3.090;126;12;0;32.800;1;9;43;20;13;7;27;119;51;43;1.105;82;1.031;35;330;5.574;595;512;9.063;760;4.430;987;3.766;4.583;47;1;0;33.234;0;0;0;0;0;0;0;0;0;0;0;0;9;139;283;110;47;61;193;310;151;149;1.782;163;2.079;105;3.598;11.605;1.419;767;17.137;2.315;8.344;1.433;5.976;7.673;173;13;0;66.034
;02:1,01 a 1,50;50;479;1.221;626;192;334;1.173;1.211;775;655;5.481;748;6.317;1.261;12.092;37.315;7.708;1.152;53.693;10.416;17.492;3.807;4.618;2.933;938;48;0;172.735;7;66;182;167;54;38;125;492;277;286;11.349;829;3.654;117;1.603;29.515;3.940;2.407;43.585;3.665;15.603;12.326;9.320;3.571;215;10;0;143.403;0;0;0;0;0;0;0;0;0;0;0;0;57;545;1.403;793;246;372;1.298;1.703;1.052;941;16.830;1.577;9.971;1.378;13.695;66.830;11.648;3.559;97.278;14.081;33.095;16.133;13.938;6.504;1.153;58;0;316.138
;03:1,51 a 2,00;9;112;324;291;107;135;83;450;199;171;1.266;46;1.384;861;8.669;6.879;2.620;734;25.053;4.788;3.963;2.426;2.154;3.638;326;42;0;66.730;6;16;40;34;28;14;26;157;85;50;1.022;33;530;27;591;4.834;1.130;1.710;8.144;1.104;2.906;6.167;3.048;5.746;37;1;0;37.486;0;0;0;0;0;0;0;0;0;0;0;0;15;128;364;325;135;149;109;607;284;221;2.288;79;1.914;888;9.260;11.713;3.750;2.444;33.197;5.892;6.869;8.593;5.202;9.384;363;43;0;104.216
;04:2,01 a 3,00;6;50;159;306;201;88;55;259;138;110;591;60;758;417;6.884;3.835;1.797;738;17.096;6.108;2.654;1.725;2.293;8.912;333;22;0;55.595;4;13;34;35;12;6;12;137;51;41;578;19;272;45;637;3.037;950;1.182;7.191;838;2.329;4.274;4.011;15.606;75;2;0;41.391;0;0;0;0;0;0;0;0;0;0;0;0;10;63;193;341;213;94;67;396;189;151;1.169;79;1.030;462;7.521;6.872;2.747;1.920;24.287;6.946;4.983;5.999;6.304;24.518;408;24;0;96.986
;05:3,01 a 4,00;2;21;35;128;79;28;12;73;31;32;182;25;287;263;1.937;1.587;700;616;3.574;1.362;944;825;2.350;7.888;86;13;1;23.081;0;7;18;13;9;0;2;68;17;14;164;10;109;72;230;1.176;441;1.019;3.171;276;1.024;2.507;2.965;7.552;29;1;0;20.894;0;0;0;0;0;0;0;0;0;0;0;0;2;28;53;141;88;28;14;141;48;46;346;35;396;335;2.167;2.763;1.141;1.635;6.745;1.638;1.968;3.332;5.315;15.440;115;14;1;43.975
;06:4,01 a 5,00;3;6;13;62;25;9;4;42;29;15;95;4;165;149;927;884;375;442;1.831;616;520;451;1.907;14.144;66;18;0;22.802;2;2;11;11;3;3;1;45;6;14;68;6;125;65;128;762;232;712;1.666;200;547;1.652;4.531;5.137;21;1;0;15.951;0;0;0;0;0;0;0;0;0;0;0;0;5;8;24;73;28;12;5;87;35;29;163;10;290;214;1.055;1.646;607;1.154;3.497;816;1.067;2.103;6.438;19.281;87;19;0;38.753
;07:5,01 a 7,00;1;3;6;66;30;6;2;44;11;16;87;12;131;213;811;1.008;386;592;2.128;609;539;410;1.849;13.022;70;32;2;22.086;0;0;2;9;4;3;3;44;1;8;80;5;56;125;136;999;199;736;1.570;188;580;1.376;3.378;6.883;19;1;0;16.405;0;0;0;0;0;0;0;0;0;0;0;0;1;3;8;75;34;9;5;88;12;24;167;17;187;338;947;2.007;585;1.328;3.698;797;1.119;1.786;5.227;19.905;89;33;2;38.491
;08:7,01 a 10,00;0;0;4;40;14;6;0;27;4;24;27;12;65;264;585;747;238;746;1.645;414;349;344;1.788;6.481;47;13;0;13.884;0;0;3;6;1;1;0;27;2;14;41;1;27;173;85;585;128;694;868;146;303;904;4.064;6.194;24;1;0;14.292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;46;15;7;0;54;6;38;68;13;92;437;670;1.332;366;1.440;2.513;560;652;1.248;5.852;12.675;71;14;0;28.176
;09:10,01 a 15,00;0;2;2;10;13;1;2;16;2;61;35;4;60;312;430;743;180;1.278;1.010;333;257;561;1.716;4.160;13;8;0;11.209;1;1;1;0;1;0;1;18;3;13;61;2;23;143;49;590;97;895;430;92;297;739;2.358;3.141;13;0;0;8.969;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;10;14;1;3;34;5;74;96;6;83;455;479;1.333;277;2.173;1.440;425;554;1.300;4.074;7.301;26;8;0;20.178
;10:15,01 a 20,00;0;0;0;5;2;0;0;11;1;35;13;1;28;159;184;343;73;837;365;136;89;228;830;1.623;14;3;0;4.980;0;0;1;1;0;0;0;5;0;7;14;0;6;68;12;257;36;530;172;43;65;282;575;1.036;14;0;0;3.124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;2;0;0;16;1;42;27;1;34;227;196;600;109;1.367;537;179;154;510;1.405;2.659;28;3;0;8.104
;11:Mais de 20,00;0;1;1;5;3;1;0;12;0;70;14;6;55;140;239;446;135;1.078;417;186;403;203;170;2.668;15;0;0;6.268;0;1;1;1;2;0;0;7;0;9;11;0;17;52;19;450;52;652;167;50;48;264;152;1.518;6;0;0;3.479;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;5;1;0;19;0;79;25;6;72;192;258;896;187;1.730;584;236;451;467;322;4.186;21;0;0;9.747
;{ñ class};27;55;234;155;22;62;160;203;116;80;612;33;645;189;4.592;4.224;765;304;6.759;2.259;4.015;381;931;1.556;79;29;7;28.494;1;7;27;28;5;10;38;59;54;20;1.233;22;423;28;311;3.244;475;285;4.051;455;3.372;1.175;1.503;2.415;7;3;0;19.251;0;0;0;0;0;0;0;0;2;0;0;2;28;62;261;183;27;72;198;262;170;100;1.845;55;1.068;217;4.903;7.468;1.240;589;10.810;2.714;7.389;1.556;2.434;3.971;86;32;7;47.747
