Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total;04:Indústria Mecânica;10:Indústria Química;11:Indústria Têxtil;13:Alimentos e Bebidas;15:Construção Civil;16:Comércio Varejista;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;24:Administração Pública;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total
;04:2,01 a 3,00;7;40;19;5;2;19;61;10;52;12;2;0;105;409;523;954;258;53;599;338;402;142;125;3.757;62;5;0;7.961;0;3;1;0;1;8;7;1;9;2;2;1;27;28;231;558;80;61;279;68;323;362;297;7.985;7;1;0;10.342;0;0;0;0;0;0;0;0;0;0;0;0;7;43;20;5;3;27;68;11;61;14;4;1;132;437;754;1.512;338;114;878;406;725;504;422;11.742;69;6;0;18.303
;05:3,01 a 4,00;0;3;3;2;0;2;10;2;12;0;0;0;35;62;134;395;82;47;157;92;90;109;75;2.343;10;5;0;3.670;0;1;1;0;0;0;1;2;2;2;0;0;11;33;65;193;34;48;85;29;100;285;172;4.870;3;1;0;5.938;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;11;4;14;2;0;0;46;95;199;588;116;95;242;121;190;394;247;7.213;13;6;0;9.608
;06:4,01 a 5,00;0;1;1;0;0;0;4;0;5;2;0;0;18;73;47;188;45;18;74;38;26;21;50;2.454;5;2;0;3.072;0;0;0;1;0;0;1;1;0;0;0;0;10;6;20;95;15;50;41;16;52;54;69;2.613;2;0;0;3.046;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;5;1;5;2;0;0;28;79;67;283;60;68;115;54;78;75;119;5.067;7;2;0;6.118
;07:5,01 a 7,00;1;0;1;0;0;0;5;1;1;0;0;0;9;74;111;136;50;52;80;30;42;16;47;3.800;6;3;0;4.465;0;0;0;0;0;0;1;0;0;0;0;0;1;13;30;78;8;79;52;11;77;24;64;2.546;1;0;0;2.985;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;6;1;1;0;0;0;10;87;141;214;58;131;132;41;119;40;111;6.346;7;3;0;7.450
;08:7,01 a 10,00;0;0;0;0;0;0;2;0;2;0;0;0;10;40;90;117;19;57;86;17;32;26;44;1.824;1;3;0;2.370;0;0;0;0;1;0;0;0;0;0;0;0;3;16;5;49;4;53;38;3;34;28;41;1.808;1;0;0;2.084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;13;56;95;166;23;110;124;20;66;54;85;3.632;2;3;0;4.454
;09:10,01 a 15,00;0;0;0;0;0;0;1;0;3;0;5;0;6;34;83;95;15;38;152;10;21;29;26;1.217;7;2;0;1.744;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;79;7;26;30;4;38;25;32;859;1;0;0;1.109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;5;0;8;37;86;174;22;64;182;14;59;54;58;2.076;8;2;0;2.853
;10:15,01 a 20,00;0;1;0;0;0;0;0;0;0;0;0;0;4;14;55;55;7;17;55;7;3;6;3;427;0;1;0;655;0;0;0;0;0;0;0;0;0;0;1;0;0;7;4;24;3;10;15;2;3;11;6;209;0;0;0;295;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4;21;59;79;10;27;70;9;6;17;9;636;0;1;0;950
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;5;26;29;71;13;44;71;17;4;0;2;420;2;0;0;704;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;41;5;56;23;9;5;3;3;170;0;0;0;324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;29;35;112;18;100;94;26;9;3;5;590;2;0;0;1.028
;{ñ class};7;100;13;7;0;5;33;29;17;15;5;0;125;20;743;1.012;190;166;798;384;761;34;88;35;121;10;0;4.718;4;4;1;1;0;1;7;10;4;4;6;1;83;2;153;681;65;29;844;105;653;106;107;29;5;0;0;2.905;0;0;0;0;0;0;0;0;0;0;0;0;11;104;14;8;0;6;40;39;21;19;11;1;208;22;896;1.693;255;195;1.642;489;1.414;140;195;64;126;10;0;7.623
130260:Manaus - AM;Total;246;801;5.898;9.978;15.467;15.539;1.261;3.067;3.522;11.791;816;7;8.010;5.107;20.255;46.145;13.169;2.019;46.267;30.374;21.941;5.325;8.407;60.228;1.203;94;10;336.947;68;135;1.827;6.674;13.198;2.814;346;1.327;2.391;3.805;1.017;3;5.250;1.001;3.168;36.755;6.220;2.601;21.813;6.869;25.860;14.126;12.940;75.332;263;5;1;245.809;0;0;0;0;0;0;0;0;1;0;0;1;314;936;7.725;16.652;28.665;18.353;1.607;4.394;5.913;15.596;1.833;10;13.260;6.108;23.423;82.900;19.389;4.620;68.080;37.243;47.802;19.451;21.347;135.560;1.466;99;11;582.757
;00:Até 0,50;2;0;60;167;180;82;21;41;33;126;21;0;143;54;336;802;225;21;414;416;269;49;125;340;17;1;0;3.945;3;4;52;121;218;47;10;34;32;92;43;0;174;73;129;672;154;21;232;198;314;83;184;335;3;0;0;3.228;0;0;0;0;0;0;0;0;0;0;0;0;5;4;112;288;398;129;31;75;65;218;64;0;317;127;465;1.474;379;42;646;614;583;132;309;675;20;1;0;7.173
;01:0,51 a 1,00;4;75;227;389;246;381;90;181;128;290;116;1;569;89;1.209;3.731;707;49;2.755;1.138;2.230;184;725;818;114;7;1;16.454;3;12;62;303;247;204;40;128;123;140;176;2;480;33;249;3.378;469;86;1.993;458;3.142;593;1.400;634;27;0;1;14.383;0;0;0;0;0;0;0;0;0;0;0;0;7;87;289;692;493;585;130;309;251;430;292;3;1.049;122;1.458;7.109;1.176;135;4.748;1.596;5.372;777;2.125;1.452;141;7;2;30.837
;02:1,01 a 1,50;15;239;1.229;1.720;2.579;916;688;1.138;681;2.170;378;1;3.418;671;5.403;22.867;5.659;187;16.828;7.847;10.088;1.346;2.245;2.795;531;31;2;91.672;14;41;463;1.972;3.159;239;175;668;555;809;591;1;2.638;204;1.230;19.723;2.540;292;9.933;2.584;13.607;4.019;4.168;5.522;158;2;0;75.307;0;0;0;0;0;0;0;0;0;0;0;0;29;280;1.692;3.692;5.738;1.155;863;1.806;1.236;2.979;969;2;6.056;875;6.633;42.590;8.199;479;26.761;10.431;23.695;5.365;6.413;8.317;689;33;2;166.979
;03:1,51 a 2,00;18;157;1.179;3.237;5.094;3.059;232;674;967;3.402;118;2;1.151;1.463;4.285;7.209;2.146;142;9.732;5.151;3.229;1.456;852;8.241;291;10;1;63.498;7;23;342;2.255;5.142;705;49;179;878;1.204;72;0;447;57;428;4.067;876;328;3.057;908;2.693;3.524;1.272;11.308;32;0;0;39.853;0;0;0;0;0;0;0;0;0;0;0;0;25;180;1.521;5.492;10.236;3.764;281;853;1.845;4.606;190;2;1.598;1.520;4.713;11.276;3.022;470;12.789;6.059;5.922;4.980;2.124;19.549;323;10;1;103.351
;04:2,01 a 3,00;61;150;1.279;1.923;2.911;4.651;109;503;894;2.596;76;3;864;1.027;3.807;3.807;1.638;203;6.536;7.512;2.199;963;1.034;14.360;110;15;0;59.231;22;23;364;823;2.152;674;34;133;477;646;35;0;395;127;442;2.697;720;282;1.889;1.146;2.016;2.009;1.473;22.751;14;1;0;41.345;0;0;0;0;0;0;0;0;0;0;0;0;83;173;1.643;2.746;5.063;5.325;143;636;1.371;3.242;111;3;1.259;1.154;4.249;6.504;2.358;485;8.425;8.658;4.215;2.972;2.507;37.111;124;16;0;100.576
;05:3,01 a 4,00;55;41;474;618;1.064;1.964;25;170;240;994;15;0;442;319;1.198;1.385;788;198;1.470;2.535;605;382;655;5.663;31;3;1;21.335;0;11;161;284;632;267;14;60;100;300;5;0;128;103;229;1.049;391;272;710;305;491;1.303;871;8.810;4;0;0;16.500;0;0;0;0;0;0;0;0;0;0;0;0;55;52;635;902;1.696;2.231;39;230;340;1.294;20;0;570;422;1.427;2.434;1.179;470;2.180;2.840;1.096;1.685;1.526;14.473;35;3;1;37.835
